,school,district_id,district_name,EMH,EMH_combined,school_id,achievement_dir,growth_dir,overall_dir,emh
53,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,10,MAPLETON 1,H,,187,down,flat,flat,H
54,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,10,MAPLETON 1,M,,187,down,flat,flat,M
55,ALTA VISTA CHARTER SCHOOL,2660,LAMAR RE-2,E,,200,flat,down,flat,E
56,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,120,ENGLEWOOD 1,H,,206,down,flat,flat,H
57,ASPEN VALLEY HIGH SCHOOL,1040,ACADEMY 20,H,,209,up,flat,flat,H
58,VANTAGE POINT,20,ADAMS 12 FIVE STAR SCHOOLS,M,,210,flat,flat,flat,M
59,MAPLETON EARLY COLLEGE HIGH SCHOOL,10,MAPLETON 1,H,,212,down,up,flat,H
60,AXL ACADEMY,180,ADAMS-ARAPAHOE 28J,E,,213,flat,flat,flat,E
61,AXL ACADEMY,180,ADAMS-ARAPAHOE 28J,M,,213,flat,flat,flat,M
62,ALTURA ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,214,down,down,down,E
63,AMERICAN ACADEMY AT CASTLE PINES CHARTER,900,DOUGLAS COUNTY RE 1,E,,215,flat,down,flat,E
64,AMERICAN ACADEMY AT CASTLE PINES CHARTER,900,DOUGLAS COUNTY RE 1,M,,215,flat,flat,flat,M
65,AMESSE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,220,flat,flat,flat,E
66,ANIMAS VALLEY ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,,225,up,up,flat,E
67,ALTONA MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,M,,226,flat,up,flat,M
68,ANTELOPE RIDGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,242,flat,flat,flat,E
69,COYOTE HILLS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,243,flat,down,down,E
70,GUADALUPE ELEMENTARY SCHOOL,580,SOUTH CONEJOS RE-10,E,,248,flat,up,up,E
71,ANTELOPE TRAILS ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,249,flat,flat,flat,E
72,ANTONITO JUNIOR HIGH SCHOOL,580,SOUTH CONEJOS RE-10,M,,250,down,flat,down,M
73,ANTONITO HIGH SCHOOL,580,SOUTH CONEJOS RE-10,H,,252,up,flat,flat,H
74,APPLETON ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,262,flat,up,up,E
75,GLOBAL LEADERSHIP ACADEMY,10,MAPLETON 1,E,,263,up,flat,flat,E
76,GLOBAL LEADERSHIP ACADEMY,10,MAPLETON 1,H,,263,up,down,flat,H
77,GLOBAL LEADERSHIP ACADEMY,10,MAPLETON 1,M,,263,down,flat,flat,M
78,CIMARRON MIDDLE,900,DOUGLAS COUNTY RE 1,M,,264,up,flat,up,M
79,CLEAR SKY ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,,265,flat,down,down,E
80,GOLD RUSH ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,,266,flat,flat,flat,E
81,MESA MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,,267,flat,flat,flat,M
82,ARAPAHOE HIGH SCHOOL,140,LITTLETON 6,H,,298,flat,flat,flat,H
83,ARAPAHOE RIDGE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,301,flat,up,flat,E
84,ARICKAREE ELEMENTARY SCHOOL,3040,ARICKAREE R-2,E,,304,flat,up,up,E
85,ACADEMY HIGH SCHOOL,10,MAPLETON 1,H,,309,down,flat,flat,H
86,ARKANSAS ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,310,down,up,up,E
87,ARROWHEAD ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,348,up,up,up,E
88,ARROWWOOD ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,354,flat,down,down,E
89,FRUITA 8/9 SCHOOL,2000,MESA COUNTY VALLEY 51,M,,361,flat,flat,flat,M
90,RIM ROCK ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,362,flat,up,up,E
91,PEAR PARK ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,363,up,up,up,E
92,ARVADA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,370,flat,flat,flat,H
93,ARVADA WEST HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,378,up,up,flat,H
94,ASBURY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,388,flat,flat,flat,E
95,VALDEZ ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,408,up,up,up,E
96,ASHLEY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,418,down,down,down,E
97,ASPEN ELEMENTARY SCHOOL,2640,ASPEN 1,E,,428,flat,flat,flat,E
98,CARBONDALE COMMUNITY CHARTER SCHOOL,1180,ROARING FORK RE-1,E,,429,flat,up,flat,E
99,CARBONDALE COMMUNITY CHARTER SCHOOL,1180,ROARING FORK RE-1,M,,429,up,flat,flat,M
100,ASPEN MIDDLE SCHOOL,2640,ASPEN 1,E,,430,flat,up,flat,E
101,ASPEN MIDDLE SCHOOL,2640,ASPEN 1,M,,430,flat,up,up,M
102,ASPEN HIGH SCHOOL,2640,ASPEN 1,H,,432,down,down,down,H
103,ASPEN CREEK K-8 SCHOOL,480,BOULDER VALLEY RE 2,E,,441,flat,flat,up,E
104,ASPEN CREEK K-8 SCHOOL,480,BOULDER VALLEY RE 2,M,,441,flat,flat,down,M
105,ASPEN CROSSING ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,442,up,flat,flat,E
106,AUDUBON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,452,flat,up,up,E
107,AURORA ACADEMY CHARTER SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,458,flat,down,down,E
108,AURORA ACADEMY CHARTER SCHOOL,180,ADAMS-ARAPAHOE 28J,M,,458,flat,down,down,M
109,AURORA HILLS MIDDLE SCHOOL,180,ADAMS-ARAPAHOE 28J,M,,464,down,flat,flat,M
110,AURORA FRONTIER K-8,180,ADAMS-ARAPAHOE 28J,E,,465,flat,down,flat,E
111,AURORA FRONTIER K-8,180,ADAMS-ARAPAHOE 28J,M,,465,up,flat,flat,M
112,ATLAS PREPARATORY SCHOOL,980,HARRISON 2,E,,469,flat,flat,down,E
113,AVON ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,,471,up,down,flat,E
114,AVONDALE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,472,down,down,down,E
115,ZACH ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,477,flat,down,flat,E
116,BACON ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,490,flat,flat,flat,E
117,BAKER CENTRAL SCHOOL,2405,FORT MORGAN RE-3,E,,492,up,up,up,E
118,BETHKE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,498,flat,flat,flat,E
119,MONTEREY COMMUNITY SCHOOL,10,MAPLETON 1,E,,501,down,down,flat,E
120,MONTEREY COMMUNITY SCHOOL,10,MAPLETON 1,M,,501,up,flat,up,M
121,MEADOW COMMUNITY SCHOOL,10,MAPLETON 1,E,,502,up,up,up,E
122,MEADOW COMMUNITY SCHOOL,10,MAPLETON 1,M,,502,up,up,up,M
123,YORK INTERNATIONAL,10,MAPLETON 1,E,,503,down,down,down,E
124,YORK INTERNATIONAL,10,MAPLETON 1,H,,503,down,flat,flat,H
125,YORK INTERNATIONAL,10,MAPLETON 1,M,,503,flat,down,down,M
126,WELBY MONTESSORI SCHOOL,10,MAPLETON 1,E,,504,up,flat,flat,E
127,ACHIEVE ACADEMY,10,MAPLETON 1,E,,505,flat,flat,down,E
128,ACHIEVE ACADEMY,10,MAPLETON 1,M,,505,up,up,up,M
129,EXPLORE ELEMENTARY,10,MAPLETON 1,E,,506,up,flat,up,E
130,ADVENTURE ELEMENTARY,10,MAPLETON 1,E,,507,flat,flat,flat,E
131,CLAYTON PARTNERSHIP SCHOOL,10,MAPLETON 1,E,,509,up,flat,up,E
132,CLAYTON PARTNERSHIP SCHOOL,10,MAPLETON 1,M,,509,down,flat,up,M
133,CONRAD BALL MIDDLE SCHOOL,1560,THOMPSON R2-J,M,,510,flat,down,down,M
134,ACADEMY FOR ADVANCED AND CREATIVE LEARNING,1010,COLORADO SPRINGS 11,E,,517,flat,flat,flat,E
135,BARNUM ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,520,flat,flat,flat,E
136,BARRETT ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,540,up,down,down,E
137,BANNING LEWIS RANCH ACADEMY,1110,FALCON 49,E,,555,up,up,up,E
138,BANNING LEWIS RANCH ACADEMY,1110,FALCON 49,M,,555,flat,flat,flat,M
139,BASALT ELEMENTARY SCHOOL,1180,ROARING FORK RE-1,E,,560,up,flat,flat,E
140,BASALT MIDDLE SCHOOL,1180,ROARING FORK RE-1,E,,561,up,up,up,E
141,BASALT MIDDLE SCHOOL,1180,ROARING FORK RE-1,M,,561,up,up,up,M
142,BASALT HIGH SCHOOL,1180,ROARING FORK RE-1,H,,570,flat,up,flat,H
143,BATES ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,594,down,down,down,E
144,BATTLE MOUNTAIN HIGH SCHOOL,910,EAGLE COUNTY RE 50,H,,604,flat,flat,flat,H
145,BAUDER ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,612,flat,down,down,E
146,BAYFIELD ELEMENTARY SCHOOL,1530,BAYFIELD 10 JT-R,E,,632,flat,down,down,E
147,BAYFIELD MIDDLE SCHOOL,1530,BAYFIELD 10 JT-R,M,,636,flat,flat,flat,M
148,BAYFIELD HIGH SCHOOL,1530,BAYFIELD 10 JT-R,H,,640,flat,flat,flat,H
149,BEACH COURT ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,650,flat,down,flat,E
150,BEAR CANYON ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,651,flat,flat,down,E
151,BEAR CREEK ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,,652,flat,flat,flat,E
152,STONE CREEK SCHOOL,8001,CHARTER SCHOOL INSTITUTE,E,,653,flat,down,down,E
153,STONE CREEK SCHOOL,8001,CHARTER SCHOOL INSTITUTE,M,,653,up,up,up,M
154,THE PINNACLE CHARTER SCHOOL ELEMENTARY,8001,CHARTER SCHOOL INSTITUTE,E,,654,flat,flat,flat,E
155,HIGH POINT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,,655,flat,flat,up,E
156,HIGH POINT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,,655,up,flat,up,M
157,T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,8001,CHARTER SCHOOL INSTITUTE,E,,657,up,up,up,E
158,BEAR CREEK K-8 SCHOOL,1420,JEFFERSON COUNTY R-1,E,,660,down,flat,flat,E
159,BEAR CREEK K-8 SCHOOL,1420,JEFFERSON COUNTY R-1,M,,660,flat,flat,down,M
160,BEAR CREEK HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,664,flat,flat,flat,H
161,BEATTIE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,678,flat,flat,flat,E
162,BELL MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,694,flat,flat,flat,M
163,BELLE CREEK CHARTER SCHOOL,40,BRIGHTON 27J,E,,700,flat,down,down,E
164,BELLE CREEK CHARTER SCHOOL,40,BRIGHTON 27J,M,,700,up,flat,up,M
165,BELLEVIEW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,714,flat,flat,flat,E
166,BELMAR ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,724,down,down,down,E
167,BELMONT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,738,down,down,down,E
168,FRANKLIN ELEMENTARY SCHOOL,140,LITTLETON 6,E,,752,flat,down,flat,E
169,BENJAMIN EATON ELEMENTARY SCHOOL,3085,EATON RE-2,E,,754,flat,flat,flat,E
170,BENJAMIN FRANKLIN ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,756,flat,flat,flat,E
171,BENNETT ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,766,flat,down,flat,E
172,BENNETT ELEMENTARY SCHOOL,50,BENNETT 29J,E,,770,up,up,up,E
173,BENNETT MIDDLE SCHOOL,50,BENNETT 29J,M,,774,flat,flat,flat,M
174,BENNETT HIGH SCHOOL,50,BENNETT 29J,H,,775,flat,flat,flat,H
175,BERGEN VALLEY INTERMEDIATE SCHOOL,1420,JEFFERSON COUNTY R-1,E,,779,flat,flat,down,E
176,BERRY CREEK MIDDLE SCHOOL,910,EAGLE COUNTY RE 50,M,,793,flat,down,down,M
177,BERTHOUD ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,,808,flat,up,flat,E
178,BERTHOUD HIGH SCHOOL,1560,THOMPSON R2-J,H,,812,flat,flat,flat,H
179,BESSEMER ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,822,down,down,flat,E
180,BESSEMER ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,M,,822,down,down,down,M
181,BETHUNE ELEMENTARY SCHOOL,1490,BETHUNE R-5,E,,832,down,down,down,E
182,BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1490,BETHUNE R-5,H,,842,flat,up,up,H
183,BEULAH ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,852,flat,down,flat,E
184,BEULAH MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,,856,down,flat,down,M
185,BEULAH HEIGHTS ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,860,down,down,down,E
186,B F KITCHEN ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,,865,down,up,flat,E
187,BIG THOMPSON ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,,870,flat,up,up,E
188,BIRCH ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,,872,down,up,up,E
189,BLACK ROCK ELEMENTARY,470,ST VRAIN VALLEY RE 1J,E,,875,flat,flat,flat,E
190,BLUE MOUNTAIN ELEMENTARY,470,ST VRAIN VALLEY RE 1J,E,,878,flat,flat,up,E
191,MARY BLAIR ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,,890,flat,up,flat,E
192,BLEVINS MIDDLE SCHOOL,1550,POUDRE R-1,M,,892,flat,up,up,M
193,BOLTZ MIDDLE SCHOOL,1550,POUDRE R-1,M,,898,flat,up,flat,M
194,BOOKCLIFF MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,,900,flat,flat,down,M
195,BOSTON K-8 SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,914,down,down,down,E
196,BOSTON K-8 SCHOOL,180,ADAMS-ARAPAHOE 28J,M,,914,up,down,down,M
197,BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,480,BOULDER VALLEY RE 2,E,,919,flat,flat,flat,E
198,BOULDER HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,,924,flat,flat,flat,H
199,BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,E,,948,down,down,down,E
200,BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,H,,948,flat,down,flat,H
201,BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,M,,948,up,up,up,M
202,BLUE HERON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,951,up,up,up,E
203,BRADFORD INTERMEDIATE SCHOOL,1420,JEFFERSON COUNTY R-1,E,,952,flat,flat,flat,E
204,BRADFORD ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,954,flat,down,down,E
205,BRADLEY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,964,flat,flat,flat,E
206,BRADY EXPLORATION SCHOOL,1420,JEFFERSON COUNTY R-1,H,,965,up,down,flat,H
207,BRENTWOOD MIDDLE SCHOOL,3120,GREELEY 6,M,,988,down,down,down,M
208,BRICKER ELEMENTARY SCHOOL,980,HARRISON 2,E,,1000,flat,down,down,E
209,BRIGGSDALE ELEMENTARY SCHOOL,3146,BRIGGSDALE RE-10,E,,1008,flat,flat,flat,E
210,BRIGGSDALE UNDIVIDED HIGH SCHOOL,3146,BRIGGSDALE RE-10,H,,1012,up,up,flat,H
211,BRIGGSDALE UNDIVIDED HIGH SCHOOL,3146,BRIGGSDALE RE-10,M,,1012,down,down,down,M
212,BRIGHTON HIGH SCHOOL,40,BRIGHTON 27J,H,,1022,flat,flat,flat,H
213,BRISTOL ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,1032,flat,up,up,E
214,BROADWAY ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,1046,flat,up,up,E
215,BROMLEY EAST CHARTER SCHOOL,40,BRIGHTON 27J,E,,1052,flat,up,up,E
216,BROMLEY EAST CHARTER SCHOOL,40,BRIGHTON 27J,M,,1052,up,flat,flat,M
217,BROMWELL ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,1056,flat,flat,down,E
218,BROOMFIELD HEIGHTS MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,,1066,flat,flat,flat,M
219,BROOMFIELD HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,,1070,flat,flat,flat,H
220,BROWN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,1076,up,down,flat,E
221,BRUSH MIDDLE SCHOOL,2395,BRUSH RE-2(J),M,,1094,down,down,down,M
222,BRUSH HIGH SCHOOL,2395,BRUSH RE-2(J),H,,1096,up,flat,flat,H
223,BRYANT WEBSTER K-8 SCHOOL,880,DENVER COUNTY 1,E,,1106,down,down,down,E
224,BRYANT WEBSTER K-8 SCHOOL,880,DENVER COUNTY 1,M,,1106,up,flat,flat,M
225,BUENA VISTA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,1126,up,up,up,E
226,BUENA VISTA HIGH SCHOOL,490,BUENA VISTA R-31,H,,1130,flat,flat,flat,H
227,BUFFALO RIDGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,1131,flat,flat,flat,E
228,HARRY L MC GINNIS MIDDLE SCHOOL,490,BUENA VISTA R-31,M,,1132,down,flat,down,M
229,MANHATTAN MIDDLE SCHOOL OF THE ARTS AND ACADEMICS,480,BOULDER VALLEY RE 2,M,,1136,flat,up,up,M
230,BURLINGTON ELEMENTARY SCHOOL,1500,BURLINGTON RE-6J,E,,1144,flat,up,flat,E
231,BURLINGTON ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,1148,flat,up,flat,E
232,BURLINGTON MIDDLE SCHOOL,1500,BURLINGTON RE-6J,E,,1150,down,flat,down,E
233,BURLINGTON MIDDLE SCHOOL,1500,BURLINGTON RE-6J,M,,1150,down,flat,down,M
234,BURLINGTON HIGH SCHOOL,1500,BURLINGTON RE-6J,H,,1152,down,down,flat,H
235,BUFFALO TRAIL ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,1155,down,flat,flat,E
236,BYERS ELEMENTARY SCHOOL,190,BYERS 32J,E,,1168,flat,down,down,E
237,BYERS JUNIOR-SENIOR HIGH SCHOOL,190,BYERS 32J,H,,1176,up,up,up,H
238,BYERS JUNIOR-SENIOR HIGH SCHOOL,190,BYERS 32J,M,,1176,flat,up,flat,M
239,CACHE LA POUDRE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,1186,flat,up,up,E
240,CACHE LA POUDRE MIDDLE SCHOOL,1550,POUDRE R-1,M,,1190,flat,up,up,M
241,CALHAN ELEMENTARY SCHOOL,970,CALHAN RJ-1,E,,1210,flat,flat,flat,E
242,CALHAN MIDDLE SCHOOL,970,CALHAN RJ-1,M,,1215,down,flat,flat,M
243,CALHAN HIGH SCHOOL,970,CALHAN RJ-1,H,,1218,flat,up,flat,H
244,CALICHE ELEMENTARY SCHOOL,1828,VALLEY RE-1,E,,1220,down,up,flat,E
245,CALICHE JUNIOR-SENIOR HIGH SCHOOL,1828,VALLEY RE-1,H,,1224,up,up,flat,H
246,CALICHE JUNIOR-SENIOR HIGH SCHOOL,1828,VALLEY RE-1,M,,1224,up,up,up,M
247,CAMPBELL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,1238,flat,down,down,E
248,CENTENNIAL ELEMENTARY,470,ST VRAIN VALLEY RE 1J,E,,1245,down,down,down,E
249,CANON CITY MIDDLE SCHOOL,1140,CANON CITY RE-1,M,,1262,flat,down,down,M
250,CANON CITY HIGH SCHOOL,1140,CANON CITY RE-1,H,,1266,down,flat,down,H
251,CANYON CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,1273,up,flat,flat,E
252,CENTAURI MIDDLE SCHOOL,550,NORTH CONEJOS RE-1J,M,,1276,flat,up,up,M
253,CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,,1279,flat,up,down,E
254,CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,H,,1279,flat,flat,flat,H
255,CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,,1279,up,down,down,M
256,CARBON VALLEY ACADEMY,470,ST VRAIN VALLEY RE 1J,E,,1284,up,up,up,E
257,CARBON VALLEY ACADEMY,470,ST VRAIN VALLEY RE 1J,M,,1284,flat,flat,flat,M
258,CARBONDALE MIDDLE SCHOOL,1180,ROARING FORK RE-1,E,,1296,up,flat,down,E
259,CARBONDALE MIDDLE SCHOOL,1180,ROARING FORK RE-1,M,,1296,flat,flat,flat,M
260,CARDINAL COMMUNITY ACADEMY CHARTER SCHOOL,3090,KEENESBURG RE-3(J),E,,1299,flat,up,up,E
