,Record_no,district_id,district_name,school_id,school,EMH,EMH_combined,achievement_dir,growth_dir,overall_dir,emh
23,25.0,1040.0,ACADEMY 20,7240.0,RAMPART HIGH SCHOOL,H,H,flat,flat,flat,H
24,26.0,1040.0,ACADEMY 20,7247.0,RANCH CREEK ELEMENTARY,E,E,flat,up,up,E
25,27.0,1040.0,ACADEMY 20,7460.0,ROCKRIMMON ELEMENTARY SCHOOL,E,E,flat,up,up,E
26,28.0,1040.0,ACADEMY 20,8779.0,TCA COLLEGE PATHWAYS,M,MH,flat,up,up,M
27,29.0,1040.0,ACADEMY 20,8779.0,TCA COLLEGE PATHWAYS,H,MH,flat,flat,up,H
28,30.0,1040.0,ACADEMY 20,1627.0,THE CLASSICAL ACADEMY CHARTER,E,E,flat,flat,flat,E
29,31.0,1040.0,ACADEMY 20,1630.0,THE CLASSICAL ACADEMY HIGH SCHOOL,H,H,flat,flat,flat,H
30,32.0,1040.0,ACADEMY 20,1629.0,THE CLASSICAL ACADEMY MIDDLE SCHOOL,M,M,flat,flat,flat,M
31,33.0,1040.0,ACADEMY 20,8813.0,THE DA VINCI ACADEMY SCHOOL,E,E,flat,down,flat,E
32,34.0,1040.0,ACADEMY 20,8851.0,TIMBERVIEW MIDDLE SCHOOL,M,M,flat,up,flat,M
33,35.0,1040.0,ACADEMY 20,9714.0,WOODMENROBERTS ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
34,36.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,15.0,ACADEMY OF CHARTER SCHOOLS,E,EMH,flat,flat,flat,E
35,37.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,15.0,ACADEMY OF CHARTER SCHOOLS,M,EMH,flat,flat,flat,M
36,38.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,15.0,ACADEMY OF CHARTER SCHOOLS,H,EMH,flat,flat,flat,H
37,39.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,301.0,ARAPAHOE RIDGE ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
38,40.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,1388.0,CENTENNIAL ELEMENTARY SCHOOL,E,E,down,flat,flat,E
39,41.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,1480.0,CENTURY MIDDLE SCHOOL,M,M,flat,down,flat,M
40,42.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,2576.0,CHERRY DRIVE ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
41,43.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,1752.0,COLORADO VIRTUAL ACADEMY (COVA),E,EMH,flat,flat,flat,E
42,44.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,1752.0,COLORADO VIRTUAL ACADEMY (COVA),M,EMH,flat,up,up,M
43,45.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,1752.0,COLORADO VIRTUAL ACADEMY (COVA),H,EMH,flat,flat,flat,H
44,46.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,1878.0,CORONADO HILLS ELEMENTARY SCHOOL,E,E,down,down,down,E
45,47.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,1914.0,COTTON CREEK ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
46,48.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,1937.0,COYOTE RIDGE ELEMENTARY SCHOOL,E,E,flat,down,flat,E
47,49.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,2361.0,EAGLEVIEW ELEMENTARY SCHOOL,E,E,flat,down,down,E
48,50.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,2918.0,FEDERAL HEIGHTS ELEMENTARY SCHOOL,E,E,down,flat,flat,E
49,51.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,14.0,GLACIER PEAK ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
50,52.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,3439.0,GLOBAL VILLAGE ACADEMY,E,E,flat,flat,flat,E
51,53.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,4000.0,HILLCREST ELEMENTARY SCHOOL,E,E,down,flat,flat,E
52,54.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,4108.0,HORIZON HIGH SCHOOL,H,H,flat,flat,flat,H
53,55.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,4172.0,HULSTROM OPTIONS K8 SCHOOL,E,EM,flat,flat,flat,E
54,56.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,4172.0,HULSTROM OPTIONS K8 SCHOOL,M,EM,flat,flat,flat,M
55,57.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,2580.0,HUNTERS GLEN ELEMENTARY SCHOOL,E,E,down,down,down,E
56,58.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,5043.0,LEGACY HIGH SCHOOL,H,H,flat,flat,flat,H
57,59.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,5058.0,LEROY DRIVE ELEMENTARY SCHOOL,E,E,down,down,flat,E
58,60.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,5418.0,MALLEY DRIVE ELEMENTARY SCHOOL,E,E,down,down,down,E
59,61.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,5706.0,MC ELWAIN ELEMENTARY SCHOOL,E,E,flat,flat,up,E
60,62.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,59.0,MERIDIAN ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
61,63.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,6060.0,MOUNTAIN RANGE HIGH SCHOOL,H,H,flat,down,flat,H
62,64.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,6150.0,MOUNTAIN VIEW ELEMENTARY SCHOOL,E,E,flat,up,flat,E
63,65.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,6355.0,NORTH MOR ELEMENTARY SCHOOL,E,E,down,down,down,E
64,66.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,6376.0,NORTH STAR ELEMENTARY SCHOOL,E,E,flat,up,up,E
65,67.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,6402.0,NORTHGLENN HIGH SCHOOL,H,H,flat,flat,flat,H
66,68.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,6398.0,NORTHGLENN MIDDLE SCHOOL,M,M,down,down,flat,M
67,69.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,7155.0,PRAIRIE HILLS ELEMENTARY SCHOOL,E,E,flat,up,flat,E
68,70.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,6802.0,PROSPECT RIDGE ACADEMY,E,E,flat,flat,flat,E
69,71.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,2584.0,RIVERDALE ELEMENTARY SCHOOL,E,E,flat,down,flat,E
70,72.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,2582.0,ROCKY MOUNTAIN ELEMENTARY SCHOOL,E,E,down,up,flat,E
71,73.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,57.0,ROCKY TOP MIDDLE SCHOOL,M,M,flat,flat,flat,M
72,74.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,6342.0,SHADOW RIDGE MIDDLE SCHOOL,M,M,flat,flat,flat,M
73,75.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,7795.0,SILVER CREEK ELEMENTARY,E,E,flat,down,down,E
74,76.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,4187.0,SILVER HILLS MIDDLE SCHOOL,M,M,flat,flat,flat,M
75,77.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,2578.0,SKYVIEW ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
76,78.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,1519.0,STARGATE CHARTER SCHOOL,E,EM,flat,flat,flat,E
77,79.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,1519.0,STARGATE CHARTER SCHOOL,M,EM,flat,up,flat,M
78,80.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,8225.0,STELLAR ELEMENTARY SCHOOL,E,E,up,up,up,E
79,81.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,8275.0,STEM SCHOOL,E,EM,flat,flat,flat,E
80,82.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,8275.0,STEM SCHOOL,M,EM,flat,flat,flat,M
81,83.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,8361.0,STUKEY ELEMENTARY SCHOOL,E,E,down,down,flat,E
82,84.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,2410.0,TARVER ELEMENTARY SCHOOL,E,E,flat,down,flat,E
83,85.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,8211.0,THE STUDIO SCHOOL,E,E,down,down,down,E
84,86.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,8842.0,THORNTON ELEMENTARY SCHOOL,E,E,down,flat,flat,E
85,87.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,5816.0,THORNTON HIGH SCHOOL,H,H,flat,down,flat,H
86,88.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,5814.0,THORNTON MIDDLE SCHOOL,M,M,down,down,down,M
87,90.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,210.0,VANTAGE POINT,M,EMH,up,down,flat,M
88,91.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,210.0,VANTAGE POINT,H,EMH,down,down,flat,H
89,92.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,9431.0,WESTGATE CHARTER,E,EM,down,flat,flat,E
90,93.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,9431.0,WESTGATE CHARTER,M,EM,flat,up,flat,M
91,94.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,9444.0,WESTLAKE MIDDLE SCHOOL,M,M,flat,flat,flat,M
92,95.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,9494.0,WESTVIEW ELEMENTARY SCHOOL,E,E,flat,down,flat,E
93,96.0,20.0,ADAMS 12 FIVE STAR SCHOOLS,9682.0,WOODGLEN ELEMENTARY SCHOOL,E,E,up,flat,flat,E
94,97.0,30.0,ADAMS COUNTY 14,24.0,ADAMS CITY HIGH SCHOOL,H,H,flat,flat,flat,H
95,98.0,30.0,ADAMS COUNTY 14,20.0,ADAMS CITY MIDDLE SCHOOL,M,M,down,flat,flat,M
96,99.0,30.0,ADAMS COUNTY 14,186.0,ALSUP ELEMENTARY SCHOOL,E,E,flat,flat,up,E
97,100.0,30.0,ADAMS COUNTY 14,1426.0,CENTRAL ELEMENTARY SCHOOL,E,E,flat,down,flat,E
98,101.0,30.0,ADAMS COUNTY 14,2308.0,DUPONT ELEMENTARY SCHOOL,E,E,flat,flat,up,E
99,102.0,30.0,ADAMS COUNTY 14,6534.0,HANSON ELEMENTARY SCHOOL,E,E,up,up,up,E
100,103.0,30.0,ADAMS COUNTY 14,4516.0,KEARNEY MIDDLE SCHOOL,M,M,down,down,down,M
101,104.0,30.0,ADAMS COUNTY 14,4536.0,KEMP ELEMENTARY SCHOOL,E,E,down,down,flat,E
102,105.0,30.0,ADAMS COUNTY 14,22.0,LESTER R ARNOLD HIGH SCHOOL,H,H,up,,down,H
103,106.0,30.0,ADAMS COUNTY 14,5982.0,MONACO ELEMENTARY SCHOOL,E,E,down,down,down,E
104,107.0,30.0,ADAMS COUNTY 14,7500.0,ROSE HILL ELEMENTARY SCHOOL,E,E,flat,up,up,E
105,108.0,180.0,ADAMSARAPAHOE 28J,214.0,ALTURA ELEMENTARY SCHOOL,E,E,up,flat,up,E
106,109.0,180.0,ADAMSARAPAHOE 28J,219.0,APS ONLINE SCHOOL,H,H,up,,down,H
107,110.0,180.0,ADAMSARAPAHOE 28J,310.0,ARKANSAS ELEMENTARY SCHOOL,E,E,down,flat,flat,E
108,111.0,180.0,ADAMSARAPAHOE 28J,458.0,AURORA ACADEMY CHARTER SCHOOL,E,EM,flat,down,flat,E
109,112.0,180.0,ADAMSARAPAHOE 28J,458.0,AURORA ACADEMY CHARTER SCHOOL,M,EM,flat,down,flat,M
110,113.0,180.0,ADAMSARAPAHOE 28J,1458.0,AURORA CENTRAL HIGH SCHOOL,H,H,flat,flat,flat,H
111,114.0,180.0,ADAMSARAPAHOE 28J,465.0,AURORA FRONTIER K8,E,EM,up,up,up,E
112,115.0,180.0,ADAMSARAPAHOE 28J,465.0,AURORA FRONTIER K8,M,EM,up,flat,flat,M
113,116.0,180.0,ADAMSARAPAHOE 28J,464.0,AURORA HILLS MIDDLE SCHOOL,M,M,flat,up,flat,M
114,117.0,180.0,ADAMSARAPAHOE 28J,7232.0,AURORA QUEST K8,E,EM,flat,up,flat,E
115,118.0,180.0,ADAMSARAPAHOE 28J,7232.0,AURORA QUEST K8,M,EM,flat,flat,flat,M
116,119.0,180.0,ADAMSARAPAHOE 28J,9396.0,AURORA WEST COLLEGE PREPARATORY ACADEMY,M,MH,down,down,down,M
117,120.0,180.0,ADAMSARAPAHOE 28J,9396.0,AURORA WEST COLLEGE PREPARATORY ACADEMY,H,MH,flat,flat,flat,H
118,121.0,180.0,ADAMSARAPAHOE 28J,213.0,AXL ACADEMY,E,EM,flat,flat,flat,E
119,122.0,180.0,ADAMSARAPAHOE 28J,213.0,AXL ACADEMY,M,EM,up,flat,flat,M
120,123.0,180.0,ADAMSARAPAHOE 28J,914.0,BOSTON K8 SCHOOL,E,EM,flat,down,flat,E
121,124.0,180.0,ADAMSARAPAHOE 28J,914.0,BOSTON K8 SCHOOL,M,EM,flat,down,down,M
122,125.0,180.0,ADAMSARAPAHOE 28J,1470.0,CENTURY ELEMENTARY SCHOOL,E,E,flat,down,down,E
123,126.0,180.0,ADAMSARAPAHOE 28J,1720.0,CLYDE MILLER K8,E,EM,flat,down,flat,E
124,127.0,180.0,ADAMSARAPAHOE 28J,1720.0,CLYDE MILLER K8,M,EM,flat,flat,flat,M
125,128.0,180.0,ADAMSARAPAHOE 28J,1800.0,COLUMBIA MIDDLE SCHOOL,M,M,flat,flat,flat,M
126,129.0,180.0,ADAMSARAPAHOE 28J,1948.0,CRAWFORD ELEMENTARY SCHOOL,E,E,up,flat,flat,E
127,130.0,180.0,ADAMSARAPAHOE 28J,2095.0,DALTON ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
128,131.0,180.0,ADAMSARAPAHOE 28J,2114.0,DARTMOUTH ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
129,132.0,180.0,ADAMSARAPAHOE 28J,2384.0,EAST MIDDLE SCHOOL,M,M,flat,down,flat,M
130,133.0,180.0,ADAMSARAPAHOE 28J,2618.0,ELKHART ELEMENTARY SCHOOL,E,E,up,up,flat,E
131,134.0,180.0,ADAMSARAPAHOE 28J,2995.0,FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,E,EM,flat,down,down,E
132,135.0,180.0,ADAMSARAPAHOE 28J,2995.0,FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,M,EM,up,up,up,M
133,136.0,180.0,ADAMSARAPAHOE 28J,2998.0,FLETCHER PRIMARY SCHOOL,E,E,up,up,up,E
134,137.0,180.0,ADAMSARAPAHOE 28J,3272.0,FULTON ELEMENTARY SCHOOL,E,E,up,up,up,E
135,138.0,180.0,ADAMSARAPAHOE 28J,3354.0,GATEWAY HIGH SCHOOL,H,H,flat,up,up,H
136,139.0,180.0,ADAMSARAPAHOE 28J,3471.0,GLOBAL VILLAGE ACADEMY,E,EM,down,flat,flat,E
137,140.0,180.0,ADAMSARAPAHOE 28J,3471.0,GLOBAL VILLAGE ACADEMY,M,EM,flat,flat,flat,M
138,141.0,180.0,ADAMSARAPAHOE 28J,4024.0,HINKLEY HIGH SCHOOL,H,H,flat,flat,flat,H
139,142.0,180.0,ADAMSARAPAHOE 28J,4270.0,IOWA ELEMENTARY SCHOOL,E,E,up,up,up,E
140,143.0,180.0,ADAMSARAPAHOE 28J,4426.0,JEWELL ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
141,144.0,180.0,ADAMSARAPAHOE 28J,4646.0,KENTON ELEMENTARY SCHOOL,E,E,down,flat,flat,E
142,145.0,180.0,ADAMSARAPAHOE 28J,4970.0,LANSING ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
143,146.0,180.0,ADAMSARAPAHOE 28J,4973.0,LAREDO ELEMENTARY SCHOOL,E,E,flat,up,up,E
144,147.0,180.0,ADAMSARAPAHOE 28J,5298.0,LOTUS SCHOOL FOR EXCELLENCE,E,EMH,flat,flat,flat,E
145,148.0,180.0,ADAMSARAPAHOE 28J,5298.0,LOTUS SCHOOL FOR EXCELLENCE,M,EMH,up,up,up,M
146,149.0,180.0,ADAMSARAPAHOE 28J,5298.0,LOTUS SCHOOL FOR EXCELLENCE,H,EMH,flat,down,flat,H
147,150.0,180.0,ADAMSARAPAHOE 28J,5361.0,LYN KNOLL ELEMENTARY SCHOOL,E,E,up,up,up,E
148,151.0,180.0,ADAMSARAPAHOE 28J,6068.0,MONTVIEW MATH & HEALTH SCIENCES ELEMENTARY SCHOOL,E,E,up,up,flat,E
149,152.0,180.0,ADAMSARAPAHOE 28J,6160.0,MRACHEK MIDDLE SCHOOL,M,M,flat,flat,flat,M
150,153.0,180.0,ADAMSARAPAHOE 28J,6189.0,MURPHY CREEK K8 SCHOOL,E,EM,down,down,down,E
151,154.0,180.0,ADAMSARAPAHOE 28J,6189.0,MURPHY CREEK K8 SCHOOL,M,EM,flat,flat,flat,M
152,155.0,180.0,ADAMSARAPAHOE 28J,6219.0,NEW AMERICA SCHOOL,H,H,up,down,flat,H
153,156.0,180.0,ADAMSARAPAHOE 28J,6310.0,NORTH MIDDLE SCHOOL HEALTH SCIENCES AND TECHNOLOGY,M,M,flat,flat,flat,M
154,157.0,180.0,ADAMSARAPAHOE 28J,6728.0,PARIS ELEMENTARY SCHOOL,E,E,down,flat,flat,E
155,158.0,180.0,ADAMSARAPAHOE 28J,6758.0,PARK LANE ELEMENTARY SCHOOL,E,E,flat,up,flat,E
156,159.0,180.0,ADAMSARAPAHOE 28J,6869.0,PEORIA ELEMENTARY SCHOOL,E,E,up,up,up,E
157,160.0,180.0,ADAMSARAPAHOE 28J,7250.0,RANGEVIEW HIGH SCHOOL,H,H,up,up,flat,H
158,161.0,180.0,ADAMSARAPAHOE 28J,7558.0,SABLE ELEMENTARY SCHOOL,E,E,flat,up,up,E
159,162.0,180.0,ADAMSARAPAHOE 28J,7865.0,SIDE CREEK ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
160,163.0,180.0,ADAMSARAPAHOE 28J,7932.0,SIXTH AVENUE ELEMENTARY SCHOOL,E,E,up,flat,flat,E
161,164.0,180.0,ADAMSARAPAHOE 28J,8078.0,SOUTH MIDDLE SCHOOL,M,M,flat,flat,flat,M
162,165.0,180.0,ADAMSARAPAHOE 28J,8858.0,TOLLGATE ELEMENTARY SCHOOL,E,E,down,flat,flat,E
163,166.0,180.0,ADAMSARAPAHOE 28J,9056.0,VANGUARD CLASSICAL SCHOOL,E,EM,up,up,up,E
164,167.0,180.0,ADAMSARAPAHOE 28J,9056.0,VANGUARD CLASSICAL SCHOOL,M,EM,up,up,up,M
165,168.0,180.0,ADAMSARAPAHOE 28J,9059.0,VASSAR ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
166,169.0,180.0,ADAMSARAPAHOE 28J,9060.0,VAUGHN ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
167,170.0,180.0,ADAMSARAPAHOE 28J,9140.0,VIRGINIA COURT ELEMENTARY SCHOOL,E,E,down,down,down,E
168,171.0,180.0,ADAMSARAPAHOE 28J,9125.0,VISTA PEAK 912 PREPARATORY,H,H,flat,flat,flat,H
169,172.0,180.0,ADAMSARAPAHOE 28J,9083.0,VISTA PEAK P8 EXPLORATORY,E,EM,flat,up,up,E
170,173.0,180.0,ADAMSARAPAHOE 28J,9083.0,VISTA PEAK P8 EXPLORATORY,M,EM,up,up,up,M
171,174.0,180.0,ADAMSARAPAHOE 28J,9514.0,WHEELING ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
172,175.0,180.0,ADAMSARAPAHOE 28J,8356.0,WILLIAM SMITH HIGH SCHOOL,H,H,up,flat,up,H
173,176.0,180.0,ADAMSARAPAHOE 28J,9756.0,YALE ELEMENTARY SCHOOL,E,E,up,down,flat,E
174,178.0,1620.0,AGUILAR REORGANIZED 6,58.0,AGUILAR ELEMENTARY SCHOOL,E,E,down,,down,E
175,181.0,3030.0,AKRON R1,86.0,AKRON ELEMENTARY SCHOOL,E,EM,flat,flat,flat,E
176,182.0,3030.0,AKRON R1,86.0,AKRON ELEMENTARY SCHOOL,M,EM,up,up,up,M
177,183.0,3030.0,AKRON R1,90.0,AKRON HIGH SCHOOL,H,H,up,up,flat,H
178,184.0,100.0,ALAMOSA RE11J,115.0,ALAMOSA ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
179,185.0,100.0,ALAMOSA RE11J,118.0,ALAMOSA HIGH SCHOOL,H,H,up,flat,flat,H
180,186.0,100.0,ALAMOSA RE11J,368.0,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,M,MH,flat,,flat,M
181,188.0,100.0,ALAMOSA RE11J,114.0,ORTEGA MIDDLE SCHOOL,M,M,flat,flat,up,M
182,190.0,220.0,ARCHULETA COUNTY 50 JT,6652.0,PAGOSA SPRINGS ELEMENTARY SCHOOL,E,E,down,down,down,E
183,191.0,220.0,ARCHULETA COUNTY 50 JT,6658.0,PAGOSA SPRINGS HIGH SCHOOL,H,H,down,down,down,H
184,192.0,220.0,ARCHULETA COUNTY 50 JT,6657.0,PAGOSA SPRINGS MIDDLE SCHOOL,E,EM,flat,flat,flat,E
185,193.0,220.0,ARCHULETA COUNTY 50 JT,6657.0,PAGOSA SPRINGS MIDDLE SCHOOL,M,EM,up,flat,flat,M
186,194.0,3040.0,ARICKAREE R2,304.0,ARICKAREE ELEMENTARY SCHOOL,E,E,flat,up,up,E
187,195.0,3040.0,ARICKAREE R2,308.0,ARICKAREE UNDIVIDED HIGH SCHOOL,M,MH,down,,up,M
188,197.0,1450.0,ARRIBAFLAGLER C20,2956.0,FLAGLER ELEMENTARY SCHOOL,E,E,flat,up,up,E
189,198.0,1450.0,ARRIBAFLAGLER C20,2958.0,FLAGLER MIDDLE SCHOOL,M,M,flat,flat,flat,M
190,199.0,1450.0,ARRIBAFLAGLER C20,2960.0,FLAGLER SENIOR HIGH SCHOOL,H,H,down,,up,H
191,200.0,2640.0,ASPEN 1,42.0,ASPEN COMMUNITY CHARTER SCHOOL,E,EM,down,flat,down,E
192,201.0,2640.0,ASPEN 1,42.0,ASPEN COMMUNITY CHARTER SCHOOL,M,EM,up,down,flat,M
193,202.0,2640.0,ASPEN 1,428.0,ASPEN ELEMENTARY SCHOOL,E,E,flat,up,flat,E
194,203.0,2640.0,ASPEN 1,432.0,ASPEN HIGH SCHOOL,H,H,flat,flat,flat,H
195,204.0,2640.0,ASPEN 1,430.0,ASPEN MIDDLE SCHOOL,E,EM,flat,flat,flat,E
196,205.0,2640.0,ASPEN 1,430.0,ASPEN MIDDLE SCHOOL,M,EM,flat,flat,up,M
197,206.0,3145.0,AULTHIGHLAND RE9,3958.0,HIGHLAND ELEMENTARY SCHOOL,E,E,down,up,flat,E
198,207.0,3145.0,AULTHIGHLAND RE9,3962.0,HIGHLAND HIGH SCHOOL,H,H,up,down,flat,H
199,208.0,3145.0,AULTHIGHLAND RE9,3961.0,HIGHLAND MIDDLE SCHOOL,M,M,flat,up,up,M
200,209.0,1530.0,BAYFIELD 10 JTR,632.0,BAYFIELD ELEMENTARY SCHOOL,E,E,down,down,down,E
201,210.0,1530.0,BAYFIELD 10 JTR,640.0,BAYFIELD HIGH SCHOOL,H,H,flat,flat,flat,H
202,211.0,1530.0,BAYFIELD 10 JTR,636.0,BAYFIELD MIDDLE SCHOOL,M,M,flat,down,flat,M
203,212.0,50.0,BENNETT 29J,770.0,BENNETT ELEMENTARY SCHOOL,E,E,flat,flat,flat,E
204,213.0,50.0,BENNETT 29J,775.0,BENNETT HIGH SCHOOL,H,H,flat,flat,flat,H
205,214.0,50.0,BENNETT 29J,774.0,BENNETT MIDDLE SCHOOL,M,M,flat,flat,flat,M
206,215.0,50.0,BENNETT 29J,1889.0,CORRIDOR COMMUNITY ACADEMY,E,EM,flat,up,flat,E
207,216.0,50.0,BENNETT 29J,1889.0,CORRIDOR COMMUNITY ACADEMY,M,EM,up,up,flat,M
208,217.0,1490.0,BETHUNE R5,832.0,BETHUNE ELEMENTARY SCHOOL,E,E,down,down,down,E
209,218.0,1490.0,BETHUNE R5,842.0,BETHUNE JUNIORSENIOR HIGH SCHOOL,M,MH,down,down,down,M
