,school,district_id,district_name,EMH,EMH_combined,school_id,achievement_dir,growth_dir,overall_dir,emh
35,ALPINE ELEMENTARY SCHOOL,470.0,ST VRAIN VALLEY RE 1J,E,,61.0,flat,flat,flat,E
36,PEAKVIEW SCHOOL,1390.0,HUERFANO RE-1,E,EM,63.0,down,down,flat,E
37,PEAKVIEW SCHOOL,1390.0,HUERFANO RE-1,M,EM,63.0,flat,flat,flat,M
38,COAL RIDGE HIGH SCHOOL,1195.0,GARFIELD RE-2,H,,65.0,flat,up,flat,H
39,CHALLENGER MIDDLE SCHOOL,1040.0,ACADEMY 20,M,,74.0,flat,up,flat,M
40,ANIMAS HIGH SCHOOL,8001.0,CHARTER SCHOOL INSTITUTE,H,,75.0,flat,flat,flat,H
41,AIR ACADEMY HIGH SCHOOL,1040.0,ACADEMY 20,H,,76.0,flat,flat,flat,H
42,AKRON ELEMENTARY SCHOOL,3030.0,AKRON R-1,E,EM,86.0,up,up,up,E
43,AKRON ELEMENTARY SCHOOL,3030.0,AKRON R-1,M,EM,86.0,flat,flat,up,M
44,AKRON HIGH SCHOOL,3030.0,AKRON R-1,H,,90.0,down,flat,flat,H
45,ALAMEDA HIGH SCHOOL,1420.0,JEFFERSON COUNTY R-1,H,,108.0,flat,flat,flat,H
46,ORTEGA MIDDLE SCHOOL,100.0,ALAMOSA RE-11J,M,,114.0,flat,flat,flat,M
47,ALAMOSA HIGH SCHOOL,100.0,ALAMOSA RE-11J,H,,118.0,flat,flat,flat,H
48,SKY VISTA MIDDLE SCHOOL,130.0,CHERRY CREEK 5,M,,141.0,flat,up,flat,M
49,RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550.0,POUDRE R-1,E,,146.0,flat,flat,flat,E
50,RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550.0,POUDRE R-1,H,,146.0,flat,flat,flat,H
51,RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550.0,POUDRE R-1,M,,146.0,flat,up,flat,M
52,ALLENDALE ELEMENTARY SCHOOL,1420.0,JEFFERSON COUNTY R-1,E,,148.0,up,up,flat,E
53,ALSUP ELEMENTARY SCHOOL,30.0,ADAMS COUNTY 14,E,,186.0,down,down,down,E
54,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,10.0,MAPLETON 1,H,MH,187.0,up,up,up,H
55,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,10.0,MAPLETON 1,M,MH,187.0,down,flat,up,M
56,ALTA VISTA CHARTER SCHOOL,2660.0,LAMAR RE-2,E,,200.0,flat,flat,down,E
57,LORRAINE SECONDARY SCHOOL,1000.0,FOUNTAIN 8,H,,203.0,down,down,down,H
58,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,120.0,ENGLEWOOD 1,H,,206.0,flat,flat,flat,H
59,ASPEN VALLEY HIGH SCHOOL,1040.0,ACADEMY 20,H,,209.0,down,down,down,H
60,VANTAGE POINT,20.0,ADAMS 12 FIVE STAR SCHOOLS,H,,210.0,flat,down,down,H
61,MAPLETON EARLY COLLEGE HIGH SCHOOL,10.0,MAPLETON 1,H,,212.0,flat,up,up,H
62,AXL ACADEMY,180.0,ADAMS-ARAPAHOE 28J,E,,213.0,flat,up,up,E
63,ALTURA ELEMENTARY SCHOOL,180.0,ADAMS-ARAPAHOE 28J,E,,214.0,up,up,up,E
64,AMERICAN ACADEMY AT CASTLE PINES CHARTER,900.0,DOUGLAS COUNTY RE 1,E,,215.0,flat,flat,flat,E
65,AMERICAN ACADEMY AT CASTLE PINES CHARTER,900.0,DOUGLAS COUNTY RE 1,M,,215.0,flat,flat,flat,M
66,AMESSE ELEMENTARY SCHOOL,880.0,DENVER COUNTY 1,E,,220.0,flat,flat,flat,E
67,ANIMAS VALLEY ELEMENTARY SCHOOL,1520.0,DURANGO 9-R,E,,225.0,flat,flat,flat,E
68,ALTONA MIDDLE SCHOOL,470.0,ST VRAIN VALLEY RE 1J,M,,226.0,flat,flat,flat,M
69,ANTELOPE RIDGE ELEMENTARY SCHOOL,130.0,CHERRY CREEK 5,E,,242.0,flat,flat,flat,E
70,COYOTE HILLS ELEMENTARY SCHOOL,130.0,CHERRY CREEK 5,E,,243.0,flat,flat,flat,E
71,GUADALUPE ELEMENTARY SCHOOL,580.0,SOUTH CONEJOS RE-10,E,,248.0,down,down,down,E
72,ANTELOPE TRAILS ELEMENTARY SCHOOL,1040.0,ACADEMY 20,E,,249.0,flat,flat,down,E
73,ANTONITO JUNIOR HIGH SCHOOL,580.0,SOUTH CONEJOS RE-10,M,,250.0,flat,flat,down,M
74,ANTONITO HIGH SCHOOL,580.0,SOUTH CONEJOS RE-10,H,,252.0,down,down,down,H
75,APPLETON ELEMENTARY SCHOOL,2000.0,MESA COUNTY VALLEY 51,E,,262.0,flat,flat,flat,E
76,GLOBAL LEADERSHIP ACADEMY,10.0,MAPLETON 1,E,EMH,263.0,up,up,up,E
77,GLOBAL LEADERSHIP ACADEMY,10.0,MAPLETON 1,H,EMH,263.0,flat,up,up,H
78,GLOBAL LEADERSHIP ACADEMY,10.0,MAPLETON 1,M,EMH,263.0,up,up,up,M
79,CIMARRON MIDDLE,900.0,DOUGLAS COUNTY RE 1,M,,264.0,flat,flat,up,M
80,CLEAR SKY ELEMENTARY,900.0,DOUGLAS COUNTY RE 1,E,,265.0,flat,flat,flat,E
81,GOLD RUSH ELEMENTARY,900.0,DOUGLAS COUNTY RE 1,E,,266.0,flat,flat,flat,E
82,MESA MIDDLE SCHOOL,900.0,DOUGLAS COUNTY RE 1,M,,267.0,flat,up,up,M
83,ARAPAHOE HIGH SCHOOL,140.0,LITTLETON 6,H,,298.0,flat,flat,flat,H
84,ARAPAHOE RIDGE ELEMENTARY SCHOOL,20.0,ADAMS 12 FIVE STAR SCHOOLS,E,,301.0,flat,flat,flat,E
85,ARICKAREE ELEMENTARY SCHOOL,3040.0,ARICKAREE R-2,E,,304.0,flat,down,flat,E
86,SKYVIEW ACADEMY HIGH SCHOOL,10.0,MAPLETON 1,H,,309.0,up,up,up,H
87,ARKANSAS ELEMENTARY SCHOOL,180.0,ADAMS-ARAPAHOE 28J,E,,310.0,down,flat,flat,E
88,ARROWHEAD ELEMENTARY SCHOOL,130.0,CHERRY CREEK 5,E,,348.0,flat,up,up,E
89,ARROWWOOD ELEMENTARY SCHOOL,900.0,DOUGLAS COUNTY RE 1,E,,354.0,flat,flat,down,E
90,FRUITA 8/9 SCHOOL,2000.0,MESA COUNTY VALLEY 51,M,,361.0,flat,flat,down,M
91,RIM ROCK ELEMENTARY SCHOOL,2000.0,MESA COUNTY VALLEY 51,E,,362.0,flat,flat,flat,E
92,PEAR PARK ELEMENTARY SCHOOL,2000.0,MESA COUNTY VALLEY 51,E,,363.0,flat,flat,flat,E
93,ARVADA HIGH SCHOOL,1420.0,JEFFERSON COUNTY R-1,H,,370.0,down,flat,down,H
94,ARVADA WEST HIGH SCHOOL,1420.0,JEFFERSON COUNTY R-1,H,,378.0,down,flat,down,H
95,ASBURY ELEMENTARY SCHOOL,880.0,DENVER COUNTY 1,E,,388.0,flat,flat,down,E
96,VALDEZ ELEMENTARY SCHOOL,880.0,DENVER COUNTY 1,E,EM,408.0,down,flat,up,E
97,VALDEZ ELEMENTARY SCHOOL,880.0,DENVER COUNTY 1,M,EM,408.0,up,up,up,M
98,ASHLEY ELEMENTARY SCHOOL,880.0,DENVER COUNTY 1,E,,418.0,up,up,up,E
99,ASPEN ELEMENTARY SCHOOL,2640.0,ASPEN 1,E,,428.0,flat,flat,flat,E
100,CARBONDALE COMMUNITY CHARTER SCHOOL,1180.0,ROARING FORK RE-1,E,EM,429.0,down,down,down,E
101,CARBONDALE COMMUNITY CHARTER SCHOOL,1180.0,ROARING FORK RE-1,M,EM,429.0,flat,flat,down,M
102,ASPEN MIDDLE SCHOOL,2640.0,ASPEN 1,E,,430.0,flat,up,up,E
103,ASPEN MIDDLE SCHOOL,2640.0,ASPEN 1,M,,430.0,flat,flat,flat,M
104,ASPEN HIGH SCHOOL,2640.0,ASPEN 1,H,,432.0,flat,flat,flat,H
105,ASPEN CREEK K-8 SCHOOL,480.0,BOULDER VALLEY RE 2,E,,441.0,flat,flat,flat,E
106,ASPEN CREEK K-8 SCHOOL,480.0,BOULDER VALLEY RE 2,M,,441.0,flat,flat,flat,M
107,ASPEN CROSSING ELEMENTARY SCHOOL,130.0,CHERRY CREEK 5,E,,442.0,up,up,up,E
108,AUDUBON ELEMENTARY SCHOOL,1010.0,COLORADO SPRINGS 11,E,,452.0,flat,down,down,E
109,AURORA ACADEMY CHARTER SCHOOL,180.0,ADAMS-ARAPAHOE 28J,E,EM,458.0,flat,flat,flat,E
110,AURORA ACADEMY CHARTER SCHOOL,180.0,ADAMS-ARAPAHOE 28J,M,EM,458.0,flat,up,flat,M
111,AURORA HILLS MIDDLE SCHOOL,180.0,ADAMS-ARAPAHOE 28J,M,,464.0,down,flat,down,M
112,AURORA FRONTIER K-8,180.0,ADAMS-ARAPAHOE 28J,E,EM,465.0,up,down,down,E
113,AURORA FRONTIER K-8,180.0,ADAMS-ARAPAHOE 28J,M,EM,465.0,flat,flat,down,M
114,ATLAS PREPARATORY SCHOOL,980.0,HARRISON 2,E,,469.0,flat,flat,flat,E
115,AVON ELEMENTARY SCHOOL,910.0,EAGLE COUNTY RE 50,E,,471.0,up,up,up,E
116,AVONDALE ELEMENTARY SCHOOL,2700.0,PUEBLO COUNTY 70,E,,472.0,flat,up,flat,E
117,ZACH ELEMENTARY SCHOOL,1550.0,POUDRE R-1,E,,477.0,flat,flat,flat,E
118,BACON ELEMENTARY SCHOOL,1550.0,POUDRE R-1,E,,490.0,flat,flat,down,E
119,BAKER CENTRAL SCHOOL,2405.0,FORT MORGAN RE-3,E,,492.0,flat,flat,flat,E
120,BETHKE ELEMENTARY SCHOOL,1550.0,POUDRE R-1,E,,498.0,flat,flat,down,E
121,MONTEREY COMMUNITY SCHOOL,10.0,MAPLETON 1,E,EM,501.0,flat,down,flat,E
122,MONTEREY COMMUNITY SCHOOL,10.0,MAPLETON 1,M,EM,501.0,up,up,flat,M
123,MEADOW COMMUNITY SCHOOL,10.0,MAPLETON 1,E,EM,502.0,flat,up,up,E
124,MEADOW COMMUNITY SCHOOL,10.0,MAPLETON 1,M,EM,502.0,up,up,up,M
125,YORK INTERNATIONAL,10.0,MAPLETON 1,E,EMH,503.0,up,up,flat,E
126,YORK INTERNATIONAL,10.0,MAPLETON 1,H,EMH,503.0,up,up,flat,H
127,YORK INTERNATIONAL,10.0,MAPLETON 1,M,EMH,503.0,flat,up,flat,M
128,HIGHLAND MONTESSORI SCHOOL,10.0,MAPLETON 1,E,,504.0,flat,flat,up,E
129,ACHIEVE ACADEMY,10.0,MAPLETON 1,E,EM,505.0,up,flat,up,E
130,ACHIEVE ACADEMY,10.0,MAPLETON 1,M,EM,505.0,up,up,up,M
131,EXPLORE ELEMENTARY,10.0,MAPLETON 1,E,,506.0,up,up,up,E
132,ADVENTURE ELEMENTARY,10.0,MAPLETON 1,E,,507.0,up,up,up,E
133,CLAYTON PARTNERSHIP SCHOOL,10.0,MAPLETON 1,E,EM,509.0,up,flat,up,E
134,CLAYTON PARTNERSHIP SCHOOL,10.0,MAPLETON 1,M,EM,509.0,down,up,up,M
135,CONRAD BALL MIDDLE SCHOOL,1560.0,THOMPSON R-2J,M,,510.0,flat,flat,down,M
136,BARNUM ELEMENTARY SCHOOL,880.0,DENVER COUNTY 1,E,,520.0,down,flat,up,E
137,BARRETT ELEMENTARY SCHOOL,880.0,DENVER COUNTY 1,E,,540.0,up,up,up,E
138,BANNING LEWIS RANCH ACADEMY,1110.0,FALCON 49,E,,555.0,flat,flat,flat,E
139,BANNING LEWIS RANCH ACADEMY,1110.0,FALCON 49,M,,555.0,up,up,up,M
140,BASALT ELEMENTARY SCHOOL,1180.0,ROARING FORK RE-1,E,,560.0,up,up,up,E
141,BASALT MIDDLE SCHOOL,1180.0,ROARING FORK RE-1,E,EM,561.0,up,up,flat,E
142,BASALT MIDDLE SCHOOL,1180.0,ROARING FORK RE-1,M,EM,561.0,flat,flat,flat,M
143,BASALT HIGH SCHOOL,1180.0,ROARING FORK RE-1,H,,570.0,down,flat,flat,H
144,BATES ELEMENTARY SCHOOL,1010.0,COLORADO SPRINGS 11,E,,594.0,flat,down,down,E
145,BATTLE MOUNTAIN HIGH SCHOOL,910.0,EAGLE COUNTY RE 50,H,,604.0,up,flat,flat,H
146,BATTLE ROCK CHARTER SCHOOL,2035.0,MONTEZUMA-CORTEZ RE-1,E,,609.0,down,down,down,E
147,BAUDER ELEMENTARY SCHOOL,1550.0,POUDRE R-1,E,,612.0,flat,up,flat,E
148,BAYFIELD ELEMENTARY SCHOOL,1530.0,BAYFIELD 10 JT-R,E,,632.0,flat,up,up,E
149,BAYFIELD MIDDLE SCHOOL,1530.0,BAYFIELD 10 JT-R,M,,636.0,flat,flat,flat,M
150,BAYFIELD HIGH SCHOOL,1530.0,BAYFIELD 10 JT-R,H,,640.0,down,flat,flat,H
151,BEACH COURT ELEMENTARY SCHOOL,880.0,DENVER COUNTY 1,E,,650.0,up,up,flat,E
152,BEAR CANYON ELEMENTARY SCHOOL,900.0,DOUGLAS COUNTY RE 1,E,,651.0,flat,up,flat,E
153,BEAR CREEK ELEMENTARY SCHOOL,480.0,BOULDER VALLEY RE 2,E,,652.0,flat,flat,flat,E
154,STONE CREEK SCHOOL,8001.0,CHARTER SCHOOL INSTITUTE,E,EM,653.0,down,down,down,E
155,STONE CREEK SCHOOL,8001.0,CHARTER SCHOOL INSTITUTE,M,EM,653.0,flat,flat,down,M
156,THE PINNACLE CHARTER SCHOOL ELEMENTARY,8001.0,CHARTER SCHOOL INSTITUTE,E,,654.0,up,up,up,E
157,HIGH POINT ACADEMY,8001.0,CHARTER SCHOOL INSTITUTE,E,EM,655.0,flat,flat,down,E
158,HIGH POINT ACADEMY,8001.0,CHARTER SCHOOL INSTITUTE,M,EM,655.0,flat,down,down,M
159,T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,8001.0,CHARTER SCHOOL INSTITUTE,E,EM,657.0,up,flat,flat,E
160,BEAR CREEK K-8 SCHOOL,1420.0,JEFFERSON COUNTY R-1,E,EM,660.0,flat,flat,flat,E
161,BEAR CREEK K-8 SCHOOL,1420.0,JEFFERSON COUNTY R-1,M,EM,660.0,flat,flat,flat,M
162,BEAR CREEK HIGH SCHOOL,1420.0,JEFFERSON COUNTY R-1,H,,664.0,flat,flat,flat,H
163,BEATTIE ELEMENTARY SCHOOL,1550.0,POUDRE R-1,E,,678.0,down,flat,flat,E
164,BELL MIDDLE SCHOOL,1420.0,JEFFERSON COUNTY R-1,M,,694.0,flat,flat,flat,M
165,BELLE CREEK CHARTER SCHOOL,40.0,BRIGHTON 27J,E,,700.0,flat,flat,flat,E
166,BELLE CREEK CHARTER SCHOOL,40.0,BRIGHTON 27J,M,,700.0,up,up,up,M
167,BELLEVIEW ELEMENTARY SCHOOL,130.0,CHERRY CREEK 5,E,,714.0,flat,flat,flat,E
168,BELMAR ELEMENTARY SCHOOL,1420.0,JEFFERSON COUNTY R-1,E,,724.0,flat,flat,down,E
169,BELMONT ELEMENTARY SCHOOL,2690.0,PUEBLO CITY 60,E,,738.0,flat,flat,down,E
170,FRANKLIN ELEMENTARY SCHOOL,140.0,LITTLETON 6,E,,752.0,flat,flat,flat,E
171,BENJAMIN EATON ELEMENTARY SCHOOL,3085.0,EATON RE-2,E,,754.0,flat,flat,flat,E
172,BENJAMIN FRANKLIN ELEMENTARY SCHOOL,2690.0,PUEBLO CITY 60,E,,756.0,flat,flat,up,E
173,BENNETT ELEMENTARY SCHOOL,1550.0,POUDRE R-1,E,,766.0,flat,up,flat,E
174,BENNETT ELEMENTARY SCHOOL,50.0,BENNETT 29J,E,,770.0,flat,flat,down,E
175,BENNETT MIDDLE SCHOOL,50.0,BENNETT 29J,M,,774.0,flat,flat,flat,M
176,BENNETT HIGH SCHOOL,50.0,BENNETT 29J,H,,775.0,flat,up,flat,H
177,BERGEN VALLEY INTERMEDIATE SCHOOL,1420.0,JEFFERSON COUNTY R-1,E,,779.0,flat,down,down,E
178,BERRY CREEK MIDDLE SCHOOL,910.0,EAGLE COUNTY RE 50,M,,793.0,up,flat,up,M
179,BERTHOUD ELEMENTARY SCHOOL,1560.0,THOMPSON R-2J,E,,808.0,flat,down,down,E
180,BERTHOUD HIGH SCHOOL,1560.0,THOMPSON R-2J,H,,812.0,up,up,flat,H
181,BESSEMER ELEMENTARY SCHOOL,2690.0,PUEBLO CITY 60,E,,822.0,down,down,down,E
182,BESSEMER ELEMENTARY SCHOOL,2690.0,PUEBLO CITY 60,M,,822.0,down,flat,down,M
183,BETHUNE ELEMENTARY SCHOOL,1490.0,BETHUNE R-5,E,,832.0,down,flat,up,E
184,BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1490.0,BETHUNE R-5,H,,842.0,down,down,up,H
185,BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1490.0,BETHUNE R-5,M,,842.0,down,flat,flat,M
186,BEULAH ELEMENTARY SCHOOL,2700.0,PUEBLO COUNTY 70,E,,852.0,flat,down,down,E
187,BEULAH MIDDLE SCHOOL,2700.0,PUEBLO COUNTY 70,M,,856.0,down,down,down,M
188,BEULAH HEIGHTS ELEMENTARY SCHOOL,2690.0,PUEBLO CITY 60,E,,860.0,down,down,down,E
189,B F KITCHEN ELEMENTARY SCHOOL,1560.0,THOMPSON R-2J,E,,865.0,flat,flat,down,E
190,BIG THOMPSON ELEMENTARY SCHOOL,1560.0,THOMPSON R-2J,E,,870.0,flat,flat,down,E
191,BIRCH ELEMENTARY SCHOOL,480.0,BOULDER VALLEY RE 2,E,,872.0,down,flat,flat,E
192,BLACK ROCK ELEMENTARY,470.0,ST VRAIN VALLEY RE 1J,E,,875.0,flat,up,flat,E
193,BLUE MOUNTAIN ELEMENTARY,470.0,ST VRAIN VALLEY RE 1J,E,,878.0,flat,flat,flat,E
194,MARY BLAIR ELEMENTARY SCHOOL,1560.0,THOMPSON R-2J,E,,890.0,flat,flat,down,E
195,BLEVINS MIDDLE SCHOOL,1550.0,POUDRE R-1,M,,892.0,up,flat,flat,M
196,BOLTZ MIDDLE SCHOOL,1550.0,POUDRE R-1,M,,898.0,flat,flat,flat,M
197,BOOKCLIFF MIDDLE SCHOOL,2000.0,MESA COUNTY VALLEY 51,M,,900.0,up,up,up,M
198,BOSTON K-8 SCHOOL,180.0,ADAMS-ARAPAHOE 28J,E,EM,914.0,flat,flat,flat,E
199,BOSTON K-8 SCHOOL,180.0,ADAMS-ARAPAHOE 28J,M,EM,914.0,flat,flat,flat,M
200,BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,480.0,BOULDER VALLEY RE 2,E,,919.0,flat,flat,down,E
201,BOULDER HIGH SCHOOL,480.0,BOULDER VALLEY RE 2,H,,924.0,flat,flat,flat,H
202,BRANSON SCHOOL ONLINE,1750.0,BRANSON REORGANIZED 82,E,,948.0,up,flat,up,E
203,BRANSON SCHOOL ONLINE,1750.0,BRANSON REORGANIZED 82,H,,948.0,flat,flat,flat,H
204,BRANSON SCHOOL ONLINE,1750.0,BRANSON REORGANIZED 82,M,,948.0,flat,flat,down,M
205,BLUE HERON ELEMENTARY SCHOOL,1420.0,JEFFERSON COUNTY R-1,E,,951.0,flat,flat,down,E
206,BRADFORD INTERMEDIATE SCHOOL,1420.0,JEFFERSON COUNTY R-1,E,,952.0,flat,flat,flat,E
207,BRADFORD ELEMENTARY SCHOOL,2690.0,PUEBLO CITY 60,E,,954.0,flat,down,down,E
208,BRADLEY ELEMENTARY SCHOOL,880.0,DENVER COUNTY 1,E,,964.0,flat,flat,up,E
209,BRADY EXPLORATION SCHOOL,1420.0,JEFFERSON COUNTY R-1,H,,965.0,down,up,up,H
210,BRENTWOOD MIDDLE SCHOOL,3120.0,GREELEY 6,M,,988.0,flat,flat,flat,M
211,BRICKER ELEMENTARY SCHOOL,980.0,HARRISON 2,E,,1000.0,up,up,up,E
212,BRIDGES,1180.0,ROARING FORK RE-1,H,,1006.0,down,down,down,H
213,BRIGGSDALE ELEMENTARY SCHOOL,3146.0,BRIGGSDALE RE-10,E,,1008.0,flat,down,up,E
214,BRIGGSDALE UNDIVIDED HIGH SCHOOL,3146.0,BRIGGSDALE RE-10,H,,1012.0,down,flat,up,H
215,BRIGGSDALE UNDIVIDED HIGH SCHOOL,3146.0,BRIGGSDALE RE-10,M,,1012.0,down,flat,flat,M
216,BRIGHTON HERITAGE ACADEMY,40.0,BRIGHTON 27J,H,,1021.0,down,flat,down,H
217,BRIGHTON HIGH SCHOOL,40.0,BRIGHTON 27J,H,,1022.0,flat,flat,down,H
218,BRISTOL ELEMENTARY SCHOOL,1010.0,COLORADO SPRINGS 11,E,,1032.0,up,flat,flat,E
219,BROADWAY ELEMENTARY SCHOOL,2000.0,MESA COUNTY VALLEY 51,E,,1046.0,flat,flat,flat,E
220,BROMLEY EAST CHARTER SCHOOL,40.0,BRIGHTON 27J,E,,1052.0,up,flat,down,E
221,BROMLEY EAST CHARTER SCHOOL,40.0,BRIGHTON 27J,M,,1052.0,flat,flat,flat,M
222,BROMWELL ELEMENTARY SCHOOL,880.0,DENVER COUNTY 1,E,,1056.0,flat,flat,flat,E
223,BROOMFIELD HEIGHTS MIDDLE SCHOOL,480.0,BOULDER VALLEY RE 2,M,,1066.0,flat,flat,down,M
224,BROOMFIELD HIGH SCHOOL,480.0,BOULDER VALLEY RE 2,H,,1070.0,flat,flat,flat,H
225,BROWN ELEMENTARY SCHOOL,880.0,DENVER COUNTY 1,E,,1076.0,up,flat,flat,E
226,BRUSH MIDDLE SCHOOL,2395.0,BRUSH RE-2(J),M,,1094.0,flat,flat,flat,M
227,BRUSH HIGH SCHOOL,2395.0,BRUSH RE-2(J),H,,1096.0,up,flat,flat,H
228,BRYANT WEBSTER K-8 SCHOOL,880.0,DENVER COUNTY 1,E,EM,1106.0,down,flat,up,E
229,BRYANT WEBSTER K-8 SCHOOL,880.0,DENVER COUNTY 1,M,EM,1106.0,flat,flat,up,M
230,BUENA VISTA ELEMENTARY SCHOOL,1010.0,COLORADO SPRINGS 11,E,,1126.0,up,flat,up,E
231,BUENA VISTA HIGH SCHOOL,490.0,BUENA VISTA R-31,H,,1130.0,up,up,up,H
232,BUFFALO RIDGE ELEMENTARY SCHOOL,900.0,DOUGLAS COUNTY RE 1,E,,1131.0,flat,flat,up,E
233,HARRY L MC GINNIS MIDDLE SCHOOL,490.0,BUENA VISTA R-31,M,,1132.0,flat,flat,flat,M
234,MANHATTAN MIDDLE SCHOOL OF THE ARTS AND ACADEMICS,480.0,BOULDER VALLEY RE 2,M,,1136.0,flat,flat,flat,M
235,BURLINGTON ELEMENTARY SCHOOL,1500.0,BURLINGTON RE-6J,E,,1144.0,down,flat,down,E
236,BURLINGTON ELEMENTARY SCHOOL,470.0,ST VRAIN VALLEY RE 1J,E,,1148.0,flat,flat,flat,E
237,BURLINGTON MIDDLE SCHOOL,1500.0,BURLINGTON RE-6J,E,EM,1150.0,up,flat,up,E
238,BURLINGTON MIDDLE SCHOOL,1500.0,BURLINGTON RE-6J,M,EM,1150.0,down,up,up,M
239,BURLINGTON HIGH SCHOOL,1500.0,BURLINGTON RE-6J,H,,1152.0,flat,up,flat,H
240,BUFFALO TRAIL ELEMENTARY SCHOOL,130.0,CHERRY CREEK 5,E,,1155.0,flat,flat,flat,E
