district_id,school_id,eng_yn,math_yn,read_yn,sci_yn,year,pct_remediation,est_child_poverty,est_total_child,est_total_pop,child_pov_ratio,child_adult_ratio,county,instruction_total,support_total,community_total,other_total,sum_total,instruction_per_pupil,support_per_pupil,community_per_pupil,other_per_pupil,sum_per_pupil,achievement_dir,growth_dir,overall_dir,school_grade,rank,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate,total,pct_amind,pct_asian,pct_black,pct_hisp,pct_white,pct_pi,pct_2ormore,pct_fr,district_name,school
140,298,1.0,1.0,1.0,0.0,2010,0.166667,1450,15459,92356,0.09379649395174332,0.1673849019013383,ARAPAHOE,83166890,50805003,7107,107665512,241644511, 5526 , 3376 , 0 , 7154 , 16056 ,0.0,0.0,0.0,12,16,12,12,12,12,9,7,9,7,96.0,2190,0.00456621,0.019634703,0.006849315,0.07716895,0.864383562,0.000913242,0.026484018,0.063,LITTLETON 6,ARAPAHOE HIGH SCHOOL
140,3930,1.0,0.0,1.0,0.0,2010,0.190789,1450,15459,92356,0.09379649395174332,0.1673849019013383,ARAPAHOE,83166890,50805003,7107,107665512,241644511, 5526 , 3376 , 0 , 7154 , 16056 ,0.0,0.0,0.0,12,13,12,12,12,12,10,9,12,9,93.6,1752,0.007420091,0.020547945,0.014840183,0.109589041,0.815068493,0.000570776,0.03196347,0.107,LITTLETON 6,HERITAGE HIGH SCHOOL
140,5224,1.0,0.0,0.0,0.0,2010,0.289017,1450,15459,92356,0.09379649395174332,0.1673849019013383,ARAPAHOE,83166890,50805003,7107,107665512,241644511, 5526 , 3376 , 0 , 7154 , 16056 ,0.0,0.0,0.0,7,140,7,9,9,8,6,6,7,7,81.4,1490,0.005369128,0.026174497,0.017449664,0.185234899,0.72885906,0.002684564,0.034228188,0.226,LITTLETON 6,LITTLETON HIGH SCHOOL
180,1458,0.0,0.0,0.0,0.0,2010,0.753623,9251,39607,207500,0.23356982351604513,0.19087710843373493,ARAPAHOE,203395982,142545814,1722591,88992578,436656965, 5719 , 4008 , 48 , 2502 , 12277 ,-1.0,0.0,0.0,2,327,2,4,2,2,6,6,7,6,51.4,2291,0.007856831,0.053688346,0.162374509,0.676996945,0.077258839,0.005237887,0.016586643,0.7240000000000001,ADAMS ARAPAHOE 28J,AURORA CENTRAL HIGH SCHOOL
180,3354,0.0,0.0,0.0,0.0,2010,0.615385,9251,39607,207500,0.23356982351604513,0.19087710843373493,ARAPAHOE,203395982,142545814,1722591,88992578,436656965, 5719 , 4008 , 48 , 2502 , 12277 ,0.0,0.0,-1.0,5,295,5,6,5,5,6,6,6,6,60.4,1726,0.008690614,0.042873696,0.266512167,0.417728853,0.232908459,0.00405562,0.027230591,0.565,ADAMS ARAPAHOE 28J,GATEWAY HIGH SCHOOL
180,4024,0.0,0.0,0.0,0.0,2010,0.522936,9251,39607,207500,0.23356982351604513,0.19087710843373493,ARAPAHOE,203395982,142545814,1722591,88992578,436656965, 5719 , 4008 , 48 , 2502 , 12277 ,0.0,0.0,0.0,5,293,5,6,5,5,6,6,7,8,62.3,2080,0.004326923,0.046634615,0.177403846,0.583653846,0.158653846,0.005769231,0.023557692,0.6759999999999999,ADAMS ARAPAHOE 28J,HINKLEY HIGH SCHOOL
180,7250,0.0,0.0,0.0,0.0,2010,0.447059,9251,39607,207500,0.23356982351604513,0.19087710843373493,ARAPAHOE,203395982,142545814,1722591,88992578,436656965, 5719 , 4008 , 48 , 2502 , 12277 ,0.0,0.0,-1.0,4,270,6,6,5,6,6,6,6,5,70.6,2302,0.008688097,0.064726325,0.230234579,0.293223284,0.363162467,0.004344049,0.035621199,0.39299999999999996,ADAMS ARAPAHOE 28J,RANGEVIEW HIGH SCHOOL
220,6658,0.0,0.0,0.0,0.0,2010,0.473684,372,1718,11506,0.21653084982537835,0.14931340170345905,ARCHULETA,7128229,6552572,0,938320,14619122, 4658 , 4282 , 0 , 613 , 9552 ,1.0,1.0,0.0,9,91,9,9,9,9,9,8,12,6,87.0,474,0.012658228,0.004219409,0.010548523,0.223628692,0.746835443,0.0,0.002109705,0.441,ARCHULETA COUNTY 50 JT,PAGOSA SPRINGS HIGH SCHOOL
470,2761,1.0,0.0,0.0,0.0,2010,0.426829,3375,29671,152450,0.11374743015065215,0.19462774680223024,BOULDER,134680278,93342064,624306,182742738,411389385, 5283 , 3661 , 24 , 7168 , 16137 ,0.0,0.0,-1.0,6,174,9,9,7,9,5,6,5,5,90.3,760,0.007894737,0.031578947,0.011842105,0.130263158,0.815789474,0.001315789,0.001315789,0.147,ST VRAIN VALLEY RE 1J,ERIE HIGH SCHOOL
470,3196,1.0,0.0,0.0,0.0,2010,0.419355,3375,29671,152450,0.11374743015065215,0.19462774680223024,BOULDER,134680278,93342064,624306,182742738,411389385, 5283 , 3661 , 24 , 7168 , 16137 ,0.0,0.0,-1.0,7,160,6,6,6,6,8,9,6,7,82.6,806,0.009925558,0.03101737,0.008684864,0.287841191,0.658808933,0.003722084,0.0,0.325,ST VRAIN VALLEY RE 1J,FREDERICK SENIOR HIGH SCHOOL
470,5282,1.0,0.0,0.0,0.0,2010,0.30625,3375,29671,152450,0.11374743015065215,0.19462774680223024,BOULDER,134680278,93342064,624306,182742738,411389385, 5283 , 3661 , 24 , 7168 , 16137 ,0.0,0.0,0.0,7,135,6,9,7,7,6,6,6,7,90.1,1222,0.011456628,0.020458265,0.014729951,0.282324059,0.666121113,0.001636661,0.003273322,0.336,ST VRAIN VALLEY RE 1J,LONGMONT HIGH SCHOOL
470,5368,1.0,1.0,1.0,0.0,2010,,3375,29671,152450,0.11374743015065215,0.19462774680223024,BOULDER,134680278,93342064,624306,182742738,411389385, 5283 , 3661 , 24 , 7168 , 16137 ,1.0,1.0,0.0,12,15,12,13,11,12,10,9,10,9,96.6,441,0.006802721,0.015873016,0.002267574,0.083900227,0.886621315,0.0,0.004535147,0.154,ST VRAIN VALLEY RE 1J,LYONS MIDDLE/SENIOR HIGH SCHOOL
470,6276,1.0,0.0,1.0,0.0,2010,0.176829,3375,29671,152450,0.11374743015065215,0.19462774680223024,BOULDER,134680278,93342064,624306,182742738,411389385, 5283 , 3661 , 24 , 7168 , 16137 ,0.0,0.0,0.0,9,55,11,12,12,12,7,8,6,7,95.4,1284,0.002336449,0.059190031,0.008566978,0.182242991,0.734423676,0.005451713,0.007788162,0.16,ST VRAIN VALLEY RE 1J,NIWOT HIGH SCHOOL
470,7789,1.0,0.0,1.0,0.0,2010,0.277228,3375,29671,152450,0.11374743015065215,0.19462774680223024,BOULDER,134680278,93342064,624306,182742738,411389385, 5283 , 3661 , 24 , 7168 , 16137 ,0.0,0.0,0.0,7,140,10,10,10,10,6,6,6,6,89.0,1057,0.008514664,0.031220435,0.017029328,0.138126774,0.793755913,0.001892148,0.009460738,0.136,ST VRAIN VALLEY RE 1J,SILVER CREEK HIGH SCHOOL
470,7954,1.0,0.0,0.0,0.0,2010,0.40708,3375,29671,152450,0.11374743015065215,0.19462774680223024,BOULDER,134680278,93342064,624306,182742738,411389385, 5283 , 3661 , 24 , 7168 , 16137 ,-1.0,0.0,0.0,6,243,6,6,6,6,5,6,5,4,85.1,1230,0.009756098,0.034146341,0.020325203,0.449593496,0.483739837,0.002439024,0.0,0.441,ST VRAIN VALLEY RE 1J,SKYLINE HIGH SCHOOL
480,924,1.0,1.0,1.0,1.0,2010,0.162679,3182,30328,212662,0.10491954629385386,0.14261127987134514,BOULDER,174694230,102951401,4911328,94371626,376928586, 6206 , 3657 , 174 , 3353 , 13391 ,0.0,0.0,0.0,10,44,9,12,10,10,7,5,9,6,92.4,1780,0.002247191,0.043820225,0.020224719,0.165730337,0.734831461,0.001123596,0.032022472,0.165,BOULDER VALLEY RE 2,BOULDER HIGH SCHOOL
480,1070,1.0,0.0,1.0,0.0,2010,0.25,3182,30328,212662,0.10491954629385386,0.14261127987134514,BOULDER,174694230,102951401,4911328,94371626,376928586, 6206 , 3657 , 174 , 3353 , 13391 ,0.0,0.0,0.0,9,90,9,9,9,8,6,5,6,6,92.9,1440,0.009027778,0.039583333,0.009027778,0.118055556,0.795138889,0.000694444,0.028472222,0.129,BOULDER VALLEY RE 2,BROOMFIELD HIGH SCHOOL
480,1380,1.0,0.0,0.0,0.0,2010,0.252336,3182,30328,212662,0.10491954629385386,0.14261127987134514,BOULDER,174694230,102951401,4911328,94371626,376928586, 6206 , 3657 , 174 , 3353 , 13391 ,0.0,0.0,0.0,6,176,6,8,6,6,9,6,12,6,88.4,1042,0.007677543,0.026871401,0.012476008,0.317658349,0.595009597,0.0,0.040307102,0.314,BOULDER VALLEY RE 2,CENTAURUS HIGH SCHOOL
480,2892,1.0,1.0,1.0,1.0,2010,0.110132,3182,30328,212662,0.10491954629385386,0.14261127987134514,BOULDER,174694230,102951401,4911328,94371626,376928586, 6206 , 3657 , 174 , 3353 , 13391 ,0.0,0.0,0.0,11,34,12,13,13,12,6,6,8,6,93.7,1973,0.005575266,0.098834263,0.005575266,0.07045109,0.783578307,0.000506842,0.035478966,0.065,BOULDER VALLEY RE 2,FAIRVIEW HIGH SCHOOL
480,5999,1.0,1.0,1.0,0.0,2010,0.13253,3182,30328,212662,0.10491954629385386,0.14261127987134514,BOULDER,174694230,102951401,4911328,94371626,376928586, 6206 , 3657 , 174 , 3353 , 13391 ,0.0,0.0,0.0,9,68,9,12,10,10,6,5,7,6,97.7,1531,0.000653168,0.052253429,0.007184847,0.077726976,0.815806662,0.001306336,0.045068583,0.051,BOULDER VALLEY RE 2,MONARCH HIGH SCHOOL
480,6212,1.0,0.0,0.0,0.0,2010,,3182,30328,212662,0.10491954629385386,0.14261127987134514,BOULDER,174694230,102951401,4911328,94371626,376928586, 6206 , 3657 , 174 , 3353 , 13391 ,-1.0,-1.0,-1.0,9,98,9,9,9,12,9,6,9,9,89.1,355,0.011267606,0.008450704,0.0,0.076056338,0.864788732,0.002816901,0.036619718,0.192,BOULDER VALLEY RE 2,NEDERLAND MIDDLE-SENIOR HIGH SCHOOL
480,6816,1.0,1.0,1.0,1.0,2010,0.114286,3182,30328,212662,0.10491954629385386,0.14261127987134514,BOULDER,174694230,102951401,4911328,94371626,376928586, 6206 , 3657 , 174 , 3353 , 13391 ,0.0,0.0,0.0,12,9,12,12,12,13,9,8,9,9,97.8,1444,0.002077562,0.097645429,0.008310249,0.092797784,0.756925208,0.002077562,0.040166205,0.08199999999999999,BOULDER VALLEY RE 2,PEAK TO PEAK CHARTER SCHOOL
490,1130,1.0,0.0,1.0,0.0,2010,0.340909,160,1008,8659,0.15873015873015872,0.116410670978173,CHAFFEE,5631925,4225231,0,638553,10495709, 6112 , 4586 , 0 , 693 , 11391 ,1.0,1.0,1.0,12,22,11,7,9,10,12,10,12,12,95.2,282,0.007092199,0.003546099,0.003546099,0.102836879,0.85106383,0.003546099,0.028368794,0.266,BUENA VISTA R 31,BUENA VISTA HIGH SCHOOL
500,7568,1.0,0.0,0.0,0.0,2010,0.225806,224,1219,9292,0.1837571780147662,0.1311881188118812,CHAFFEE,6758272,5223828,365557,3155491,15503147, 6289 , 4861 , 340 , 2936 , 14427 ,0.0,0.0,0.0,6,260,6,8,6,6,3,3,5,1,82.9,306,0.006535948,0.013071895,0.003267974,0.130718954,0.816993464,0.009803922,0.019607843,0.337,SALIDA R 32,SALIDA HIGH SCHOOL
540,4216,1.0,0.0,0.0,0.0,2010,0.30303,130,1137,9112,0.11433597185576078,0.12478050921861282,CLEAR CREEK,5299198,4422078,0,2252818,11974094, 5774 , 4819 , 0 , 2455 , 13048 ,0.0,1.0,0.0,9,84,7,7,9,9,10,7,8,12,84.9,247,0.012145749,0.0,0.016194332,0.145748988,0.801619433,0.0,0.024291498,0.243,CLEAR CREEK RE 1,CLEAR CREEK HIGH SCHOOL
550,1378,1.0,0.0,0.0,0.0,2010,,234,1016,4639,0.23031496062992127,0.2190127182582453,CONEJOS,5851244,3390402,0,204889,9446536, 5445 , 3155 , 0 , 191 , 8790 ,1.0,1.0,0.0,7,130,6,8,7,6,7,6,10,6,96.5,293,0.003412969,0.017064846,0.0,0.546075085,0.406143345,0.0,0.027303754,0.655,NORTH CONEJOS RE 1J,CENTAURI HIGH SCHOOL
560,7616,1.0,0.0,1.0,0.0,2010,,57,305,1371,0.18688524590163935,0.2224653537563822,CONEJOS,1870887,846710,0,366532,3084130, 5774 , 2613 , 0 , 1131 , 9519 ,1.0,0.0,0.0,6,185,7,12,9,10,9,11,9,5,85.2,140,0.014285714,0.007142857,0.0,0.278571429,0.685714286,0.007142857,0.007142857,0.579,SANFORD 6J,SANFORD JUNIOR/SENIOR HIGH SCHOOL
870,1372,1.0,0.0,0.0,0.0,2010,0.366667,1084,5117,31264,0.21184287668555796,0.16367067553735926,DELTA,27756045,13885330,28269,10545417,52215061, 5436 , 2720 , 6 , 2066 , 10227 ,1.0,1.0,1.0,11,31,10,8,8,9,12,12,9,10,94.9,275,0.010909091,0.007272727,0.0,0.109090909,0.850909091,0.0,0.021818182,0.429,DELTA COUNTY 50J,CEDAREDGE HIGH SCHOOL
870,2164,0.0,0.0,0.0,0.0,2010,0.404255,1084,5117,31264,0.21184287668555796,0.16367067553735926,DELTA,27756045,13885330,28269,10545417,52215061, 5436 , 2720 , 6 , 2066 , 10227 ,1.0,1.0,1.0,9,103,7,7,6,6,9,12,6,9,92.4,657,0.01217656,0.01065449,0.00608828,0.318112633,0.646879756,0.0,0.00608828,0.542,DELTA COUNTY 50J,DELTA HIGH SCHOOL
870,4128,1.0,0.0,0.0,0.0,2010,0.344828,1084,5117,31264,0.21184287668555796,0.16367067553735926,DELTA,27756045,13885330,28269,10545417,52215061, 5436 , 2720 , 6 , 2066 , 10227 ,0.0,0.0,0.0,9,66,7,7,8,7,9,9,6,10,95.3,252,0.003968254,0.011904762,0.0,0.162698413,0.801587302,0.0,0.01984127,0.429,DELTA COUNTY 50J,HOTCHKISS HIGH SCHOOL
870,6708,1.0,0.0,0.0,0.0,2010,,1084,5117,31264,0.21184287668555796,0.16367067553735926,DELTA,27756045,13885330,28269,10545417,52215061, 5436 , 2720 , 6 , 2066 , 10227 ,0.0,0.0,0.0,7,151,9,7,9,10,9,8,7,10,92.8,250,0.012,0.004,0.0,0.1,0.856,0.0,0.028,0.32799999999999996,DELTA COUNTY 50J,PAONIA HIGH SCHOOL
880,10,0.0,0.0,0.0,0.0,2010,0.785714,22978,85901,604414,0.267493975623101,0.14212278339019283,DENVER,438251412,369798031,18599153,400556989,1227205585, 6022 , 5082 , 256 , 5504 , 16864 ,1.0,0.0,-1.0,5,285,3,5,3,2,7,7,6,7,65.9,1930,0.009326425,0.029015544,0.00984456,0.916580311,0.031606218,0.000518135,0.003108808,0.93,DENVER COUNTY 1,ABRAHAM LINCOLN HIGH SCHOOL
880,2184,1.0,1.0,0.0,1.0,2010,0.190476,22978,85901,604414,0.267493975623101,0.14212278339019283,DENVER,438251412,369798031,18599153,400556989,1227205585, 6022 , 5082 , 256 , 5504 , 16864 ,0.0,0.0,0.0,12,23,12,11,13,13,11,9,9,12,94.4,1043,0.000958773,0.046979866,0.09012464,0.171620326,0.616490892,0.001917546,0.071907958,0.13,DENVER COUNTY 1,DENVER SCHOOL OF THE ARTS
880,2398,1.0,0.0,0.0,0.0,2010,0.385366,22978,85901,604414,0.267493975623101,0.14212278339019283,DENVER,438251412,369798031,18599153,400556989,1227205585, 6022 , 5082 , 256 , 5504 , 16864 ,0.0,0.0,0.0,7,140,7,9,8,7,7,9,6,7,81.2,2199,0.005911778,0.021373352,0.262391996,0.215097772,0.441109595,0.002273761,0.051841746,0.341,DENVER COUNTY 1,EAST HIGH SCHOOL
880,3378,1.0,0.0,0.0,0.0,2010,0.6,22978,85901,604414,0.267493975623101,0.14212278339019283,DENVER,438251412,369798031,18599153,400556989,1227205585, 6022 , 5082 , 256 , 5504 , 16864 ,0.0,0.0,0.0,6,171,6,7,6,6,8,9,8,6,80.3,1606,0.004358655,0.03985056,0.386674969,0.268991283,0.244084682,0.00249066,0.053549191,0.546,DENVER COUNTY 1,GEORGE WASHINGTON HIGH SCHOOL
880,4444,0.0,0.0,0.0,0.0,2010,0.627119,22978,85901,604414,0.267493975623101,0.14212278339019283,DENVER,438251412,369798031,18599153,400556989,1227205585, 6022 , 5082 , 256 , 5504 , 16864 ,0.0,0.0,0.0,6,180,5,6,5,5,9,9,9,6,80.4,1125,0.014222222,0.075555556,0.018666667,0.662222222,0.205333333,0.005333333,0.018666667,0.6629999999999999,DENVER COUNTY 1,JOHN F KENNEDY HIGH SCHOOL
880,5995,0.0,0.0,0.0,0.0,2010,0.717647,22978,85901,604414,0.267493975623101,0.14212278339019283,DENVER,438251412,369798031,18599153,400556989,1227205585, 6022 , 5082 , 256 , 5504 , 16864 ,-1.0,0.0,0.0,3,318,3,3,3,2,7,7,6,7,57.9,1618,0.004326329,0.01421508,0.263906057,0.655747837,0.028430161,0.004944376,0.028430161,0.867,DENVER COUNTY 1,MONTBELLO HIGH SCHOOL
880,6314,0.0,0.0,0.0,0.0,2010,0.721311,22978,85901,604414,0.267493975623101,0.14212278339019283,DENVER,438251412,369798031,18599153,400556989,1227205585, 6022 , 5082 , 256 , 5504 , 16864 ,0.0,0.0,0.0,3,320,2,5,3,3,6,5,6,5,58.2,874,0.02173913,0.008009153,0.032036613,0.861556064,0.061784897,0.0,0.014874142,0.86,DENVER COUNTY 1,NORTH HIGH SCHOOL
880,8086,0.0,0.0,0.0,0.0,2010,0.6875,22978,85901,604414,0.267493975623101,0.14212278339019283,DENVER,438251412,369798031,18599153,400556989,1227205585, 6022 , 5082 , 256 , 5504 , 16864 ,0.0,0.0,0.0,5,284,3,5,5,3,9,9,7,8,67.4,1359,0.005150846,0.161147903,0.218543046,0.348785872,0.236938926,0.00147167,0.027961737,0.715,DENVER COUNTY 1,SOUTH HIGH SCHOOL
880,8822,1.0,0.0,0.0,0.0,2010,0.572581,22978,85901,604414,0.267493975623101,0.14212278339019283,DENVER,438251412,369798031,18599153,400556989,1227205585, 6022 , 5082 , 256 , 5504 , 16864 ,1.0,1.0,1.0,7,150,6,6,6,6,9,9,7,9,78.2,1070,0.007476636,0.024299065,0.253271028,0.271028037,0.376635514,0.004672897,0.062616822,0.478,DENVER COUNTY 1,THOMAS JEFFERSON HIGH SCHOOL
880,9408,0.0,0.0,0.0,0.0,2010,0.906977,22978,85901,604414,0.267493975623101,0.14212278339019283,DENVER,438251412,369798031,18599153,400556989,1227205585, 6022 , 5082 , 256 , 5504 , 16864 ,0.0,1.0,1.0,4,309,2,3,2,2,6,8,5,6,50.9,789,0.012674271,0.002534854,0.054499366,0.856780735,0.059569075,0.0,0.013941698,0.877,DENVER COUNTY 1,WEST HIGH SCHOOL
900,1503,1.0,0.0,1.0,0.0,2010,0.221818,2236,65857,289268,0.03395235130661889,0.22766776829791058,DOUGLAS,287808328,184354717,370600,207309771,679843415, 4967 , 3182 , 6 , 3578 , 11732 ,0.0,0.0,0.0,10,52,9,9,9,9,8,7,6,9,92.4,2077,0.004333173,0.025999037,0.011073664,0.129032258,0.790081849,0.001925855,0.037554165,0.086,DOUGLAS COUNTY RE 1,CHAPARRAL HIGH SCHOOL
