$ ,Per Pupil,"49,788.0 "," 6,503 "," 3,018 ", 22 ," 2,732 "," 12,275 "
% ,All Funds,,53.0 ,24.6 ,0.2 ,22.3 ,100.0 
,,,,,,,
,ARAPAHOE,LITTLETON 6,,,,,
$ ,Amount,,"84,782,588","52,823,735","4,783","17,185,358","154,796,463"
$ ,Per Pupil,"14,928.0 "," 5,679 "," 3,539 ", 0 ," 1,151 "," 10,370 "
% ,All Funds,,54.8 ,34.1 ,0.0 ,11.1 ,100.0 
,,,,,,,
,ARAPAHOE,DEER TRAIL 26J,,,,,
$ ,Amount,,"1,370,559","1,039,739","23,320","30,733","2,464,351"
$ ,Per Pupil,157.1 ," 8,724 "," 6,618 ", 148 , 196 ," 15,687 "
% ,All Funds,,55.6 ,42.2 ,0.9 ,1.2 ,100.0 
,,,,,,,
,ARAPAHOE,ADAMS-ARAPAHOE 28J,,,,,
$ ,Amount,,"194,041,294","142,067,306","1,350,276","262,051,593","599,510,470"
$ ,Per Pupil,"36,551.8 "," 5,309 "," 3,887 ", 37 ," 7,169 "," 16,402 "
% ,All Funds,,32.4 ,23.7 ,0.2 ,43.7 ,100.0 
,,,,,,,
,ARAPAHOE,BYERS 32J,,,,,
$ ,Amount,,"2,403,715","1,961,002","48,645","1,085,737","5,499,099"
$ ,Per Pupil,453.6 ," 5,299 "," 4,323 ", 107 ," 2,394 "," 12,123 "
% ,All Funds,,43.7 ,35.7 ,0.9 ,19.7 ,100.0 
,,,,,,,
,ARCHULETA,ARCHULETA COUNTY 50 JT,,,,,
$ ,Amount,,"7,239,297","6,966,180",0,"940,545","15,146,022"
$ ,Per Pupil,"1,482.3 "," 4,884 "," 4,700 ", 0 , 635 ," 10,218 "
% ,All Funds,,47.8 ,46.0 ,0.0 ,6.2 ,100.0 
,,,,,,,
,BACA,WALSH RE-1,,,,,
$ ,Amount,,"1,183,935","953,754",0,"18,146","2,155,835"
$ ,Per Pupil,147.0 ," 8,054 "," 6,488 ", 0 , 123 ," 14,666 "
% ,All Funds,,54.9 ,44.2 ,0.0 ,0.8 ,100.0 
,,,,,,,
,BACA,PRITCHETT RE-3,,,,,
$ ,Amount,,"694,331","609,447",0,0,"1,303,777"
$ ,Per Pupil,67.2 ," 10,332 "," 9,069 ", 0 , 0 ," 19,401 "
% ,All Funds,,53.3 ,46.7 ,0.0 ,0.0 ,100.0 
,,,,,,,
,BACA,SPRINGFIELD RE-4,,,,,
$ ,Amount,,"1,652,702","1,138,387",0,"26,331","2,817,420"
$ ,Per Pupil,270.0 ," 6,121 "," 4,216 ", 0 , 98 ," 10,435 "
% ,All Funds,,58.7 ,40.4 ,0.0 ,0.9 ,100.0 
,,,,,,,
,BACA,VILAS RE-5,,,,,
$ ,Amount,,"1,235,157","901,414",0,291,"2,136,862"
$ ,Per Pupil,291.5 ," 4,237 "," 3,092 ", 0 , 1 ," 7,331 "
% ,All Funds,,57.8 ,42.2 ,0.0 ,0.0 ,100.0 
,,,,,,,
,BACA,CAMPO RE-6,,,,,
$ ,Amount,,"537,284","527,999","18,804",0,"1,084,087"
$ ,Per Pupil,48.7 ," 11,033 "," 10,842 ", 386 , 0 ," 22,261 "
% ,All Funds,,49.6 ,48.7 ,1.7 ,0.0 ,100.0 
,,,,,,,
,BENT,LAS ANIMAS RE-1,,,,,
$ ,Amount,,"2,708,401","2,127,892",0,"483,894","5,320,186"
$ ,Per Pupil,528.6 ," 5,124 "," 4,026 ", 0 , 915 ," 10,065 "
% ,All Funds,,50.9 ,40.0 ,0.0 ,9.1 ,100.0 
,,,,,,,
,BENT,MCCLAVE RE-2,,,,,
$ ,Amount,,"1,473,523","1,255,272","1,364","143,959","2,874,118"
$ ,Per Pupil,271.3 ," 5,431 "," 4,627 ", 5 , 531 ," 10,594 "
% ,All Funds,,51.3 ,43.7 ,0.0 ,5.0 ,100.0 
,,,,,,,
,BOULDER,ST VRAIN VALLEY RE 1J,,,,,
$ ,Amount,,"131,469,112","96,330,428","769,071","109,303,868","337,872,480"
$ ,Per Pupil,"26,120.2 "," 5,033 "," 3,688 ", 29 ," 4,185 "," 12,935 "
% ,All Funds,,38.9 ,28.5 ,0.2 ,32.4 ,100.0 
,,,,,,,
,BOULDER,BOULDER VALLEY RE 2,,,,,
$ ,Amount,,"180,641,258","114,267,073","4,798,932","79,475,218","379,182,480"
$ ,Per Pupil,"28,317.5 "," 6,379 "," 4,035 ", 169 ," 2,807 "," 13,390 "
% ,All Funds,,47.6 ,30.1 ,1.3 ,21.0 ,100.0 
,,,,,,,
,CHAFFEE,BUENA VISTA R-31,,,,,
$ ,Amount,,"5,374,699","3,789,206",0,"638,703","9,802,607"
$ ,Per Pupil,939.0 ," 5,724 "," 4,035 ", 0 , 680 ," 10,439 "
% ,All Funds,,54.8 ,38.7 ,0.0 ,6.5 ,100.0 
,,,,,,,
,CHAFFEE,SALIDA R-32,,,,,
$ ,Amount,,"6,579,209","4,652,874",0,"24,540,583","35,772,665"
$ ,Per Pupil,"1,068.8 "," 6,156 "," 4,353 ", 0 ," 22,961 "," 33,470 "
% ,All Funds,,18.4 ,13.0 ,0.0 ,68.6 ,100.0 
,,,,,,,
,CHEYENNE,KIT CARSON R-1,,,,,
$ ,Amount,,"1,117,972","876,569",0,"91,831","2,086,372"
$ ,Per Pupil,114.5 ," 9,764 "," 7,656 ", 0 , 802 ," 18,222 "
% ,All Funds,,53.6 ,42.0 ,0.0 ,4.4 ,100.0 
,,,,,,,
,CHEYENNE,CHEYENNE COUNTY RE-5,,,,,
$ ,Amount,,"1,558,290","1,332,532",248,"5,018,491","7,909,561"
$ ,Per Pupil,175.6 ," 8,874 "," 7,588 ", 1 ," 28,579 "," 45,043 "
% ,All Funds,,19.7 ,16.8 ,0.0 ,63.4 ,100.0 
,,,,,,,
,CLEAR CREEK,CLEAR CREEK RE-1,,,,,
$ ,Amount,,"5,268,673","4,743,727",0,"15,450,578","25,462,978"
$ ,Per Pupil,907.1 ," 5,808 "," 5,230 ", 0 ," 17,033 "," 28,071 "
% ,All Funds,,20.7 ,18.6 ,0.0 ,60.7 ,100.0 
,,,,,,,
,CONEJOS,NORTH CONEJOS RE-1J,,,,,
$ ,Amount,,"5,645,357","3,426,969",0,"243,677","9,316,003"
$ ,Per Pupil,"1,050.0 "," 5,377 "," 3,264 ", 0 , 232 ," 8,872 "
% ,All Funds,,60.6 ,36.8 ,0.0 ,2.6 ,100.0 
,,,,,,,
,CONEJOS,SANFORD 6J,,,,,
$ ,Amount,,"1,873,125","1,189,438",0,"577,829","3,640,392"
$ ,Per Pupil,328.4 ," 5,704 "," 3,622 ", 0 ," 1,760 "," 11,085 "
% ,All Funds,,51.5 ,32.7 ,0.0 ,15.9 ,100.0 
,,,,,,,
,CONEJOS,SOUTH CONEJOS RE-10,,,,,
$ ,Amount,,"1,500,314","1,473,348",285,"66,216","3,040,164"
$ ,Per Pupil,253.7 ," 5,914 "," 5,807 ", 1 , 261 ," 11,983 "
% ,All Funds,,49.3 ,48.5 ,0.0 ,2.2 ,100.0 
,,,,,,,
,COSTILLA,CENTENNIAL R-1,,,,,
$ ,Amount,,"1,146,650","1,347,480",0,"1,143,089","3,637,219"
$ ,Per Pupil,235.9 ," 4,861 "," 5,712 ", 0 ," 4,846 "," 15,418 "
% ,All Funds,,31.5 ,37.0 ,0.0 ,31.4 ,100.0 
,,,,,,,
,COSTILLA,SIERRA GRANDE R-30,,,,,
$ ,Amount,,"1,655,065","2,171,706",0,"336,992","4,163,762"
$ ,Per Pupil,270.5 ," 6,119 "," 8,028 ", 0 ," 1,246 "," 15,393 "
% ,All Funds,,39.7 ,52.2 ,0.0 ,8.1 ,100.0 
,,,,,,,
,CROWLEY,CROWLEY COUNTY RE-1-J,,,,,
$ ,Amount,,"2,356,953","1,940,489",0,"161,671","4,459,114"
$ ,Per Pupil,485.6 ," 4,854 "," 3,996 ", 0 , 333 ," 9,183 "
% ,All Funds,,52.9 ,43.5 ,0.0 ,3.6 ,100.0 
,,,,,,,
,CUSTER,CONSOLIDATED C-1,,,,,
$ ,Amount,,"2,272,482","1,765,506",0,"2,485,898","6,523,887"
$ ,Per Pupil,449.0 ," 5,061 "," 3,932 ", 0 ," 5,537 "," 14,530 "
% ,All Funds,,34.8 ,27.1 ,0.0 ,38.1 ,100.0 
,,,,,,,
,DELTA,DELTA COUNTY 50(J),,,,,
$ ,Amount,,"27,095,567","13,635,667","3,730","28,703,417","69,438,381"
$ ,Per Pupil,"5,063.4 "," 5,351 "," 2,693 ", 1 ," 5,669 "," 13,714 "
% ,All Funds,,39.0 ,19.6 ,0.0 ,41.3 ,100.0 
,,,,,,,
,DENVER,DENVER COUNTY 1,,,,,
$ ,Amount,,"445,458,597","384,559,117","24,083,605","376,042,967","1,230,144,286"
$ ,Per Pupil,"75,004.5 "," 5,939 "," 5,127 ", 321 ," 5,014 "," 16,401 "
% ,All Funds,,36.2 ,31.3 ,2.0 ,30.6 ,100.0 
,,,,,,,
,DOLORES,DOLORES COUNTY RE NO.2,,,,,
$ ,Amount,,"1,778,909","1,443,053",0,"388,379","3,610,340"
$ ,Per Pupil,267.0 ," 6,663 "," 5,405 ", 0 ," 1,455 "," 13,522 "
% ,All Funds,,49.3 ,40.0 ,0.0 ,10.8 ,100.0 
,,,,,,,
,DOUGLAS,DOUGLAS COUNTY RE 1,,,,,
$ ,Amount,,"290,525,230","185,604,803","832,632","183,111,462","660,074,127"
$ ,Per Pupil,"59,606.4 "," 4,874 "," 3,114 ", 14 ," 3,072 "," 11,074 "
% ,All Funds,,44.0 ,28.1 ,0.1 ,27.7 ,100.0 
,,,,,,,
,EAGLE,EAGLE COUNTY RE 50,,,,,
$ ,Amount,,"36,781,755","26,959,227","1,341,035","24,393,469","89,475,487"
$ ,Per Pupil,"5,993.7 "," 6,137 "," 4,498 ", 224 ," 4,070 "," 14,928 "
% ,All Funds,,41.1 ,30.1 ,1.5 ,27.3 ,100.0 
,,,,,,,
,ELBERT,ELIZABETH C-1,,,,,
$ ,Amount,,"11,552,301","10,927,528","229,963","6,342,578","29,052,370"
$ ,Per Pupil,"2,576.3 "," 4,484 "," 4,242 ", 89 ," 2,462 "," 11,277 "
% ,All Funds,,39.8 ,37.6 ,0.8 ,21.8 ,100.0 
,,,,,,,
,ELBERT,KIOWA C-2,,,,,
$ ,Amount,,"2,048,736","1,349,278",0,"335,286","3,733,300"
$ ,Per Pupil,357.7 ," 5,728 "," 3,772 ", 0 , 937 ," 10,437 "
% ,All Funds,,54.9 ,36.1 ,0.0 ,9.0 ,100.0 
,,,,,,,
,ELBERT,BIG SANDY 100J,,,,,
$ ,Amount,,"2,084,007","1,210,121","2,173","2,990,538","6,286,839"
$ ,Per Pupil,306.0 ," 6,810 "," 3,955 ", 7 ," 9,773 "," 20,545 "
% ,All Funds,,33.1 ,19.2 ,0.0 ,47.6 ,100.0 
,,,,,,,
,ELBERT,ELBERT 200,,,,,
$ ,Amount,,"1,524,465","1,074,631",0,"41,766","2,640,861"
$ ,Per Pupil,222.4 ," 6,855 "," 4,832 ", 0 , 188 ," 11,874 "
% ,All Funds,,57.7 ,40.7 ,0.0 ,1.6 ,100.0 
,,,,,,,
,ELBERT,AGATE 300,,,,,
$ ,Amount,,"314,589","411,232",0,"8,548","734,369"
$ ,Per Pupil,45.8 ," 6,869 "," 8,979 ", 0 , 187 ," 16,034 "
% ,All Funds,,42.8 ,56.0 ,0.0 ,1.2 ,100.0 
,,,,,,,
,EL PASO,CALHAN RJ-1,,,,,
$ ,Amount,,"2,676,570","1,947,394",0,"173,776","4,797,740"
$ ,Per Pupil,518.8 ," 5,159 "," 3,754 ", 0 , 335 ," 9,248 "
% ,All Funds,,55.8 ,40.6 ,0.0 ,3.6 ,100.0 
,,,,,,,
,EL PASO,HARRISON 2,,,,,
$ ,Amount,,"50,347,660","40,640,718","95,971","11,878,043","102,962,393"
$ ,Per Pupil,"10,355.1 "," 4,862 "," 3,925 ", 9 ," 1,147 "," 9,943 "
% ,All Funds,,48.9 ,39.5 ,0.1 ,11.5 ,100.0 
,,,,,,,
,EL PASO,WIDEFIELD 3,,,,,
$ ,Amount,,"39,394,071","27,862,135","1,308,042","4,477,352","73,041,601"
$ ,Per Pupil,"8,578.3 "," 4,592 "," 3,248 ", 152 , 522 ," 8,515 "
% ,All Funds,,53.9 ,38.1 ,1.8 ,6.1 ,100.0 
,,,,,,,
,EL PASO,FOUNTAIN 8,,,,,
$ ,Amount,,"37,719,632","26,830,998","148,183","12,142,176","76,840,989"
$ ,Per Pupil,"7,208.6 "," 5,233 "," 3,722 ", 21 ," 1,684 "," 10,660 "
% ,All Funds,,49.1 ,34.9 ,0.2 ,15.8 ,100.0 
,,,,,,,
,EL PASO,COLORADO SPRINGS 11,,,,,
$ ,Amount,,"156,732,194","102,662,745","1,003,119","34,424,388","294,822,446"
$ ,Per Pupil,"28,163.3 "," 5,565 "," 3,645 ", 36 ," 1,222 "," 10,468 "
% ,All Funds,,53.2 ,34.8 ,0.3 ,11.7 ,100.0 
,,,,,,,
,EL PASO,CHEYENNE MOUNTAIN 12,,,,,
$ ,Amount,,"21,842,315","13,852,462","42,498","20,393,418","56,130,692"
$ ,Per Pupil,"4,405.3 "," 4,958 "," 3,144 ", 10 ," 4,629 "," 12,742 "
% ,All Funds,,38.9 ,24.7 ,0.1 ,36.3 ,100.0 
,,,,,,,
,EL PASO,MANITOU SPRINGS 14,,,,,
$ ,Amount,,"8,039,117","5,757,298","2,849","717,546","14,516,809"
$ ,Per Pupil,"1,434.5 "," 5,604 "," 4,013 ", 2 , 500 ," 10,120 "
% ,All Funds,,55.4 ,39.7 ,0.0 ,4.9 ,100.0 
,,,,,,,
,EL PASO,ACADEMY 20,,,,,
$ ,Amount,,"116,364,214","76,150,859","330,635","66,681,893","259,527,602"
$ ,Per Pupil,"22,437.9 "," 5,186 "," 3,394 ", 15 ," 2,972 "," 11,566 "
% ,All Funds,,44.8 ,29.3 ,0.1 ,25.7 ,100.0 
,,,,,,,
,EL PASO,ELLICOTT 22,,,,,
$ ,Amount,,"4,256,775","3,570,723",0,"3,025,088","10,852,586"
$ ,Per Pupil,942.2 ," 4,518 "," 3,790 ", 0 ," 3,211 "," 11,518 "
% ,All Funds,,39.2 ,32.9 ,0.0 ,27.9 ,100.0 
,,,,,,,
,EL PASO,PEYTON 23 JT,,,,,
$ ,Amount,,"2,845,645","2,350,101",0,"3,671,771","8,867,518"
$ ,Per Pupil,648.5 ," 4,388 "," 3,624 ", 0 ," 5,662 "," 13,674 "
% ,All Funds,,32.1 ,26.5 ,0.0 ,41.4 ,100.0 
,,,,,,,
,EL PASO,HANOVER 28,,,,,
$ ,Amount,,"1,436,044","1,314,951",0,"802,486","3,553,481"
$ ,Per Pupil,238.6 ," 6,019 "," 5,511 ", 0 ," 3,363 "," 14,893 "
% ,All Funds,,40.4 ,37.0 ,0.0 ,22.6 ,100.0 
,,,,,,,
,EL PASO,LEWIS-PALMER 38,,,,,
$ ,Amount,,"26,035,998","20,808,353","354,374","49,752,252","96,950,978"
$ ,Per Pupil,"5,667.7 "," 4,594 "," 3,671 ", 63 ," 8,778 "," 17,106 "
% ,All Funds,,26.9 ,21.5 ,0.4 ,51.3 ,100.0 
,,,,,,,
,EL PASO,FALCON 49,,,,,
$ ,Amount,,"56,585,096","46,100,349","11,710","17,599,959","120,297,114"
$ ,Per Pupil,"14,283.7 "," 3,962 "," 3,227 ", 1 ," 1,232 "," 8,422 "
% ,All Funds,,47.0 ,38.3 ,0.0 ,14.6 ,100.0 
,,,,,,,
,EL PASO,EDISON 54 JT,,,,,
$ ,Amount,,"1,143,831","970,218",0,"50,366","2,164,415"
$ ,Per Pupil,183.8 ," 6,223 "," 5,279 ", 0 , 274 ," 11,776 "
% ,All Funds,,52.8 ,44.8 ,0.0 ,2.3 ,100.0 
,,,,,,,
,EL PASO,MIAMI/YODER 60 JT,,,,,
$ ,Amount,,"1,646,851","1,384,654",0,"261,072","3,292,577"
$ ,Per Pupil,305.5 ," 5,391 "," 4,532 ", 0 , 855 ," 10,778 "
% ,All Funds,,50.0 ,42.1 ,0.0 ,7.9 ,100.0 
,,,,,,,
,FREMONT,CANON CITY RE-1,,,,,
$ ,Amount,,"17,833,015","12,329,770","175,758","10,460,152","40,798,696"
$ ,Per Pupil,"3,775.8 "," 4,723 "," 3,265 ", 47 ," 2,770 "," 10,805 "
% ,All Funds,,43.7 ,30.2 ,0.4 ,25.6 ,100.0 
,,,,,,,
,FREMONT,FLORENCE RE-2,,,,,
$ ,Amount,,"7,250,914","5,837,218","140,006","7,400,446","20,628,585"
$ ,Per Pupil,"1,630.9 "," 4,446 "," 3,579 ", 86 ," 4,538 "," 12,649 "
% ,All Funds,,35.1 ,28.3 ,0.7 ,35.9 ,100.0 
,,,,,,,
,FREMONT,COTOPAXI RE-3,,,,,
$ ,Amount,,"1,311,048","1,107,051",0,"224,660","2,642,760"
$ ,Per Pupil,207.7 ," 6,312 "," 5,330 ", 0 ," 1,082 "," 12,724 "
% ,All Funds,,49.6 ,41.9 ,0.0 ,8.5 ,100.0 
,,,,,,,
,GARFIELD,ROARING FORK RE-1,,,,,
$ ,Amount,,"31,287,549","16,206,256",0,"88,344,174","135,837,979"
$ ,Per Pupil,"5,133.0 "," 6,095 "," 3,157 ", 0 ," 17,211 "," 26,464 "
% ,All Funds,,23.0 ,11.9 ,0.0 ,65.0 ,100.0 
,,,,,,,
,GARFIELD,GARFIELD RE-2,,,,,
$ ,Amount,,"21,218,663","19,223,011","16,115","29,319,320","69,777,109"
$ ,Per Pupil,"4,530.5 "," 4,684 "," 4,243 ", 4 ," 6,472 "," 15,402 "
% ,All Funds,,30.4 ,27.5 ,0.0 ,42.0 ,100.0 
,,,,,,,
,GARFIELD,GARFIELD 16,,,,,
$ ,Amount,,"5,454,157","5,302,420",0,"5,151,493","15,908,070"
$ ,Per Pupil,"1,153.2 "," 4,730 "," 4,598 ", 0 ," 4,467 "," 13,795 "
% ,All Funds,,34.3 ,33.3 ,0.0 ,32.4 ,100.0 
,,,,,,,
,GILPIN,GILPIN COUNTY RE-1,,,,,
$ ,Amount,,"2,375,462","2,292,190",0,"1,841,714","6,509,366"
$ ,Per Pupil,331.0 ," 7,177 "," 6,925 ", 0 ," 5,564 "," 19,666 "
% ,All Funds,,36.5 ,35.2 ,0.0 ,28.3 ,100.0 
,,,,,,,
,GRAND,WEST GRAND 1-JT.,,,,,
$ ,Amount,,"2,750,490","2,283,555","11,742","884,543","5,930,330"
$ ,Per Pupil,446.7 ," 6,157 "," 5,112 ", 26 ," 1,980 "," 13,276 "
% ,All Funds,,46.4 ,38.5 ,0.2 ,14.9 ,100.0 
,,,,,,,
,GRAND,EAST GRAND 2,,,,,
$ ,Amount,,"7,257,329","5,706,296","4,136","10,626,927","23,594,688"
$ ,Per Pupil,"1,301.6 "," 5,576 "," 4,384 ", 3 ," 8,165 "," 18,127 "
% ,All Funds,,30.8 ,24.2 ,0.0 ,45.0 ,100.0 
,,,,,,,
,GUNNISON,GUNNISON WATERSHED RE1J,,,,,
$ ,Amount,,"9,551,912","6,088,434",626,"5,185,131","20,826,103"
$ ,Per Pupil,"1,724.0 "," 5,541 "," 3,532 ", 0 ," 3,008 "," 12,080 "
% ,All Funds,,45.9 ,29.2 ,0.0 ,24.9 ,100.0 
,,,,,,,
,HINSDALE,HINSDALE COUNTY RE 1,,,,,
$ ,Amount,,"806,946","615,043","6,425","101,294","1,529,708"
$ ,Per Pupil,82.4 ," 9,793 "," 7,464 ", 78 ," 1,229 "," 18,564 "
% ,All Funds,,52.8 ,40.2 ,0.4 ,6.6 ,100.0 
,,,,,,,
,HUERFANO,HUERFANO RE-1,,,,,
$ ,Amount,,"2,784,726","2,541,904",0,"5,437,592","10,764,222"
$ ,Per Pupil,573.3 ," 4,857 "," 4,434 ", 0 ," 9,485 "," 18,776 "
% ,All Funds,,25.9 ,23.6 ,0.0 ,50.5 ,100.0 
,,,,,,,
,HUERFANO,LA VETA RE-2,,,,,
$ ,Amount,,"1,405,165","1,240,026",0,"318,191","2,963,382"
$ ,Per Pupil,234.1 ," 6,002 "," 5,297 ", 0 ," 1,359 "," 12,659 "
% ,All Funds,,47.4 ,41.8 ,0.0 ,10.7 ,100.0 
,,,,,,,
,JACKSON,NORTH PARK R-1,,,,,
$ ,Amount,,"1,533,359","1,156,026",0,388,"2,689,773"
$ ,Per Pupil,188.1 ," 8,152 "," 6,146 ", 0 , 2 ," 14,300 "
% ,All Funds,,57.0 ,43.0 ,0.0 ,0.0 ,100.0 
,,,,,,,
,JEFFERSON,JEFFERSON COUNTY R-1,,,,,
$ ,Amount,,"431,165,045","289,496,883","176,792","128,140,153","848,978,872"
$ ,Per Pupil,"81,021.8 "," 5,322 "," 3,573 ", 2 ," 1,582 "," 10,478 "
% ,All Funds,,50.8 ,34.1 ,0.0 ,15.1 ,100.0 
,,,,,,,
,KIOWA,EADS RE-1,,,,,
$ ,Amount,,"1,246,047","887,395",0,"22,922","2,156,364"
$ ,Per Pupil,175.8 ," 7,088 "," 5,048 ", 0 , 130 ," 12,266 "
% ,All Funds,,57.8 ,41.2 ,0.0 ,1.1 ,100.0 
,,,,,,,
,KIOWA,PLAINVIEW RE-2,,,,,
$ ,Amount,,"624,962","584,719",0,0,"1,209,681"
$ ,Per Pupil,79.1 ," 7,901 "," 7,392 ", 0 , 0 ," 15,293 "
% ,All Funds,,51.7 ,48.3 ,0.0 ,0.0 ,100.0 
,,,,,,,
,KIT CARSON,ARRIBA-FLAGLER C-20,,,,,
$ ,Amount,,"1,185,567","867,428","4,923","125,178","2,183,096"
$ ,Per Pupil,149.9 ," 7,909 "," 5,787 ", 33 , 835 ," 14,564 "
% ,All Funds,,54.3 ,39.7 ,0.2 ,5.7 ,100.0 
,,,,,,,
,KIT CARSON,HI PLAINS R-23,,,,,
$ ,Amount,,"922,268","788,240",0,"32,985","1,743,493"
$ ,Per Pupil,117.0 ," 7,883 "," 6,737 ", 0 , 282 ," 14,902 "
% ,All Funds,,52.9 ,45.2 ,0.0 ,1.9 ,100.0 
,,,,,,,
,KIT CARSON,STRATTON R-4,,,,,
$ ,Amount,,"1,342,544","1,022,635",0,"28,087","2,393,265"
$ ,Per Pupil,183.0 ," 7,336 "," 5,588 ", 0 , 153 ," 13,078 "
% ,All Funds,,56.1 ,42.7 ,0.0 ,1.2 ,100.0 
,,,,,,,
,KIT CARSON,BETHUNE R-5,,,,,
$ ,Amount,,"1,167,087","844,353",0,100,"2,011,541"
$ ,Per Pupil,121.3 ," 9,621 "," 6,961 ", 0 , 1 ," 16,583 "
% ,All Funds,,58.0 ,42.0 ,0.0 ,0.0 ,100.0 
,,,,,,,
,KIT CARSON,BURLINGTON RE-6J,,,,,
$ ,Amount,,"3,683,266","2,456,917","27,204","550,869","6,718,256"
$ ,Per Pupil,735.8 ," 5,006 "," 3,339 ", 37 , 749 ," 9,131 "
% ,All Funds,,54.8 ,36.6 ,0.4 ,8.2 ,100.0 
,,,,,,,
,LAKE,LAKE COUNTY R-1,,,,,
$ ,Amount,,"5,941,246","4,792,777","818,255","865,817","12,418,094"
$ ,Per Pupil,"1,088.5 "," 5,458 "," 4,403 ", 752 , 795 ," 11,408 "
% ,All Funds,,47.8 ,38.6 ,6.6 ,7.0 ,100.0 
,,,,,,,
,LA PLATA,DURANGO 9-R,,,,,
$ ,Amount,,"24,173,539","16,460,438","181,173","28,142,976","68,958,126"
$ ,Per Pupil,"4,443.7 "," 5,440 "," 3,704 ", 41 ," 6,333 "," 15,518 "
% ,All Funds,,35.1 ,23.9 ,0.3 ,40.8 ,100.0 
,,,,,,,
,LA PLATA,BAYFIELD 10 JT-R,,,,,
$ ,Amount,,"6,115,310","4,962,845",0,"2,707,143","13,785,298"
$ ,Per Pupil,"1,323.2 "," 4,622 "," 3,751 ", 0 ," 2,046 "," 10,418 "
