school,district_id,district_name,emh,school_id,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate
NORTHRIDGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,6406,13,12,13,13,13,12,13,9,12,
JULESBURG HIGH SCHOOL,2862,JULESBURG RE-1,H,4492,12,10,12,9,11,12,11,12,10,84.6
DOUGLASS ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,2240,13,12,13,12,13,11,9,10,11,
MONARCH HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,5999,12,10,12,11,10,8,6,10,6,96.7
BELLEVIEW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,714,13,11,12,12,12,12,9,10,12,
SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,110,SANGRE DE CRISTO RE-22J,H,7630,12,8,7,6,6,13,12,12,12,66.7
ROCK CANYON HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,7435,12,12,12,12,12,6,6,6,6,93.3
WILDFLOWER ELEMENTARY SCHOOL,980,HARRISON 2,E,9602,13,13,9,13,12,12,10,10,12,
PINE CREEK HIGH SCHOOL,1040,ACADEMY 20,H,6937,12,12,10,12,12,8,8,6,9,90.7
SLAVENS K-8 SCHOOL,880,DENVER COUNTY 1,M,7972,13,12,12,12,12,12,12,10,12,
CHIPETA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,1613,13,12,13,12,10,12,12,12,10,
CONIFER SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,1886,12,11,11,11,10,9,9,7,8,91.3
DSST: STAPLETON,880,DENVER COUNTY 1,M,2185,13,9,9,11,12,13,12,13,13,
DISCOVERY CANYON CAMPUS SCHOOL,1040,ACADEMY 20,H,2195,12,12,10,12,12,7,7,6,9,-
GLENWOOD SPRINGS HIGH SCHOOL,1180,ROARING FORK RE-1,H,3468,11,8,9,7,9,12,11,12,9,80.900000000000006
MOUNTAIN VIEW ELEMENTARY SCHOOL,1040,ACADEMY 20,E,6158,12,12,12,12,11,12,9,12,10,
PAONIA ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),E,6700,12,10,12,11,9,12,12,12,10,
REDSTONE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,7297,12,10,12,10,10,12,9,12,13,
WILLOW CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,9624,12,12,12,12,13,12,9,12,12,
MONTESSORI PEAKS CHARTER ACADEMY,1420,JEFFERSON COUNTY R-1,M,5994,12,10,7,12,,12,12,9,12,
BRIGGSDALE UNDIVIDED HIGH SCHOOL,3146,BRIGGSDALE RE-10,H,1012,11,8,7,8,13,11,9,12,9,86.3
CALICHE JUNIOR-SENIOR HIGH SCHOOL,1828,VALLEY RE-1,H,1224,11,9,6,9,9,12,9,11,12,98.7
DOLORES HIGH SCHOOL,2055,DOLORES RE-4A,H,2208,11,9,9,7,9,12,9,12,11,89.8
FAIRVIEW HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,2892,11,12,13,12,11,6,6,7,6,91.6
HIGH PEAKS ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,3940,12,13,13,13,13,12,12,12,12,
LOIS LENSKI ELEMENTARY SCHOOL,140,LITTLETON 6,E,5236,12,12,12,12,10,10,10,9,9,
MCGRAW ELEMENTARY SCHOOL,1550,POUDRE R-1,E,5688,12,10,11,10,10,12,11,11,11,
MOUNTAIN VISTA HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,6165,11,12,12,12,10,6,6,6,7,94
FLAGLER SENIOR HIGH SCHOOL,1450,ARRIBA-FLAGLER C-20,H,2960,11,12,9,10,7,11,9,9,12,90.3
SPRINGFIELD HIGH SCHOOL,250,SPRINGFIELD RE-4,H,8168,10,9,9,9,7,12,9,9,12,90.6
TELLURIDE HIGH SCHOOL,2830,TELLURIDE R-1,H,8794,10,12,11,11,12,9,11,9,6,91.3
HERITAGE ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,3924,12,9,12,10,12,11,9,9,12,
WERNER ELEMENTARY SCHOOL,1550,POUDRE R-1,E,9380,12,12,12,12,12,10,12,6,12,
ASPEN MIDDLE SCHOOL,2640,ASPEN 1,M,430,12,9,9,10,11,10,10,9,9,
CHALLENGE SCHOOL,130,CHERRY CREEK 5,E,1510,12,13,13,13,13,9,9,9,9,
CHALLENGE SCHOOL,130,CHERRY CREEK 5,M,1510,12,13,13,13,13,11,12,7,12,
STARGATE CHARTER SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,1519,12,13,12,13,13,10,7,9,12,
CORE KNOWLEDGE CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,E,1873,12,12,13,12,10,11,9,10,12,
LITTLETON ACADEMY,140,LITTLETON 6,M,5229,12,13,13,13,12,10,6,9,12,
PAONIA HIGH SCHOOL,870,DELTA COUNTY 50(J),H,6708,10,9,7,9,9,9,9,7,9,90.4
HIGHLANDS RANCH HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,3980,10,10,10,11,10,9,9,6,12,90.1
ELBERT JUNIOR-SENIOR HIGH SCHOOL,950,ELBERT 200,H,2574,10,9,7,9,9,9,9,9,9,89.9
LEWIS-PALMER HIGH SCHOOL,1080,LEWIS-PALMER 38,H,5100,10,11,12,12,12,6,6,6,6,91.5
DOVE CREEK HIGH SCHOOL,890,DOLORES COUNTY RE NO.2,H,2216,10,6,6,6,,9,9,9,8,90.5
FOSSIL RIDGE HIGH SCHOOL,1550,POUDRE R-1,H,3105,10,10,11,12,12,6,6,6,6,88.9
BOULDER HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,924,10,9,12,10,10,7,5,9,6,88.8
ZACH ELEMENTARY SCHOOL,1550,POUDRE R-1,E,477,12,13,12,12,13,12,10,10,12,
BROMWELL ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,1056,12,12,12,12,10,12,10,9,12,
BYERS JUNIOR-SENIOR HIGH SCHOOL,190,BYERS 32J,H,1176,10,10,6,9,10,13,13,7,13,91.7
SOROCO HIGH SCHOOL,2780,SOUTH ROUTT RE 3,H,8050,10,9,9,9,9,9,7,12,9,81.099999999999994
UNION COLONY PREPARATORY SCHOOL,3120,GREELEY 6,H,8965,10,12,8,10,12,7,7,9,5,67.400000000000006
MEAD MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,M,5730,12,10,9,10,10,13,13,13,13,
CHERRY CREEK HIGH SCHOOL,130,CHERRY CREEK 5,H,1570,10,11,12,12,12,7,6,7,6,89.5
STONE MOUNTAIN ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,2953,12,12,12,12,9,12,11,12,11,
CARSON ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,1324,12,9,10,10,11,12,12,12,12,
DSST: GREEN VALLY RANCH,880,DENVER COUNTY 1,M,2145,12,6,9,9,,13,10,13,13,
BRECKENRIDGE ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,8372,12,10,10,9,10,13,13,12,13,
CREEDE MIDDLE/HIGH SCHOOL,2010,CREEDE SCHOOL DISTRICT,H,1966,10,9,9,7,12,9,9,10,7,93.3
LEGACY ACADEMY,920,ELIZABETH C-1,M,2572,12,10,7,11,9,13,13,12,13,
MC CLAVE UNDIVIDED HIGH SCHOOL,310,MC CLAVE RE-2,H,5670,10,6,9,6,7,9,5,12,9,86.1
THUNDERRIDGE HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,8847,10,11,11,10,9,7,7,6,9,94.3
AIR ACADEMY HIGH SCHOOL,1040,ACADEMY 20,H,76,10,10,10,11,11,6,6,7,6,90.2
BROOMFIELD HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,1070,10,9,9,9,9,6,6,7,6,88.5
SOUTH PARK HIGH SCHOOL,2610,PARK COUNTY RE-2,H,8118,10,7,9,7,9,10,9,9,10,81.7
TIMBER TRAIL ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,8853,12,12,12,12,12,12,9,12,10,
GYPSUM CREEK MIDDLE SCHOOL,910,EAGLE COUNTY RE 50,M,39,12,7,6,9,12,12,12,12,12,
BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,480,BOULDER VALLEY RE 2,E,919,12,12,10,11,12,10,9,9,11,
DENNISON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,9432,12,13,13,13,13,10,12,9,10,
CALHAN HIGH SCHOOL,970,CALHAN RJ-1,H,1218,9,7,6,9,7,12,12,9,12,85.4
CEDAREDGE HIGH SCHOOL,870,DELTA COUNTY 50(J),H,1372,9,6,7,9,8,9,9,8,9,93.8
NORTH PARK JUNIOR-SENIOR HIGH SCHOOL,1410,NORTH PARK R-1,H,6358,9,11,9,12,10,10,7,12,8,81.3
PLATTE RIVER CHARTER ACADEMY,900,DOUGLAS COUNTY RE 1,M,7047,12,13,12,12,12,10,9,12,7,
HOTCHKISS HIGH SCHOOL,870,DELTA COUNTY 50(J),H,4128,9,9,7,9,7,9,10,6,11,94.9
PARMALEE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,6804,12,10,12,12,12,12,12,12,11,
STEAMBOAT SPRINGS HIGH SCHOOL,2770,STEAMBOAT SPRINGS RE-2,H,8212,9,10,12,11,10,6,7,6,7,86.8
WILDER ELEMENTARY SCHOOL,140,LITTLETON 6,E,9600,12,13,12,12,12,9,9,6,12,
KYFFIN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,4830,12,12,11,12,12,10,9,10,9,
KIM UNDIVIDED HIGH SCHOOL,1760,KIM REORGANIZED 88,H,4694,9,10,12,12,10,9,6,12,6,100
TWIN PEAKS CHARTER ACADEMY,470,ST VRAIN VALLEY RE 1J,M,8927,12,11,7,12,10,10,10,9,10,
BAYFIELD HIGH SCHOOL,1530,BAYFIELD 10 JT-R,H,640,9,9,8,9,6,9,6,9,9,88.5
FRONTIER CHARTER ACADEMY,3120,GREELEY 6,H,1875,9,9,7,9,9,9,6,10,8,88.1
MITCHELL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,5944,12,12,10,10,12,11,12,9,10,
STEELE ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,8246,12,12,12,12,12,11,9,11,11,
SANFORD JUNIOR/SENIOR HIGH SCHOOL,560,SANFORD 6J,H,7616,9,7,12,9,9,9,9,9,6,84.7
HOLLY HIGH SCHOOL,2670,HOLLY RE-3,H,4058,9,7,8,7,6,9,10,7,9,86.6
COLORADO SPRINGS CHARTER ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,1791,12,10,9,12,9,11,9,11,11,
MERIDIAN ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,59,12,12,12,9,10,10,10,9,9,
BLACK ROCK ELEMENTARY,470,ST VRAIN VALLEY RE 1J,E,875,12,9,11,9,9,11,9,12,10,
RIFFENBURGH ELEMENTARY SCHOOL,1550,POUDRE R-1,E,7350,12,9,9,9,9,12,12,12,10,
STRASBURG HIGH SCHOOL,60,STRASBURG 31J,H,8334,9,6,6,6,6,9,7,9,9,95.5
SUMMIT MIDDLE CHARTER SCHOOL,480,BOULDER VALLEY RE 2,M,8387,12,13,13,13,13,10,8,9,12,
BASALT MIDDLE SCHOOL,1180,ROARING FORK RE-1,M,561,12,6,6,9,6,13,13,13,13,
CRESTED BUTTE COMMUNITY SCHOOL,1360,GUNNISON WATERSHED RE1J,M,2006,12,10,7,12,11,12,9,10,12,
JAMES IRWIN CHARTER HIGH SCHOOL,980,HARRISON 2,H,4378,9,9,9,10,9,6,6,6,6,97.1
POMONA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,7114,9,6,9,7,7,9,7,9,7,89.2
LEGACY HIGH SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,H,5043,9,9,11,9,9,9,9,9,9,84.7
SIMLA HIGH SCHOOL,940,BIG SANDY 100J,H,7922,9,6,8,7,7,9,6,9,9,100
CENTAURI HIGH SCHOOL,550,NORTH CONEJOS RE-1J,H,1378,9,6,9,8,8,9,5,10,9,95.9
NIWOT HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,6276,9,10,12,12,10,6,6,6,6,91.7
WEST DENVER PREP: HARVEY PARK CAMPUS,880,DENVER COUNTY 1,M,9389,12,6,9,7,,13,13,13,13,
ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,1040,ACADEMY 20,E,19,12,12,12,12,12,9,9,9,9,
IVY STOCKWELL ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,4332,12,9,9,8,9,12,10,12,12,
LINCOLN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,5158,12,6,7,7,9,12,11,12,12,
OURAY SENIOR HIGH SCHOOL,2580,OURAY R-1,H,6600,9,9,9,10,9,9,9,9,9,94.8
RAMPART HIGH SCHOOL,1040,ACADEMY 20,H,7240,9,9,9,9,9,5,5,6,5,89.8
COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,H,1880,9,7,6,6,9,9,9,7,11,79
CHEROKEE TRAIL HIGH SCHOOL,130,CHERRY CREEK 5,H,1551,9,8,9,8,9,7,9,7,6,87.1
KATHRYN SENOR ELEMENTARY SCHOOL,1195,GARFIELD RE-2,E,4510,12,6,9,9,,12,9,9,12,
FLAGSTONE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,2965,12,9,9,9,9,12,10,12,12,
HARRIS BILINGUAL ELEMENTARY SCHOOL,1550,POUDRE R-1,E,3787,12,6,8,8,6,12,12,10,12,
HERITAGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,3926,12,11,10,12,10,9,12,6,9,
AURORA ACADEMY CHARTER SCHOOL,180,ADAMS-ARAPAHOE 28J,M,458,12,9,7,8,6,12,12,12,9,
PEYTON JUNIOR/SENIOR HIGH SCHOOL,1060,PEYTON 23 JT,H,6902,9,7,6,9,9,8,9,6,8,95.3
GRANDVIEW HIGH SCHOOL,130,CHERRY CREEK 5,H,3589,9,9,9,9,9,8,9,6,8,87.3
FALCON HIGH SCHOOL,1110,FALCON 49,H,2908,9,9,8,9,7,9,7,9,9,88.8
SARGENT SENIOR HIGH SCHOOL,2750,SARGENT RE-33J,H,7664,9,10,7,9,7,6,6,5,9,95.7
NUCLA HIGH SCHOOL,2190,WEST END RE-2,H,6436,9,6,6,4,6,6,9,7,1,76
OURAY MIDDLE SCHOOL,2580,OURAY R-1,M,6598,12,9,6,10,7,13,12,13,13,
WEST WOODS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,9429,12,12,12,11,11,9,9,9,7,
HIGH PLAINS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,1572,12,9,11,9,9,12,10,11,11,
COPPER MESA ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,1899,12,9,10,9,9,12,12,10,10,
LYONS ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,5364,12,8,8,6,10,13,12,12,12,
UPPER BLUE ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,8993,12,11,12,9,12,12,12,12,10,
NORWOOD HIGH SCHOOL,2840,NORWOOD R-2J,H,6422,9,6,7,9,9,6,6,10,4,-
DAKOTA RIDGE SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,2093,9,9,10,9,9,7,6,9,5,83.9
WILEY JUNIOR-SENIOR HIGH SCHOOL,2680,WILEY RE-13 JT,H,9608,9,8,9,9,7,6,6,9,5,90.8
CHAPARRAL HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,1503,9,9,9,9,9,7,6,6,8,91.2
ELIZABETH HIGH SCHOOL,920,ELIZABETH C-1,H,2608,9,9,9,9,9,6,7,6,6,94.8
BEACH COURT ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,650,12,9,10,9,6,13,13,13,13,
WARDER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,9232,12,7,7,9,9,13,13,12,13,
WIGGINS ELEMENTARY SCHOOL,2515,WIGGINS RE-50(J),E,9576,12,9,9,7,6,13,12,12,12,
ASPEN COMMUNITY CHARTER SCHOOL,2640,ASPEN 1,M,42,12,9,9,10,9,13,12,12,12,
COLUMBINE HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,1864,9,9,10,9,9,7,9,7,6,83.1
WOODLIN UNDIVIDED HIGH SCHOOL,3070,WOODLIN R-104,H,9704,9,7,6,5,11,11,7,12,10,85.7
CENTENNIAL HIGH SCHOOL,640,CENTENNIAL R-1,H,1398,9,5,5,6,5,12,12,12,12,71.8
DENVER CENTER FOR INTERNATIONAL STUDIES,880,DENVER COUNTY 1,H,2183,9,9,7,6,6,9,9,8,6,92.5
SLAVENS K-8 SCHOOL,880,DENVER COUNTY 1,E,7972,12,11,13,11,11,12,9,12,10,
BASALT HIGH SCHOOL,1180,ROARING FORK RE-1,H,570,9,6,8,6,6,12,10,12,9,86.8
CANYON CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,1273,12,8,10,9,7,12,12,12,10,
KRUSE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,4793,12,10,10,10,9,12,12,12,9,
PALISADE HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,H,6666,9,7,9,8,9,12,10,12,11,75.2
WHEAT RIDGE HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,9510,9,6,8,6,7,9,9,9,6,75.7
MERINO JUNIOR SENIOR HIGH SCHOOL,1860,BUFFALO RE-4J,H,5806,8,9,8,9,11,6,9,5,6,89.7
SEMPER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,7753,12,9,9,9,9,12,11,12,9,
UNIVERSITY PARK ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,8970,12,9,9,8,9,12,11,11,9,
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,M,146,12,12,7,12,12,10,9,8,10,
MONARCH K-8 SCHOOL,480,BOULDER VALLEY RE 2,E,6000,12,12,10,11,12,9,6,9,9,
CHATFIELD HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,1522,9,9,11,9,9,6,3,9,3,92.9
SUMMIT HIGH SCHOOL,3000,SUMMIT RE-1,H,8378,9,6,8,9,7,9,7,9,11,82.3
ELK CREEK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,2616,12,10,11,11,11,11,9,9,12,
PEAKVIEW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,6820,12,9,10,9,9,11,11,9,12,
PINE GROVE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,6938,12,13,12,12,11,9,9,9,9,
RALSTON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,7238,12,12,13,13,12,10,9,7,12,
RED ROCKS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,7282,12,13,12,13,12,10,9,9,10,
AURORA FRONTIER K-8,180,ADAMS-ARAPAHOE 28J,M,465,12,7,7,8,6,12,10,12,9,
SWINK JUNIOR-SENIOR HIGH SCHOOL,2570,SWINK 33,H,8456,9,9,7,9,6,6,6,6,7,95.3
ESTES PARK HIGH SCHOOL,1570,PARK (ESTES PARK) R-3,H,2794,9,9,10,10,9,7,6,8,9,88.4
HAYDEN HIGH SCHOOL,2760,HAYDEN RE-1,H,3862,9,6,6,6,6,8,9,7,7,95.2
LAKEWOOD HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,4942,9,9,10,9,9,6,6,6,6,81.2
MARTIN LUTHER KING JR. EARLY COLLEGE,880,DENVER COUNTY 1,H,5605,9,6,6,5,5,10,12,8,9,88.5
BERTHOUD HIGH SCHOOL,1560,THOMPSON R2-J,H,812,9,9,10,9,8,6,6,6,5,94.5
LIBERTY HIGH SCHOOL,1040,ACADEMY 20,H,5126,9,9,9,9,9,6,6,5,6,87.5
COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,M,1730,12,9,8,7,11,13,13,13,10,
BETHKE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,498,12,12,13,12,9,10,9,9,10,
PLATTE VALLEY HIGH SCHOOL,3130,PLATTE VALLEY RE-7,H,4670,9,6,6,7,7,7,7,7,7,84
UTE MEADOWS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,9008,12,10,10,9,11,11,12,9,9,
HAXTUN HIGH SCHOOL,2630,HAXTUN RE-2J,H,3850,9,7,6,6,6,8,6,8,9,90
PONDEROSA HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,7118,9,9,9,9,6,6,6,6,6,91.9
BASALT MIDDLE SCHOOL,1180,ROARING FORK RE-1,E,561,12,6,7,6,6,13,12,13,12,
COLUMBINE HILLS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,1861,12,9,9,7,7,10,9,10,10,
PLATEAU VALLEY HIGH SCHOOL,1990,PLATEAU VALLEY 50,H,7032,9,8,6,9,6,10,12,9,6,88
SIDE CREEK ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,7865,12,6,9,6,7,12,10,12,12,
JEFFERSON COUNTY OPEN SECONDARY,1420,JEFFERSON COUNTY R-1,H,6541,9,6,5,6,6,12,10,10,12,41.5
CHEYENNE WELLS HIGH SCHOOL,520,CHEYENNE COUNTY RE-5,H,1612,8,6,6,6,6,9,8,9,7,87.8
RUNYON ELEMENTARY SCHOOL,140,LITTLETON 6,E,7518,12,12,12,10,11,10,12,9,7,
