district_id,district_name,school_id,school,emh,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate
20,ADAMS 12 FIVE STAR SCHOOLS,14,GLACIER PEAK ELEMENTARY SCHOOL,E,8,6,6,6,6,9,9,9,6,
20,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAGE ACADEMY,E,,6,7,6,,10,6,12,12,
20,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ELEMENTARY SCHOOL,E,1,3,5,1,3,3,4,2,1,
20,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,H,6,6,7,6,6,6,6,6,5,84.
20,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,E,13,13,13,13,13,12,10,10,12,
20,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,M,10,12,13,13,12,6,7,6,6,
20,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN ELEMENTARY SCHOOL,E,7,7,9,8,9,6,6,6,5,
20,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,H,9,9,11,9,9,8,8,7,7,88.
20,ADAMS 12 FIVE STAR SCHOOLS,5058,LEROY DRIVE ELEMENTARY SCHOOL,E,3,5,6,6,5,3,1,4,1,
20,ADAMS 12 FIVE STAR SCHOOLS,5418,MALLEY DRIVE ELEMENTARY SCHOOL,E,5,4,5,3,3,5,5,5,6,
20,ADAMS 12 FIVE STAR SCHOOLS,5706,MC ELWAIN ELEMENTARY SCHOOL,E,5,1,1,1,3,6,6,9,6,
20,ADAMS 12 FIVE STAR SCHOOLS,59,MERIDIAN ELEMENTARY SCHOOL,E,11,10,11,9,10,10,10,9,9,
20,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,H,6,6,6,6,6,6,6,6,7,79.
20,ADAMS 12 FIVE STAR SCHOOLS,6150,MOUNTAIN VIEW ELEMENTARY SCHOOL,E,9,6,9,9,9,9,7,9,10,
20,ADAMS 12 FIVE STAR SCHOOLS,6355,NORTH MOR ELEMENTARY SCHOOL,E,5,2,3,1,3,6,5,9,6,
20,ADAMS 12 FIVE STAR SCHOOLS,6376,NORTH STAR ELEMENTARY SCHOOL,E,5,1,3,1,3,6,11,6,6,
20,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,H,3,3,5,3,4,6,6,6,5,69.
20,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL,M,6,6,6,5,6,7,9,6,6,
20,ADAMS 12 FIVE STAR SCHOOLS,7155,PRAIRIE HILLS ELEMENTARY SCHOOL,E,10,6,7,6,6,12,9,9,13,
20,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY,E,10,12,9,9,11,8,9,6,8,
20,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELEMENTARY SCHOOL,E,5,6,6,6,6,5,5,6,3,
20,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,E,5,3,3,1,4,6,5,6,6,
20,ADAMS 12 FIVE STAR SCHOOLS,57,ROCKY TOP MIDDLE SCHOOL,M,9,8,10,9,11,6,6,6,6,
20,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL,M,6,6,6,5,6,6,7,6,5,
20,ADAMS 12 FIVE STAR SCHOOLS,7795,SILVER CREEK ELEMENTARY,E,9,9,10,9,9,7,6,8,6,
20,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL,M,6,6,6,6,7,6,5,6,6,
20,ADAMS 12 FIVE STAR SCHOOLS,2578,SKYVIEW ELEMENTARY SCHOOL,E,9,6,7,6,6,9,9,9,7,
20,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,E,9,12,12,11,12,8,6,7,9,
20,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,M,13,13,13,13,13,12,9,12,12,
20,ADAMS 12 FIVE STAR SCHOOLS,8225,STELLAR ELEMENTARY SCHOOL,E,6,6,7,6,6,6,9,6,5,
20,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM SCHOOL,E,9,10,12,9,12,6,6,9,3,
20,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM SCHOOL,M,8,10,12,11,,6,7,7,3,
20,ADAMS 12 FIVE STAR SCHOOLS,8361,STUKEY ELEMENTARY SCHOOL,E,3,3,5,3,4,5,5,5,6,
20,ADAMS 12 FIVE STAR SCHOOLS,2410,TARVER ELEMENTARY SCHOOL,E,9,6,8,6,7,10,7,11,9,
20,ADAMS 12 FIVE STAR SCHOOLS,8211,THE STUDIO SCHOOL,E,4,7,6,6,5,1,1,4,1,
20,ADAMS 12 FIVE STAR SCHOOLS,8842,THORNTON ELEMENTARY SCHOOL,E,2,1,3,1,1,3,3,9,1,
20,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,H,3,4,6,5,5,6,6,6,6,70.
20,ADAMS 12 FIVE STAR SCHOOLS,5814,THORNTON MIDDLE SCHOOL,M,3,1,3,1,2,4,3,6,3,
20,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,E,5,8,7,6,7,3,4,2,5,
20,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,M,6,7,9,8,6,5,5,5,6,
20,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL,M,9,6,10,7,9,9,6,10,6,
20,ADAMS 12 FIVE STAR SCHOOLS,9494,WESTVIEW ELEMENTARY SCHOOL,E,5,5,6,5,5,6,6,6,6,
20,ADAMS 12 FIVE STAR SCHOOLS,9682,WOODGLEN ELEMENTARY SCHOOL,E,6,6,6,6,6,5,5,5,6,
30,ADAMS COUNTY 14,24,ADAMS CITY HIGH SCHOOL,H,1,1,2,1,1,1,1,1,1,63.
30,ADAMS COUNTY 14,20,ADAMS CITY MIDDLE SCHOOL,M,4,2,3,3,5,6,3,6,6,
30,ADAMS COUNTY 14,186,ALSUP ELEMENTARY SCHOOL,E,4,5,2,5,2,5,6,1,6,
30,ADAMS COUNTY 14,1426,CENTRAL ELEMENTARY SCHOOL,E,3,3,1,2,3,6,6,3,5,
30,ADAMS COUNTY 14,2308,DUPONT ELEMENTARY SCHOOL,E,4,5,1,3,3,5,5,6,3,
30,ADAMS COUNTY 14,6534,HANSON ELEMENTARY SCHOOL,E,8,3,1,3,1,10,10,9,13,
30,ADAMS COUNTY 14,4516,KEARNEY MIDDLE SCHOOL,M,5,3,5,3,4,6,5,9,6,
30,ADAMS COUNTY 14,4536,KEMP ELEMENTARY SCHOOL,E,6,4,3,4,6,6,6,5,6,
30,ADAMS COUNTY 14,5982,MONACO ELEMENTARY SCHOOL,E,5,3,4,3,3,6,6,4,5,
30,ADAMS COUNTY 14,7500,ROSE HILL ELEMENTARY SCHOOL,E,1,4,3,3,3,3,2,3,7,
180,ADAMS-ARAPAHOE 28J,214,ALTURA ELEMENTARY SCHOOL,E,6,1,2,1,3,6,9,12,9,
180,ADAMS-ARAPAHOE 28J,219,APS ONLINE SCHOOL,H,,1,1,1,1,3,6,1,3,14.
180,ADAMS-ARAPAHOE 28J,310,ARKANSAS ELEMENTARY SCHOOL,E,1,3,1,3,1,3,2,3,3,
180,ADAMS-ARAPAHOE 28J,458,AURORA ACADEMY CHARTER SCHOOL,E,6,6,6,6,6,6,6,5,6,
180,ADAMS-ARAPAHOE 28J,458,AURORA ACADEMY CHARTER SCHOOL,M,10,9,9,8,7,10,9,10,9,
180,ADAMS-ARAPAHOE 28J,1458,AURORA CENTRAL HIGH SCHOOL,H,1,1,3,1,1,6,5,6,6,43.
180,ADAMS-ARAPAHOE 28J,465,AURORA FRONTIER K-8,E,9,6,6,9,8,9,7,10,6,
180,ADAMS-ARAPAHOE 28J,465,AURORA FRONTIER K-8,M,11,7,10,8,10,11,9,12,8,
180,ADAMS-ARAPAHOE 28J,464,AURORA HILLS MIDDLE SCHOOL,M,4,3,4,3,3,6,6,6,6,
180,ADAMS-ARAPAHOE 28J,7232,AURORA QUEST K-8,E,13,13,13,13,13,13,13,13,13,
180,ADAMS-ARAPAHOE 28J,7232,AURORA QUEST K-8,M,10,13,13,13,13,6,9,6,6,
180,ADAMS-ARAPAHOE 28J,9396,AURORA WEST COLLEGE PREPARATORY ACADEMY,M,6,1,3,1,1,9,9,7,9,
180,ADAMS-ARAPAHOE 28J,9396,AURORA WEST COLLEGE PREPARATORY ACADEMY,H,,6,6,6,6,12,12,12,12,
180,ADAMS-ARAPAHOE 28J,213,AXL ACADEMY,E,6,5,3,5,4,6,6,6,6,
180,ADAMS-ARAPAHOE 28J,213,AXL ACADEMY,M,7,6,3,5,6,10,13,7,12,
180,ADAMS-ARAPAHOE 28J,914,BOSTON K-8 SCHOOL,E,1,1,3,1,1,1,1,3,1,
180,ADAMS-ARAPAHOE 28J,914,BOSTON K-8 SCHOOL,M,5,1,2,1,1,7,6,9,6,
180,ADAMS-ARAPAHOE 28J,1470,CENTURY ELEMENTARY SCHOOL,E,5,5,5,5,4,6,5,7,3,
180,ADAMS-ARAPAHOE 28J,1720,CLYDE MILLER K-8,E,9,3,5,5,5,10,8,12,9,
180,ADAMS-ARAPAHOE 28J,1720,CLYDE MILLER K-8,M,10,6,6,6,,11,12,9,9,
180,ADAMS-ARAPAHOE 28J,1800,COLUMBIA MIDDLE SCHOOL,M,6,5,6,6,6,7,6,7,6,
180,ADAMS-ARAPAHOE 28J,1948,CRAWFORD ELEMENTARY SCHOOL,E,3,1,1,1,1,5,6,6,6,
180,ADAMS-ARAPAHOE 28J,2095,DALTON ELEMENTARY SCHOOL,E,9,6,6,7,6,9,6,9,8,
180,ADAMS-ARAPAHOE 28J,2114,DARTMOUTH ELEMENTARY SCHOOL,E,6,3,3,5,3,7,7,8,9,
180,ADAMS-ARAPAHOE 28J,2384,EAST MIDDLE SCHOOL,M,6,1,3,1,4,9,7,8,7,
180,ADAMS-ARAPAHOE 28J,2618,ELKHART ELEMENTARY SCHOOL,E,5,1,3,3,1,7,7,7,7,
180,ADAMS-ARAPAHOE 28J,2995,FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,E,2,1,1,1,3,5,6,3,5,
180,ADAMS-ARAPAHOE 28J,2995,FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,M,5,1,2,3,1,6,7,3,9,
180,ADAMS-ARAPAHOE 28J,2998,FLETCHER PRIMARY SCHOOL,E,,3,3,1,,,,,,
180,ADAMS-ARAPAHOE 28J,3272,FULTON ELEMENTARY SCHOOL,E,6,1,1,1,3,7,9,6,9,
180,ADAMS-ARAPAHOE 28J,3354,GATEWAY HIGH SCHOOL,H,2,3,3,3,3,7,7,6,9,56.
180,ADAMS-ARAPAHOE 28J,3471,GLOBAL VILLAGE ACADEMY,E,5,5,5,5,5,6,6,5,6,
180,ADAMS-ARAPAHOE 28J,3471,GLOBAL VILLAGE ACADEMY,M,6,5,5,5,2,8,9,6,9,
180,ADAMS-ARAPAHOE 28J,4024,HINKLEY HIGH SCHOOL,H,3,3,6,3,5,6,7,6,6,58.
180,ADAMS-ARAPAHOE 28J,4270,IOWA ELEMENTARY SCHOOL,E,6,5,3,5,5,8,9,6,10,
180,ADAMS-ARAPAHOE 28J,4426,JEWELL ELEMENTARY SCHOOL,E,1,4,5,5,3,3,3,1,3,
180,ADAMS-ARAPAHOE 28J,4646,KENTON ELEMENTARY SCHOOL,E,3,1,3,1,1,5,3,6,6,
180,ADAMS-ARAPAHOE 28J,4970,LANSING ELEMENTARY SCHOOL,E,6,3,3,4,1,8,8,9,8,
180,ADAMS-ARAPAHOE 28J,4973,LAREDO ELEMENTARY SCHOOL,E,6,3,4,5,4,7,6,6,12,
180,ADAMS-ARAPAHOE 28J,5298,LOTUS SCHOOL FOR EXCELLENCE,E,1,3,3,3,3,1,1,1,2,
180,ADAMS-ARAPAHOE 28J,5298,LOTUS SCHOOL FOR EXCELLENCE,M,9,6,6,6,6,9,11,6,10,
180,ADAMS-ARAPAHOE 28J,5298,LOTUS SCHOOL FOR EXCELLENCE,H,6,5,5,5,5,7,10,6,6,-
180,ADAMS-ARAPAHOE 28J,5361,LYN KNOLL ELEMENTARY SCHOOL,E,9,3,3,5,3,9,10,12,9,
180,ADAMS-ARAPAHOE 28J,6068,MONTVIEW MATH & HEALTH SCIENCES ELEMENTARY SCHOOL,E,11,6,9,6,6,13,13,13,13,
180,ADAMS-ARAPAHOE 28J,6160,MRACHEK MIDDLE SCHOOL,M,4,3,5,3,5,3,3,4,3,
180,ADAMS-ARAPAHOE 28J,6189,MURPHY CREEK K-8 SCHOOL,E,6,6,6,6,6,7,6,8,6,
180,ADAMS-ARAPAHOE 28J,6189,MURPHY CREEK K-8 SCHOOL,M,7,6,6,6,6,7,9,6,6,
180,ADAMS-ARAPAHOE 28J,6310,NORTH MIDDLE SCHOOL HEALTH SCIENCES AND TECHNOLOGY,M,6,3,5,3,5,7,9,6,6,
180,ADAMS-ARAPAHOE 28J,6728,PARIS ELEMENTARY SCHOOL,E,3,1,1,1,1,5,5,6,6,
180,ADAMS-ARAPAHOE 28J,6758,PARK LANE ELEMENTARY SCHOOL,E,4,1,1,1,3,7,6,6,7,
180,ADAMS-ARAPAHOE 28J,6869,PEORIA ELEMENTARY SCHOOL,E,6,2,3,3,2,9,8,13,11,
180,ADAMS-ARAPAHOE 28J,7250,RANGEVIEW HIGH SCHOOL,H,5,5,6,6,6,8,9,6,8,68.
180,ADAMS-ARAPAHOE 28J,7558,SABLE ELEMENTARY SCHOOL,E,6,1,1,1,1,7,7,6,7,
180,ADAMS-ARAPAHOE 28J,7865,SIDE CREEK ELEMENTARY SCHOOL,E,9,6,6,6,6,10,8,12,9,
180,ADAMS-ARAPAHOE 28J,7932,SIXTH AVENUE ELEMENTARY SCHOOL,E,3,3,3,4,3,6,3,6,6,
180,ADAMS-ARAPAHOE 28J,8078,SOUTH MIDDLE SCHOOL,M,6,3,4,3,1,9,10,9,7,
180,ADAMS-ARAPAHOE 28J,8858,TOLLGATE ELEMENTARY SCHOOL,E,6,3,5,4,5,8,9,11,7,
180,ADAMS-ARAPAHOE 28J,9056,VANGUARD CLASSICAL SCHOOL,E,6,5,3,5,3,9,9,9,9,
180,ADAMS-ARAPAHOE 28J,9056,VANGUARD CLASSICAL SCHOOL,M,9,5,4,6,3,12,9,10,12,
180,ADAMS-ARAPAHOE 28J,9059,VASSAR ELEMENTARY SCHOOL,E,6,5,6,6,5,6,1,9,6,
180,ADAMS-ARAPAHOE 28J,9060,VAUGHN ELEMENTARY SCHOOL,E,6,1,1,1,1,8,7,9,9,
180,ADAMS-ARAPAHOE 28J,9140,VIRGINIA COURT ELEMENTARY SCHOOL,E,5,1,2,2,1,7,6,9,9,
180,ADAMS-ARAPAHOE 28J,9125,VISTA PEAK 9-12 PREPARATORY,H,,5,6,4,4,7,7,9,7,
180,ADAMS-ARAPAHOE 28J,9083,VISTA PEAK P-8 EXPLORATORY,E,1,3,1,4,3,3,6,3,3,
180,ADAMS-ARAPAHOE 28J,9083,VISTA PEAK P-8 EXPLORATORY,M,7,4,5,5,3,9,9,8,9,
180,ADAMS-ARAPAHOE 28J,9514,WHEELING ELEMENTARY SCHOOL,E,3,1,1,1,3,6,3,6,4,
180,ADAMS-ARAPAHOE 28J,8356,WILLIAM SMITH HIGH SCHOOL,H,6,6,6,5,5,8,7,8,9,59.
180,ADAMS-ARAPAHOE 28J,9756,YALE ELEMENTARY SCHOOL,E,9,4,3,6,5,12,11,13,12,
960,AGATE 300,44,AGATE ELEMENTARY SCHOOL,E,,,,,,,,,,
1620,AGUILAR REORGANIZED 6,58,AGUILAR ELEMENTARY SCHOOL,E,6,5,5,6,,5,5,6,6,
1620,AGUILAR REORGANIZED 6,66,AGUILAR JUNIOR-SENIOR HIGH SCHOOL,M,1,1,1,1,,2,3,3,3,
1620,AGUILAR REORGANIZED 6,66,AGUILAR JUNIOR-SENIOR HIGH SCHOOL,H,1,1,1,1,1,3,6,5,1,60.
3030,AKRON R-1,86,AKRON ELEMENTARY SCHOOL,E,6,6,6,6,9,8,7,7,8,
3030,AKRON R-1,86,AKRON ELEMENTARY SCHOOL,M,9,8,6,9,9,9,7,9,6,
3030,AKRON R-1,90,AKRON HIGH SCHOOL,H,7,9,6,7,10,9,11,6,9,94.
100,ALAMOSA RE-11J,115,ALAMOSA ELEMENTARY SCHOOL,E,1,6,6,5,5,3,3,6,1,
100,ALAMOSA RE-11J,118,ALAMOSA HIGH SCHOOL,H,5,6,6,6,6,3,1,6,3,86.
100,ALAMOSA RE-11J,368,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,M,,1,1,1,,,,,,
100,ALAMOSA RE-11J,368,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,H,,,,,,,,,,
100,ALAMOSA RE-11J,114,ORTEGA MIDDLE SCHOOL,M,8,6,5,6,6,9,9,6,9,
220,ARCHULETA COUNTY 50 JT,6652,PAGOSA SPRINGS ELEMENTARY SCHOOL,E,5,6,6,6,,5,4,6,5,
220,ARCHULETA COUNTY 50 JT,6658,PAGOSA SPRINGS HIGH SCHOOL,H,6,6,7,6,6,6,4,9,5,87.
220,ARCHULETA COUNTY 50 JT,6657,PAGOSA SPRINGS MIDDLE SCHOOL,E,6,6,5,7,8,5,6,3,6,
220,ARCHULETA COUNTY 50 JT,6657,PAGOSA SPRINGS MIDDLE SCHOOL,M,9,7,8,7,9,9,7,10,9,
3040,ARICKAREE R-2,304,ARICKAREE ELEMENTARY SCHOOL,E,7,10,11,10,10,5,5,3,6,
3040,ARICKAREE R-2,308,ARICKAREE UNDIVIDED HIGH SCHOOL,M,,9,7,7,9,6,7,6,3,
3040,ARICKAREE R-2,308,ARICKAREE UNDIVIDED HIGH SCHOOL,H,,7,9,6,,7,7,7,6,95.
1450,ARRIBA-FLAGLER C-20,2956,FLAGLER ELEMENTARY SCHOOL,E,1,6,6,6,6,1,1,4,2,
1450,ARRIBA-FLAGLER C-20,2958,FLAGLER MIDDLE SCHOOL,M,8,6,6,6,7,9,12,6,9,
1450,ARRIBA-FLAGLER C-20,2960,FLAGLER SENIOR HIGH SCHOOL,H,9,9,9,9,6,9,6,6,11,95.
2640,ASPEN 1,42,ASPEN COMMUNITY CHARTER SCHOOL,E,6,9,7,6,6,4,1,8,3,
2640,ASPEN 1,42,ASPEN COMMUNITY CHARTER SCHOOL,M,13,12,12,12,10,13,13,12,11,
2640,ASPEN 1,428,ASPEN ELEMENTARY SCHOOL,E,10,9,9,8,,10,8,10,9,
2640,ASPEN 1,432,ASPEN HIGH SCHOOL,H,12,12,10,12,9,9,9,7,8,94.
2640,ASPEN 1,430,ASPEN MIDDLE SCHOOL,E,7,9,9,10,10,6,6,6,6,
2640,ASPEN 1,430,ASPEN MIDDLE SCHOOL,M,13,9,11,11,12,10,10,9,9,
3145,AULT-HIGHLAND RE-9,3958,HIGHLAND ELEMENTARY SCHOOL,E,3,5,5,5,5,5,3,5,6,
3145,AULT-HIGHLAND RE-9,3962,HIGHLAND HIGH SCHOOL,H,6,6,7,6,6,6,4,6,5,78.
3145,AULT-HIGHLAND RE-9,3961,HIGHLAND MIDDLE SCHOOL,M,9,6,7,6,6,12,9,12,9,
1530,BAYFIELD 10 JT-R,632,BAYFIELD ELEMENTARY SCHOOL,E,6,6,7,6,8,6,6,6,5,
1530,BAYFIELD 10 JT-R,640,BAYFIELD HIGH SCHOOL,H,9,9,7,8,7,6,6,7,6,93.
1530,BAYFIELD 10 JT-R,636,BAYFIELD MIDDLE SCHOOL,M,7,8,6,7,7,7,6,6,9,
50,BENNETT 29J,770,BENNETT ELEMENTARY SCHOOL,E,5,6,6,6,6,3,1,3,6,
50,BENNETT 29J,775,BENNETT HIGH SCHOOL,H,8,6,6,6,6,6,5,6,6,86.
50,BENNETT 29J,774,BENNETT MIDDLE SCHOOL,M,7,6,6,6,6,8,6,9,7,
50,BENNETT 29J,1889,CORRIDOR COMMUNITY ACADEMY,E,2,5,6,4,6,1,1,5,1,
50,BENNETT 29J,1889,CORRIDOR COMMUNITY ACADEMY,M,,9,11,6,,13,13,13,9,
1490,BETHUNE R-5,832,BETHUNE ELEMENTARY SCHOOL,E,1,3,5,3,1,4,3,6,3,
1490,BETHUNE R-5,842,BETHUNE JUNIOR-SENIOR HIGH SCHOOL,M,5,4,5,5,3,6,7,3,6,
1490,BETHUNE R-5,842,BETHUNE JUNIOR-SENIOR HIGH SCHOOL,H,6,5,6,4,6,5,3,7,3,95.
940,BIG SANDY 100J,7914,SIMLA ELEMENTARY SCHOOL,E,6,6,9,7,7,3,3,6,1,
940,BIG SANDY 100J,7922,SIMLA HIGH SCHOOL,H,8,6,6,6,9,6,9,4,9,89.
940,BIG SANDY 100J,7918,SIMLA JUNIOR HIGH SCHOOL,M,6,6,6,6,7,5,2,4,7,
480,BOULDER VALLEY RE 2,4878,ANGEVINE MIDDLE SCHOOL,M,6,6,6,6,6,7,6,10,6,
