district_id,school_id,school,city,state,zipcode,Unnamed: 8,Developed: 11-5-12
40,1021,BRIGHTON HERITAGE ACADEMY,BRIGHTON,CO,80601,,
40,1022,BRIGHTON HIGH SCHOOL,BRIGHTON,CO,80601,,
40,1052,BROMLEY EAST CHARTER SCHOOL,BRIGHTON,CO,80601,,
40,2399,EAGLE RIDGE ACADEMY,BRIGHTON,CO,80601,,
40,2945,FOUNDATIONS ACADEMY,BRIGHTON,CO,80601,,
40,3900,HENDERSON ELEMENTARY SCHOOL,HENDERSON,CO,80640,,
40,4950,LANDMARK ACADEMY AT REUNION,COMMERCE CITY,CO,80022,,
40,5615,MARY E PENNOCK ELEMENTARY SCHOOL,BRIGHTON,CO,80601,,
40,6294,NORTH ELEMENTARY SCHOOL,BRIGHTON,CO,80601,,
40,6395,NORTHEAST ELEMENTARY SCHOOL,BRIGHTON,CO,80601,,
40,6638,OVERLAND TRAIL MIDDLE SCHOOL,BRIGHTON,CO,80601,,
40,6702,OTHO E STUART MIDDLE SCHOOL,COMMERCE CITY,CO,80022,,
40,7129,PRAIRIE VIEW HIGH SCHOOL,HENDERSON,CO,80640,,
40,7131,PRAIRIE VIEW MIDDLE SCHOOL,HENDERSON,CO,80640,,
40,7714,SECOND CREEK ELEMENTARY SCHOOL,COMMERCE CITY,CO,80022,,
40,7725,SD 27J PRESCHOOL AT THE BRIGHTON LRC,BRIGHTON,CO,80601,,
40,8032,JOHN W THIMMIG ELEMENTARY SCHOOL,HENDERSON,CO,80640,,
40,8060,SOUTH ELEMENTARY SCHOOL,BRIGHTON,CO,80601,,
40,8130,SOUTHEAST ELEMENTARY SCHOOL,BRIGHTON,CO,80601,,
40,8820,TURNBERRY ELEMENTARY,COMMERCE CITY,CO,80022,,
40,9230,VIKAN MIDDLE SCHOOL,BRIGHTON,CO,80601,,
40,9426,WEST RIDGE ELEMENTARY,THORNTON,CO,80602,,
50,763,BENNETT PRESCHOOL,BENNETT,CO,80102,,
50,770,BENNETT ELEMENTARY SCHOOL,BENNETT,CO,80102,,
50,774,BENNETT MIDDLE SCHOOL,BENNETT,CO,80102,,
50,775,BENNETT HIGH SCHOOL,BENNETT,CO,80102,,
50,1889,CORRIDOR COMMUNITY ACADEMY,BENNETT,CO,80102,,
60,7133,PRAIRIE CREEKS CHARTER SCHOOL,STRASBURG,CO,80136,,
60,8328,STRASBURG ELEMENTARY SCHOOL,STRASBURG,CO,80136,,
60,8332,HEMPHILL MIDDLE SCHOOL,STRASBURG,CO,80136,,
60,8334,STRASBURG HIGH SCHOOL,STRASBURG,CO,80136,,
70,1622,CLARA E. METZ ELEMENTARY SCHOOL,DENVER,CO,80221,,
70,2035,CROWN POINTE CHARTER ACADEMY,WESTMINSTER,CO,80031,,
70,2876,FAIRVIEW ELEMENTARY SCHOOL,DENVER,CO,80221,,
70,3144,FRANCIS M. DAY ELEMENTARY SCHOOL,DENVER,CO,80221,,
70,3649,GREGORY HILL PRESCHOOL,WESTMINSTER,CO,80030,,
70,3792,HARRIS PARK ELEMENTARY SCHOOL,WESTMINSTER,CO,80030,,
70,3931,HIDDEN LAKE HIGH SCHOOL,WESTMINSTER,CO,80030,,
70,4465,JOSEPHINE HODGKINS ELEMENTARY SCHOOL,DENVER,CO,80221,,
70,5388,M. SCOTT CARPENTER MIDDLE SCHOOL,DENVER,CO,80221,,
70,5834,MESA ELEMENTARY SCHOOL,WESTMINSTER,CO,80030,,
70,7305,IVER C. RANUM MIDDLE SCHOOL,DENVER,CO,80221,,
70,7810,FLYNN ELEMENTARY SCHOOL,WESTMINSTER,CO,80030,,
70,7812,SHAW HEIGHTS MIDDLE SCHOOL,WESTMINSTER,CO,80030,,
70,7860,SHERRELWOOD ELEMENTARY SCHOOL,DENVER,CO,80221,,
70,7952,SKYLINE VISTA ELEMENTARY SCHOOL,DENVER,CO,80221,,
70,8406,SUNSET RIDGE ELEMENTARY SCHOOL,WESTMINSTER,CO,80030,,
70,8798,TENNYSON KNOLLS ELEMENTARY SCHOOL,ARVADA,CO,80003,,
70,9462,WESTMINSTER ELEMENTARY SCHOOL,WESTMINSTER,CO,80030,,
70,9466,WESTMINSTER HIGH SCHOOL,WESTMINSTER,CO,80030,,
100,114,ORTEGA MIDDLE SCHOOL,ALAMOSA,CO,81101,,
100,115,ALAMOSA ELEMENTARY SCHOOL,ALAMOSA,CO,81101,,
100,118,ALAMOSA HIGH SCHOOL,ALAMOSA,CO,81101,,
100,368,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,ALAMOSA,CO,81101,,
110,7626,SANGRE DE CRISTO ELEMENTARY SCHOOL,HOOPER,CO,81136,,
110,7630,SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,MOSCA,CO,81146,,
120,206,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,ENGLEWOOD,CO,80110,,
120,1514,CHARLES HAY WORLD SCHOOL,ENGLEWOOD,CO,80113,,
120,1556,CHERRELYN ELEMENTARY SCHOOL,ENGLEWOOD,CO,80113,,
120,1652,CLAYTON ELEMENTARY SCHOOL,ENGLEWOOD,CO,80110,,
120,2746,ENGLEWOOD HIGH SCHOOL,ENGLEWOOD,CO,80113,,
120,2750,ENGLEWOOD LEADERSHIP ACADEMY,ENGLEWOOD,CO,80113,,
120,2752,ENGLEWOOD MIDDLE SCHOOL,ENGLEWOOD,CO,80110,,
120,5318,ENGLEWOOD EARLY CHILDHOOD EDUCATION CENTER AT MADDOX,ENGLEWOOD,CO,80110,,
120,9620,WM E BISHOP ELEMENTARY SCHOOL,ENGLEWOOD,CO,80110,,
123,3054,SHERIDAN ELEMENTARY,ENGLEWOOD,CO,80150,,
123,7837,SHERIDAN MIDDLE SCHOOL,ENGLEWOOD,CO,80150,,
123,7842,SHERIDAN HIGH SCHOOL,DENVER,CO,80236,,
123,7843,EARLY CHILDHOOD EDUCATION CENTER,ENGLEWOOD,CO,80150,,
130,16,FOX HOLLOW ELEMENTARY SCHOOL,AURORA,CO,80116,,
130,18,LIBERTY MIDDLE SCHOOL,AURORA,CO,80016,,
130,141,SKY VISTA MIDDLE SCHOOL,AURORA,CO,80015,,
130,242,ANTELOPE RIDGE ELEMENTARY SCHOOL,AURORA,CO,80015,,
130,243,COYOTE HILLS ELEMENTARY SCHOOL,AURORA,CO,80016,,
130,348,ARROWHEAD ELEMENTARY SCHOOL,AURORA,CO,80013,,
130,442,ASPEN CROSSING ELEMENTARY SCHOOL,CENTENNIAL,CO,80015,,
130,714,BELLEVIEW ELEMENTARY SCHOOL,GREENWOOD VILLAGE,CO,80111,,
130,1155,BUFFALO TRAIL ELEMENTARY SCHOOL,AURORA,CO,80016,,
130,1273,CANYON CREEK ELEMENTARY SCHOOL,AURORA,CO,80015,,
130,1510,CHALLENGE SCHOOL,DENVER,CO,80231,,
130,1551,CHEROKEE TRAIL HIGH SCHOOL,AURORA,CO,80016,,
130,1566,CAMPUS MIDDLE SCHOOL,GREENWOOD VILLAGE,CO,80111,,
130,1568,WEST MIDDLE SCHOOL,GREENWOOD VILLAGE,CO,80121,,
130,1570,CHERRY CREEK HIGH SCHOOL,GREENWOOD VILLAGE,CO,80111,,
130,1571,CHERRY CREEK CHARTER ACADEMY,GREENWOOD VILLAGE,CO,80111,,
130,1572,HIGH PLAINS ELEMENTARY SCHOOL,GREENWOOD VILLAGE,CO,80111,,
130,1574,CHERRY HILLS VILLAGE ELEMENTARY SCHOOL,CHERRY HILLS VILLAGE,CO,80110,,
130,1614,CIMARRON ELEMENTARY SCHOOL,AURORA,CO,80013,,
130,1916,COTTONWOOD CREEK ELEMENTARY SCHOOL,ENGLEWOOD,CO,80111,,
130,1970,CREEKSIDE ELEMENTARY SCHOOL,CENTENNIAL,CO,80016,,
130,2094,DAKOTA VALLEY ELEMENTARY SCHOOL,AURORA,CO,80013,,
130,2292,DRY CREEK ELEMENTARY SCHOOL,ENGLEWOOD,CO,80112,,
130,2357,EAGLECREST HIGH SCHOOL,CENTENNIAL,CO,80015,,
130,2428,EASTRIDGE COMMUNITY ELEMENTARY SCHOOL,AURORA,CO,80014,,
130,2897,FALCON CREEK MIDDLE SCHOOL,AURORA,CO,80016,,
130,3030,FOX RIDGE MIDDLE SCHOOL,AURORA,CO,80016,,
130,3589,GRANDVIEW HIGH SCHOOL,AURORA,CO,80016,,
130,3648,GREENWOOD ELEMENTARY SCHOOL,GREENWOOD VILLAGE,CO,80111,,
130,3926,HERITAGE ELEMENTARY SCHOOL,CENTENNIAL,CO,80111,,
130,3988,HIGHLINE COMMUNITY ELEMENTARY SCHOOL,AURORA,CO,80012,,
130,4062,HOLLY HILLS ELEMENTARY SCHOOL,DENVER,CO,80222,,
130,4078,HOMESTEAD ELEMENTARY SCHOOL,CENTENNIAL,CO,80112,,
130,4100,HORIZON MIDDLE SCHOOL,AURORA,CO,80013,,
130,4276,INDEPENDENCE ELEMENTARY SCHOOL,AURORA,CO,80015,,
130,4280,INDIAN RIDGE ELEMENTARY SCHOOL,AURORA,CO,80015,,
130,4975,LAREDO MIDDLE SCHOOL,AURORA,CO,80015,,
130,5744,MEADOW POINT ELEMENTARY SCHOOL,AURORA,CO,80015,,
130,5934,MISSION VIEJO ELEMENTARY SCHOOL,AURORA,CO,80013,,
130,6625,OVERLAND HIGH SCHOOL,AURORA,CO,80012,,
130,6820,PEAKVIEW ELEMENTARY SCHOOL,CENTENNIAL,CO,80015,,
130,6955,PINE RIDGE ELEMENTARY SCHOOL,AURORA,CO,80016,,
130,7102,POLTON COMMUNITY ELEMENTARY SCHOOL,AURORA,CO,80014,,
130,7116,PONDEROSA ELEMENTARY SCHOOL,AURORA,CO,80012,,
130,7158,PRAIRIE MIDDLE SCHOOL,AURORA,CO,80012,,
130,7277,RED HAWK RIDGE ELEMENTARY SCHOOL,CENTENNIAL,CO,80112,,
130,7476,ROLLING HILLS ELEMENTARY SCHOOL,AURORA,CO,80015,,
130,7559,SAGEBRUSH ELEMENTARY SCHOOL,AURORA,CO,80015,,
130,8020,SMOKY HILL HIGH SCHOOL,AURORA,CO,80015,,
130,8380,SUMMIT ELEMENTARY SCHOOL,AURORA,CO,80015,,
130,8394,SUNRISE ELEMENTARY SCHOOL,AURORA,CO,80013,,
130,8848,THUNDER RIDGE MIDDLE SCHOOL,AURORA,CO,80015,,
130,8850,TIMBERLINE ELEMENTARY SCHOOL,CENTENNIAL,CO,80015,,
130,8887,TRAILS WEST ELEMENTARY SCHOOL,CENTENNIAL,CO,80015,,
130,9108,VILLAGE EAST COMMUNITY ELEMENTARY SCHOOL,AURORA,CO,80012,,
130,9200,WALNUT HILLS COMMUNITY ELEMENTARY SCHOOL,CENTENNIAL,CO,80112,,
130,9624,WILLOW CREEK ELEMENTARY SCHOOL,CENTENNIAL,CO,80112,,
140,298,ARAPAHOE HIGH SCHOOL,CENTENNIAL,CO,80122,,
140,752,FRANKLIN ELEMENTARY SCHOOL,CENTENNIAL,CO,80121,,
140,1382,CENTENNIAL ACADEMY OF FINE ARTS EDUCATION,LITTLETON,CO,80123,,
140,2382,EAST ELEMENTARY SCHOOL,LITTLETON,CO,80120,,
140,2804,EUCLID MIDDLE SCHOOL,LITTLETON,CO,80120,,
140,2926,FIELD ELEMENTARY SCHOOL,LITTLETON,CO,80121,,
140,3472,GODDARD MIDDLE SCHOOL,LITTLETON,CO,80123,,
140,3930,HERITAGE HIGH SCHOOL,LITTLETON,CO,80120,,
140,3950,HIGHLAND ELEMENTARY SCHOOL,CENTENNIAL,CO,80121,,
140,4316,NEWTON MIDDLE SCHOOL,CENTENNIAL,CO,80122,,
140,4447,JOHN WESLEY POWELL MIDDLE SCHOOL,LITTLETON,CO,80122,,
140,5224,LITTLETON HIGH SCHOOL,LITTLETON,CO,80121,,
140,5229,LITTLETON ACADEMY,LITTLETON,CO,80120,,
140,5233,LITTLETON PREP CHARTER SCHOOL,LITTLETON,CO,80123,,
140,5236,LOIS LENSKI ELEMENTARY SCHOOL,CENTENNIAL,CO,80121,,
140,5572,HOPKINS ELEMENTARY SCHOOL,CENTENNIAL,CO,80122,,
140,5574,TWAIN ELEMENTARY SCHOOL,CENTENNIAL,CO,80122,,
140,6292,VILLAGE AT NORTH,LITTLETON,CO,80120,,
140,6814,PEABODY ELEMENTARY SCHOOL,CENTENNIAL,CO,80121,,
140,7518,RUNYON ELEMENTARY SCHOOL,LITTLETON,CO,80120,,
140,7606,SANDBURG ELEMENTARY SCHOOL,CENTENNIAL,CO,80122,,
140,8064,MOODY ELEMENTARY SCHOOL,LITTLETON,CO,80120,,
140,9600,WILDER ELEMENTARY SCHOOL,LITTLETON,CO,80123,,
170,2136,DEER TRAIL ELEMENTARY SCHOOL,DEER TRAIL,CO,80105,,
170,2140,DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,DEER TRAIL,CO,80105,,
180,213,AXL ACADEMY,AURORA,CO,80012,,
180,214,ALTURA ELEMENTARY SCHOOL,AURORA,CO,80011,,
180,219,APS ONLINE SCHOOL,AURORA,CO,80010,,
180,310,ARKANSAS ELEMENTARY SCHOOL,AURORA,CO,80017,,
180,458,AURORA ACADEMY CHARTER SCHOOL,AURORA,CO,80010,,
180,464,AURORA HILLS MIDDLE SCHOOL,AURORA,CO,80012,,
180,465,AURORA FRONTIER K-8,AURORA,CO,80013,,
180,914,BOSTON K-8 SCHOOL,AURORA,CO,80010,,
180,1458,AURORA CENTRAL HIGH SCHOOL,AURORA,CO,80010,,
180,1470,CENTURY ELEMENTARY SCHOOL,AURORA,CO,80014,,
180,1720,CLYDE MILLER K-8,AURORA,CO,80011,,
180,1800,COLUMBIA MIDDLE SCHOOL,AURORA,CO,80013,,
180,1948,CRAWFORD ELEMENTARY SCHOOL,AURORA,CO,80010,,
180,2095,DALTON ELEMENTARY SCHOOL,AURORA,CO,80013,,
180,2114,DARTMOUTH ELEMENTARY SCHOOL,AURORA,CO,80013,,
180,2384,EAST MIDDLE SCHOOL,AURORA,CO,80011,,
180,2618,ELKHART ELEMENTARY SCHOOL,AURORA,CO,80011,,
180,2951,AURORA PUBLIC SCHOOLS CHILD DEVELOPMENT CENTER,AURORA,CO,80011,,
180,2995,FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,AURORA,CO,80010,,
180,2998,FLETCHER PRIMARY SCHOOL,AURORA,CO,80010,,
180,3272,FULTON ELEMENTARY SCHOOL,AURORA,CO,80010,,
180,3354,GATEWAY HIGH SCHOOL,AURORA,CO,80012,,
180,3471,GLOBAL VILLAGE ACADEMY,AURORA,CO,80017,,
180,4024,HINKLEY HIGH SCHOOL,AURORA,CO,80011,,
180,4270,IOWA ELEMENTARY SCHOOL,AURORA,CO,80017,,
180,4385,JAMAICA CHILD DEVELOPMENT CENTER,AURORA,CO,80011,,
180,4426,JEWELL ELEMENTARY SCHOOL,AURORA,CO,80012,,
180,4646,KENTON ELEMENTARY SCHOOL,AURORA,CO,80010,,
180,4970,LANSING ELEMENTARY SCHOOL,AURORA,CO,80010,,
180,4973,LAREDO ELEMENTARY SCHOOL,AURORA,CO,80011,,
180,5298,LOTUS SCHOOL FOR EXCELLENCE,AURORA,CO,80012,,
180,5361,LYN KNOLL ELEMENTARY SCHOOL,AURORA,CO,80011,,
180,5751,MEADOWOOD CHILD DEVELOPMENT CENTER,AURORA,CO,80013,,
180,6068,MONTVIEW MATH & HEALTH SCIENCES ELEMENTARY SCHOOL,AURORA,CO,80010,,
180,6160,MRACHEK MIDDLE SCHOOL,AURORA,CO,80013,,
180,6189,MURPHY CREEK K-8 SCHOOL,AURORA,CO,80018,,
180,6219,NEW AMERICA SCHOOL,DENVER,CO,80230,,
180,6310,NORTH MIDDLE SCHOOL HEALTH SCIENCES AND TECHNOLOGY CAMPUS,AURORA,CO,80010,,
180,6546,OPTIONS SCHOOL,AURORA,CO,80010,,
180,6728,PARIS ELEMENTARY SCHOOL,AURORA,CO,80010,,
180,6758,PARK LANE ELEMENTARY SCHOOL,AURORA,CO,80011,,
180,6869,PEORIA ELEMENTARY SCHOOL,AURORA,CO,80011,,
180,7232,AURORA QUEST K-8,AURORA,CO,80012,,
180,7250,RANGEVIEW HIGH SCHOOL,AURORA,CO,80013,,
180,7558,SABLE ELEMENTARY SCHOOL,AURORA,CO,80011,,
180,7865,SIDE CREEK ELEMENTARY SCHOOL,AURORA,CO,80013,,
180,7932,SIXTH AVENUE ELEMENTARY SCHOOL,AURORA,CO,80011,,
180,8078,SOUTH MIDDLE SCHOOL,AURORA,CO,80011,,
180,8356,WILLIAM SMITH HIGH SCHOOL,AURORA,CO,80011,,
180,8858,TOLLGATE ELEMENTARY SCHOOL,AURORA,CO,80017,,
180,9056,VANGUARD CLASSICAL SCHOOL,DENVER,CO,80230,,
180,9059,VASSAR ELEMENTARY SCHOOL,AURORA,CO,80013,,
180,9060,VAUGHN ELEMENTARY SCHOOL,AURORA,CO,80011,,
180,9083,VISTA PEAK P-8 EXPLORATORY,AURORA,CO,80018,,
180,9125,VISTA PEAK 9-12 PREPARATORY,AURORA,CO,80018,,
180,9140,VIRGINIA COURT ELEMENTARY SCHOOL,AURORA,CO,80012,,
180,9396,AURORA WEST COLLEGE PREPARATORY ACADEMY,AURORA,CO,80010,,
180,9514,WHEELING ELEMENTARY SCHOOL,AURORA,CO,80012,,
180,9756,YALE ELEMENTARY SCHOOL,AURORA,CO,80013,,
190,1168,BYERS ELEMENTARY SCHOOL,BYERS,CO,80103,,
190,1176,BYERS JUNIOR-SENIOR HIGH SCHOOL,BYERS,CO,80103,,
220,64,ARCHULETA COUNTY HIGH SCHOOL,PAGOSA SPRINGS,CO,81147,,
220,6652,PAGOSA SPRINGS ELEMENTARY SCHOOL,PAGOSA SPRINGS,CO,81147,,
220,6657,PAGOSA SPRINGS MIDDLE SCHOOL,PAGOSA SPRINGS,CO,81147,,
220,6658,PAGOSA SPRINGS HIGH SCHOOL,PAGOSA SPRINGS,CO,81147,,
230,9222,WALSH ELEMENTARY SCHOOL,WALSH,CO,81090,,
230,9226,WALSH HIGH SCHOOL,WALSH,CO,81090,,
240,7174,PRITCHETT ELEMENTARY SCHOOL,PRITCHETT,CO,81064,,
240,7176,PRITCHETT MIDDLE SCHOOL,PRITCHETT,CO,81064,,
240,7180,PRITCHETT HIGH SCHOOL,PRITCHETT,CO,81064,,
250,8160,SPRINGFIELD ELEMENTARY SCHOOL,SPRINGFIELD,CO,81073,,
250,8164,SPRINGFIELD JUNIOR HIGH SCHOOL,SPRINGFIELD,CO,81073,,
250,8168,SPRINGFIELD HIGH SCHOOL,SPRINGFIELD,CO,81073,,
260,9085,V.I.L.A.S. ONLINE SCHOOL,VILAS,CO,81087,,
260,9090,VILAS ELEMENTARY SCHOOL,VILAS,CO,81087,,
260,9100,VILAS UNDIVIDED HIGH SCHOOL,VILAS,CO,81087,,
270,1248,CAMPO ELEMENTARY SCHOOL,CAMPO,CO,81029,,
270,1252,CAMPO UNDIVIDED HIGH SCHOOL,CAMPO,CO,81029,,
290,1812,LAS ANIMAS ELEMENTARY SCHOOL,LAS ANIMAS,CO,81054,,
290,4495,JUMP START LEARNING CENTER,LAS ANIMAS,CO,81054,,
290,4986,LAS ANIMAS MIDDLE SCHOOL,LAS ANIMAS,CO,81054,,
290,4990,LAS ANIMAS HIGH SCHOOL,LAS ANIMAS,CO,81054,,
310,5666,MC CLAVE ELEMENTARY SCHOOL,MC CLAVE,CO,81057,,
310,5670,MC CLAVE UNDIVIDED HIGH SCHOOL,MC CLAVE,CO,81057,,
470,60,LEGACY ELEMENTARY SCHOOL,FREDERICK,CO,80504,,
470,61,ALPINE ELEMENTARY SCHOOL,LONGMONT,CO,80501,,
470,71,ASPEN RIDGE PREPATORY SCHOOL,ERIE,CO,80516,,
470,226,ALTONA MIDDLE SCHOOL,LONGMONT,CO,80503,,
470,875,BLACK ROCK ELEMENTARY,ERIE,CO,80516,,
470,878,BLUE MOUNTAIN ELEMENTARY,LONGMONT,CO,80503,,
470,1148,BURLINGTON ELEMENTARY SCHOOL,LONGMONT,CO,80501,,
470,1245,CENTENNIAL ELEMENTARY,FIRESTONE,CO,80504,,
470,1284,CARBON VALLEY ACADEMY,FREDERICK,CO,80530,,
470,1434,CENTRAL ELEMENTARY SCHOOL,LONGMONT,CO,80501,,
470,1844,COLUMBINE ELEMENTARY SCHOOL,LONGMONT,CO,80501,,
470,2343,EAGLE CREST ELEMENTARY SCHOOL,LONGMONT,CO,80503,,
470,2758,ERIE ELEMENTARY SCHOOL,ERIE,CO,80516,,
470,2760,ERIE MIDDLE SCHOOL,ERIE,CO,80516,,
470,2761,ERIE HIGH SCHOOL,ERIE,CO,80516,,
470,2912,FALL RIVER ELEMENTARY SCHOOL,LONGMONT,CO,80501,,
