school,district_id,district_name,emh,emh_combined,school_id,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate
LYONS MIDDLE/SENIOR HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,True,5368,12,12,13,11,12,10,9,10,9,96.6
ARAPAHOE HIGH SCHOOL,140,LITTLETON 6,H,False,298,12,12,12,12,12,9,7,9,7,96.0
BELLEVIEW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,714,13,12,12,12,12,11,10,9,12,
HIGHLANDS RANCH HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,False,3980,12,11,11,11,10,10,9,7,12,93.1
HORIZONS K-8 SCHOOL,480,BOULDER VALLEY RE 2,E,False,6642,13,12,12,11,12,12,9,9,12,
BROMWELL ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,1056,13,12,12,12,12,12,12,10,12,
RALSTON VALLEY SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,7239,12,12,13,12,12,9,7,12,7,91.6
FLAGLER SENIOR HIGH SCHOOL,1450,ARRIBA-FLAGLER C-20,H,False,2960,12,12,9,9,8,12,11,10,12,91.5
POLARIS AT EBERT ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,2027,13,13,13,13,13,12,13,9,9,
ROCK CANYON HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,False,7435,12,12,12,12,12,7,8,6,8,94.8
NORTH STAR ACADEMY,900,DOUGLAS COUNTY RE 1,E,False,1579,13,11,12,12,9,12,10,11,11,
JAMES IRWIN CHARTER HIGH SCHOOL,980,HARRISON 2,H,False,4378,12,12,10,12,12,9,9,9,8,85.7
BUENA VISTA HIGH SCHOOL,490,BUENA VISTA R-31,H,False,1130,12,11,7,9,10,12,10,12,12,95.2
BERGEN VALLEY INTERMEDIATE SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,779,13,12,12,12,12,10,10,9,10,
SUPERIOR ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,8418,13,13,12,12,11,13,11,11,13,
DENVER SCHOOL OF THE ARTS,880,DENVER COUNTY 1,H,True,2184,12,12,11,13,13,11,9,9,12,94.4
CORY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,1908,13,12,12,11,10,13,11,13,13,
ELBERT JUNIOR-SENIOR HIGH SCHOOL,950,ELBERT 200,H,False,2574,12,8,6,9,9,12,10,10,10,94.4
STEELE ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,8246,13,12,12,11,12,12,11,11,10,
BEACH COURT ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,650,13,12,12,10,6,13,13,13,13,
BRADFORD INTERMEDIATE SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,952,13,13,12,13,13,12,12,11,11,
PEYTON JUNIOR/SENIOR HIGH SCHOOL,1060,PEYTON 23 JT,H,False,6902,12,8,7,9,9,11,12,9,10,96.7
PRAIRIE JUNIOR-SENIOR HIGH SCHOOL,3147,PRAIRIE RE-11,H,True,7156,12,10,9,10,9,10,9,9,12,92.0
D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,True,2120,12,13,13,13,13,9,9,10,7,98.6
CHERRY CREEK HIGH SCHOOL,130,CHERRY CREEK 5,H,False,1570,12,12,13,12,12,9,7,9,7,92.8
ACADEMY CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,M,False,11,13,11,10,10,12,12,9,12,11,
ALTONA MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,M,False,226,13,10,9,12,10,12,10,10,12,
DISCOVERY CANYON CAMPUS SCHOOL,1040,ACADEMY 20,H,False,2195,12,12,11,13,12,9,9,7,11,
DOUGLASS ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,2240,12,12,13,12,13,11,8,10,11,
CHALLENGE SCHOOL,130,CHERRY CREEK 5,M,False,1510,12,13,13,13,13,10,11,7,10,
CORE KNOWLEDGE CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,1873,12,12,13,12,12,12,9,12,13,
PLATTE RIVER CHARTER ACADEMY,900,DOUGLAS COUNTY RE 1,M,False,7047,12,12,11,12,13,10,6,12,10,
LITTLETON ACADEMY,140,LITTLETON 6,M,False,5229,12,13,12,13,12,9,6,9,10,
PAWNEE JUNIOR-SENIOR HIGH SCHOOL,3148,PAWNEE RE-12,H,False,6812,11,9,10,12,7,8,6,12,5,97.1
CEDAREDGE HIGH SCHOOL,870,DELTA COUNTY 50(J),H,False,1372,11,10,8,8,9,12,12,9,10,94.9
RIDGWAY HIGH SCHOOL,2590,RIDGWAY R-2,H,False,7346,11,9,9,9,10,9,9,6,9,96.5
PEETZ JUNIOR-SENIOR HIGH SCHOOL,1870,PLATEAU RE-5,H,False,6838,11,13,12,13,8,13,13,6,13,93.6
FAIRVIEW HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,False,2892,11,12,13,13,12,6,6,8,6,93.7
AIR ACADEMY HIGH SCHOOL,1040,ACADEMY 20,H,False,76,11,12,12,12,12,8,7,9,7,93.0
WEST DENVER PREP: HARVEY PARK CAMPUS,880,DENVER COUNTY 1,M,False,9389,12,7,9,8,,13,13,13,13,
LITTLETON ACADEMY,140,LITTLETON 6,E,False,5229,12,13,13,13,13,11,11,10,9,
SOUTH PARK HIGH SCHOOL,2610,PARK COUNTY RE-2,H,False,8118,10,7,9,8,10,12,10,9,12,81.4
SWINK JUNIOR-SENIOR HIGH SCHOOL,2570,SWINK 33,H,False,8456,10,10,9,11,8,9,5,13,7,100.0
CROWN POINTE CHARTER ACADEMY,70,WESTMINSTER 50,M,False,2035,12,11,9,10,9,11,10,9,10,
MOUNTAIN VISTA HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,False,6165,10,10,12,11,10,6,6,6,6,95.7
LITTLETON PREP CHARTER SCHOOL,140,LITTLETON 6,M,False,5233,12,10,7,12,8,10,10,10,9,
WERNER ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,9380,12,12,12,12,10,12,12,11,12,
FRONTIER CHARTER ACADEMY,3120,GREELEY 6,H,False,1875,10,12,9,10,9,12,12,10,10,78.6
COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,1160,COTOPAXI RE-3,H,False,3228,10,6,6,7,6,10,12,9,9,92.3
PINE GROVE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,6938,12,13,13,12,12,11,12,9,10,
AMERICAN ACADEMY AT CASTLE PINES CHARTER,900,DOUGLAS COUNTY RE 1,M,False,215,12,12,12,13,13,12,9,12,12,
ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,19,12,12,12,12,12,9,9,9,8,
PINE CREEK HIGH SCHOOL,1040,ACADEMY 20,H,False,6937,10,12,11,12,12,8,8,6,9,94.1
HIGH PEAKS ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,3940,12,13,13,12,13,12,12,12,10,
GREEN MOUNTAIN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,3628,10,9,9,9,9,9,7,8,9,92.7
BOULDER HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,False,924,10,9,12,10,10,7,5,9,6,92.4
AMERICAN ACADEMY AT CASTLE PINES CHARTER,900,DOUGLAS COUNTY RE 1,E,False,215,12,11,10,10,13,9,8,9,9,
BETHKE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,498,12,12,12,12,9,10,9,10,9,
LEWIS-PALMER HIGH SCHOOL,1080,LEWIS-PALMER 38,H,False,5100,10,10,12,11,11,6,5,6,6,95.0
DUNN ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,2298,12,10,12,9,10,13,13,12,12,
SPRINGFIELD HIGH SCHOOL,250,SPRINGFIELD RE-4,H,False,8168,10,7,9,9,9,11,9,9,12,94.4
OURAY SENIOR HIGH SCHOOL,2580,OURAY R-1,H,False,6600,10,9,9,9,9,9,9,7,9,95.8
MEAD MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,M,False,5730,12,10,9,11,9,13,13,13,12,
ELDORADO K-8 SCHOOL,480,BOULDER VALLEY RE 2,E,False,2589,12,12,12,12,13,9,7,10,9,
CHERRY CREEK CHARTER ACADEMY,130,CHERRY CREEK 5,M,False,1571,12,13,12,13,12,10,10,12,7,
THUNDERRIDGE HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,False,8847,10,11,10,12,9,7,7,6,9,92.8
ELK CREEK ELEMENTARY,1195,GARFIELD RE-2,E,False,2573,12,6,9,7,,12,11,10,10,
JAMES IRWIN CHARTER ELEMENTARY SCHOOL,980,HARRISON 2,E,False,4380,12,11,12,13,12,11,12,7,12,
LOIS LENSKI ELEMENTARY SCHOOL,140,LITTLETON 6,E,False,5236,12,12,12,12,11,11,12,9,9,
NEW EMERSON SCHOOL AT COLUMBUS,2000,MESA COUNTY VALLEY 51,E,False,2724,12,12,9,9,10,9,10,9,9,
LIBERTY COMMON CHARTER SCHOOL,1550,POUDRE R-1,M,False,5120,12,13,13,13,13,12,7,13,13,
IVY STOCKWELL ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,False,4332,12,9,9,8,9,12,10,12,12,
WILEY JUNIOR-SENIOR HIGH SCHOOL,2680,WILEY RE-13 JT,H,False,9608,10,10,10,10,6,10,6,13,7,89.7
KIM UNDIVIDED HIGH SCHOOL,1760,KIM REORGANIZED 88,H,True,4694,10,13,12,12,12,6,6,9,5,100.0
GLENWOOD SPRINGS HIGH SCHOOL,1180,ROARING FORK RE-1,H,False,3468,10,7,9,8,8,12,11,12,10,84.3
CHAPARRAL HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,False,1503,10,9,9,9,9,8,7,6,9,92.4
HAXTUN HIGH SCHOOL,2630,HAXTUN RE-2J,H,False,3850,10,9,6,6,6,12,12,10,11,95.2
STRASBURG HIGH SCHOOL,60,STRASBURG 31J,H,False,8334,10,8,6,7,7,9,7,9,9,94.9
NIWOT HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,False,6276,9,11,12,12,12,7,8,6,7,95.4
SLAVENS K-8 SCHOOL,880,DENVER COUNTY 1,E,True,7972,12,11,13,10,10,10,9,12,7,
SLAVENS K-8 SCHOOL,880,DENVER COUNTY 1,M,True,7972,12,12,11,12,12,12,12,10,12,
LEGEND HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,False,4271,9,10,9,10,10,6,6,5,9,
SARGENT SENIOR HIGH SCHOOL,2750,SARGENT RE-33J,H,False,7664,9,10,9,10,9,8,8,6,10,97.6
THE PINNACLE CHARTER SCHOOL HIGH,8001,CHARTER SCHOOL INSTITUTE,H,False,6914,9,9,6,7,7,12,12,7,10,94.2
SUMMIT VIEW ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,8382,12,11,11,12,9,10,10,9,9,
STARGATE CHARTER SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,False,1519,12,13,13,13,13,9,9,9,9,
PEAKVIEW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,6820,12,9,10,9,11,12,13,9,12,
HOLLY HIGH SCHOOL,2670,HOLLY RE-3,H,False,4058,9,9,8,7,12,9,12,8,7,93.8
CALHAN HIGH SCHOOL,970,CALHAN RJ-1,H,False,1218,9,9,6,9,9,9,9,5,13,90.7
STEAMBOAT SPRINGS HIGH SCHOOL,2770,STEAMBOAT SPRINGS RE-2,H,False,8212,9,11,12,10,11,6,7,5,6,88.3
GYPSUM CREEK MIDDLE SCHOOL,910,EAGLE COUNTY RE 50,M,False,39,12,8,6,9,9,13,12,12,12,
TELLURIDE MIDDLE SCHOOL,2830,TELLURIDE R-1,M,False,8790,12,10,7,10,13,11,10,9,11,
GRANDVIEW HIGH SCHOOL,130,CHERRY CREEK 5,H,False,3589,9,9,9,10,9,8,7,8,7,91.6
BRIGGSDALE UNDIVIDED HIGH SCHOOL,3146,BRIGGSDALE RE-10,H,False,1012,9,6,6,7,12,9,6,10,10,94.9
FRONTIER CHARTER ACADEMY,3120,GREELEY 6,E,False,1875,12,10,12,12,13,11,6,9,13,
KIT CARSON JUNIOR-SENIOR HIGH SCHOOL,510,KIT CARSON R-1,H,False,4742,9,9,6,10,6,6,6,7,6,96.9
THE VANGUARD SCHOOL (MIDDLE),8001,CHARTER SCHOOL INSTITUTE,M,False,9051,12,13,12,13,13,9,12,6,10,
BUFFALO RIDGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,1131,12,12,12,11,9,9,12,6,9,
OURAY MIDDLE SCHOOL,2580,OURAY R-1,M,False,6598,12,9,6,10,7,13,13,12,12,
CONIFER SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,1886,9,11,12,11,11,7,7,6,7,89.2
HOTCHKISS HIGH SCHOOL,870,DELTA COUNTY 50(J),H,False,4128,9,7,7,8,7,9,9,6,10,95.3
UNIVERSITY PARK ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,8970,12,9,9,9,9,12,12,11,9,
FLAGSTONE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,2965,12,9,10,9,8,12,10,10,10,
EXCEL ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,H,True,2799,9,,,,,,,,,
MONARCH HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,False,5999,9,9,12,10,10,6,5,7,6,97.7
RAMPART HIGH SCHOOL,1040,ACADEMY 20,H,False,7240,9,9,10,10,9,6,6,6,6,93.0
COPPER MESA ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,1899,12,9,12,9,9,12,12,10,9,
POMONA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,7114,9,8,9,9,7,10,9,10,9,88.0
STANDLEY LAKE HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,8209,9,8,9,9,8,9,6,9,9,88.7
NIWOT ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,6274,12,12,12,11,12,10,12,6,10,
ASPEN COMMUNITY CHARTER SCHOOL,2640,ASPEN 1,M,False,42,12,10,9,10,10,13,12,12,12,
LINCOLN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,5158,12,6,7,6,10,13,12,12,11,
WEST DENVER PREP:  FEDERAL CAMPUS,880,DENVER COUNTY 1,M,False,8085,12,6,9,6,9,13,13,13,13,
GALETON ELEMENTARY SCHOOL,3085,EATON RE-2,E,False,3286,12,7,9,8,6,13,12,12,12,
LYONS ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,5364,12,8,9,6,10,13,13,13,13,
CUSTER COUNTY HIGH SCHOOL,860,CUSTER COUNTY SCHOOL DISTR,H,False,2092,9,9,8,9,9,10,7,12,9,93.2
LIMON JUNIOR-SENIOR HIGH SCHOOL,1790,LIMON RE-4J,H,False,5136,9,8,8,9,7,9,9,6,10,95.0
FRUITA MONUMENT HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,H,False,6070,9,10,8,9,9,12,12,12,9,87.9
WRAY HIGH SCHOOL,3210,WRAY RD-2,H,False,9733,9,7,7,7,9,10,8,9,12,94.3
CHERAW HIGH SCHOOL,2560,CHERAW 31,H,False,1546,9,8,6,7,8,6,5,7,7,
CHEYENNE MOUNTAIN CHARTER ACADEMY,1020,CHEYENNE MOUNTAIN 12,E,False,1582,12,12,12,13,11,10,12,7,9,
DENVER SCHOOL OF SCIENCE AND TECHNOLOGY,880,DENVER COUNTY 1,M,True,2185,12,10,9,12,,13,13,13,13,
COLUMBINE HILLS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,1861,12,9,8,7,6,10,11,9,10,
UNION COLONY PREPARATORY SCHOOL,3120,GREELEY 6,H,False,8965,9,12,7,10,9,8,7,6,9,73.0
PALMER RIDGE HIGH SCHOOL,1080,LEWIS-PALMER 38,H,False,6678,9,9,11,10,11,5,3,6,5,
LEGACY HIGH SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,H,False,5043,9,9,10,9,9,9,9,9,9,86.7
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,M,False,146,12,12,8,12,11,11,9,7,13,
SIDE CREEK ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,7865,12,6,9,6,7,13,11,12,12,
PONDEROSA HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,False,7118,9,9,9,9,9,6,5,6,6,93.8
WOODLIN UNDIVIDED HIGH SCHOOL,3070,WOODLIN R-104,H,False,9704,9,7,6,6,9,12,7,12,9,82.1
HOMESTEAD ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,4078,12,12,13,12,12,7,9,6,6,
CAMPBELL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,1238,12,8,9,9,8,13,11,12,12,
WILDER ELEMENTARY SCHOOL,140,LITTLETON 6,E,False,9600,12,12,13,12,12,9,9,6,11,
JULESBURG HIGH SCHOOL,2862,JULESBURG RE-1,H,False,4492,9,9,10,9,9,11,12,10,8,87.9
COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,H,True,1869,9,,,,,,,,,
CLEAR CREEK HIGH SCHOOL,540,CLEAR CREEK RE-1,H,False,4216,9,7,7,9,9,10,7,8,12,84.9
RALSTON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,7238,12,12,12,13,12,10,11,9,9,
AURORA QUEST ACADEMY,180,ADAMS-ARAPAHOE 28J,E,True,7232,12,13,13,13,13,12,10,13,9,
AURORA QUEST ACADEMY,180,ADAMS-ARAPAHOE 28J,M,True,7232,12,13,13,13,13,7,7,9,6,
SOROCO HIGH SCHOOL,2780,SOUTH ROUTT RE 3,H,False,8050,9,9,9,7,9,12,9,12,8,86.8
CRESTONE CHARTER SCHOOL,2800,MOFFAT 2,H,True,2018,9,10,9,9,,,,,,
EARLY COLLEGE HIGH SCHOOL AT ARVADA,8001,CHARTER SCHOOL INSTITUTE,H,False,2837,9,10,6,9,7,6,7,6,6,
CORE KNOWLEDGE CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,M,False,1873,12,12,12,13,10,9,9,9,9,
STEAMBOAT SPRINGS MIDDLE SCHOOL,2770,STEAMBOAT SPRINGS RE-2,M,False,8210,12,11,9,12,11,9,7,10,9,
MERINO JUNIOR SENIOR HIGH SCHOOL,1860,BUFFALO RE-4,H,False,5806,8,9,8,9,10,6,6,5,8,92.3
COYOTE RIDGE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,1937,12,9,11,9,9,9,10,9,9,
CHEYENNE WELLS HIGH SCHOOL,520,CHEYENNE COUNTY RE-5,H,False,1612,9,8,9,8,7,9,12,6,9,90.2
MCGRAW ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,5688,12,10,10,10,9,12,10,12,10,
BROOMFIELD HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,False,1070,9,9,9,9,8,6,5,6,6,92.9
PAGOSA SPRINGS HIGH SCHOOL,220,ARCHULETA COUNTY 50 JT,H,False,6658,9,9,9,9,9,9,8,12,6,87.0
WILDFLOWER ELEMENTARY SCHOOL,980,HARRISON 2,E,False,9602,12,9,9,11,9,10,8,9,12,
CREEKSIDE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,1970,12,9,11,9,9,12,13,10,10,
PLATTE CANYON HIGH SCHOOL,2600,PLATTE CANYON 1,H,False,7046,9,7,10,8,9,7,6,12,6,92.6
LIBERTY HIGH SCHOOL,1040,ACADEMY 20,H,False,5126,9,9,9,9,10,6,6,6,7,91.7
CRESTED BUTTE COMMUNITY SCHOOL,1360,GUNNISON WATERSHED RE1J,M,False,2006,12,12,7,11,10,10,7,10,12,
MONUMENT CHARTER ACADEMY,1080,LEWIS-PALMER 38,E,False,5093,12,11,12,12,12,10,9,7,12,
BAYFIELD HIGH SCHOOL,1530,BAYFIELD 10 JT-R,H,False,640,9,8,7,8,8,6,5,9,6,96.1
CALICHE JUNIOR-SENIOR HIGH SCHOOL,1828,VALLEY RE-1,H,True,1224,9,6,6,6,10,12,12,8,12,100.0
ASPEN ELEMENTARY SCHOOL,2640,ASPEN 1,E,False,428,12,10,12,9,,9,9,9,9,
ANTELOPE RIDGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,242,12,7,10,9,7,12,10,10,11,
DEL NORTE MIDDLE SCHOOL,2730,DEL NORTE C-7,M,False,2148,12,6,6,6,9,13,13,13,12,
LYONS MIDDLE/SENIOR HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,M,True,5368,12,9,8,9,9,9,7,9,9,
TWIN PEAKS CHARTER ACADEMY,470,ST VRAIN VALLEY RE 1J,E,True,8927,12,9,9,9,9,10,9,9,12,
TWIN PEAKS CHARTER ACADEMY,470,ST VRAIN VALLEY RE 1J,M,True,8927,12,11,7,12,9,12,11,10,11,
DOUGLAS COUNTY HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,False,2230,9,9,9,9,7,6,6,6,6,90.1
WALSH HIGH SCHOOL,230,WALSH RE-1,H,False,9226,9,11,7,7,7,6,6,9,5,91.3
NEDERLAND MIDDLE-SENIOR HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,False,6212,9,9,9,9,12,9,6,9,9,89.1
MANCOS HIGH SCHOOL,2070,MANCOS RE-6,H,False,5452,9,8,9,6,7,9,9,7,9,92.4
BERTHOUD HIGH SCHOOL,1560,THOMPSON R-2J,H,False,812,9,10,10,9,9,7,8,7,6,92.4
COLLEGIATE ACADEMY OF COLORADO,1420,JEFFERSON COUNTY R-1,H,True,7701,9,6,6,7,6,6,7,6,8,89.3
LEWIS-PALMER ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,E,False,5096,12,11,12,10,11,10,10,9,11,
SIMLA HIGH SCHOOL,940,BIG SANDY 100J,H,False,7922,9,6,9,8,7,9,6,7,13,81.0
CHEYENNE MOUNTAIN ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,False,1586,12,12,13,13,13,10,10,7,12,
ACADEMY CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,11,12,9,12,9,9,12,12,12,6,
GRAND LAKE ELEMENTARY SCHOOL,1350,EAST GRAND 2,E,False,3572,12,9,9,7,9,12,12,9,12,
MAPLE GROVE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,5524,12,12,11,11,11,12,12,12,9,
SANDBURG ELEMENTARY SCHOOL,140,LITTLETON 6,E,False,7606,12,12,12,10,12,9,10,9,9,
BENNETT ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,766,12,10,12,10,11,12,13,12,8,
CARRIE MARTIN ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,False,1323,12,9,9,6,12,11,9,12,10,
DELTA HIGH SCHOOL,870,DELTA COUNTY 50(J),H,False,2164,9,7,7,6,6,9,12,6,9,92.4
CASTLE VIEW HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,False,1367,9,9,9,9,9,6,6,6,6,87.1
CHEROKEE TRAIL HIGH SCHOOL,130,CHERRY CREEK 5,H,False,1551,9,9,9,9,8,7,7,8,6,88.4
GOLDEN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,3502,9,9,10,9,9,6,6,9,6,82.5
