school,school_id,pct_remediation
STEAMBOAT SPRINGS HIGH SCHOOL,8212,0.262295
STERLING HIGH SCHOOL,8260,0.193548
STRASBURG HIGH SCHOOL,8334,0.433333
SUMMIT HIGH SCHOOL,8378,0.204819
SWINK JUNIOR-SENIOR HIGH SCHOO,8456,
THOMAS JEFFERSON HIGH SCHOOL,8822,0.572581
THOMPSON VALLEY HIGH SCHOOL,8824,0.313725
THUNDERRIDGE HIGH SCHOOL,8847,0.200935
TRINIDAD HIGH SCHOOL,8906,
VALLEY HIGH SCHOOL,9032,0.6
JOHN MALL HIGH SCHOOL,9212,
WASSON HIGH SCHOOL,9298,0.426966
WEST HIGH SCHOOL,9408,0.906977
WESTMINSTER HIGH SCHOOL,9466,0.514286
WHEAT RIDGE HIGH SCHOOL,9510,0.258993
WIDEFIELD HIGH SCHOOL,9566,0.37931
WIGGINS JUNIOR-SENIOR HIGH SCH,9582,
WINDSOR HIGH SCHOOL,9672,0.333333
WOODLAND PARK HIGH SCHOOL,9696,0.235294
YUMA HIGH SCHOOL,9799,
