school_id,school,city,state,zipcode,LowestGrade,Unnamed: 8,School Type,district_id,district_name,District Size,District Setting
472,AVONDALE ELEMENTARY SCHOOL,AVONDALE,CO,81022,Preschool,5th Grade,Elementary,2700,PUEBLO COUNTY 70,"1,201 - 6,000",Urban-Suburban
477,ZACH ELEMENTARY SCHOOL,FORT COLLINS,CO,80528,Kindergarten,5th Grade,Elementary,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
489,BACKPACK EARLY LEARNING ACADEMY,DELTA,CO,81416,Preschool,Preschool,Elementary,870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
490,BACON ELEMENTARY SCHOOL,FORT COLLINS,CO,80528,Preschool,5th Grade,Elementary,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
492,BAKER CENTRAL SCHOOL,FORT MORGAN,CO,80701,5th Grade,6th Grade,Elementary,2405,FORT MORGAN RE-3,"1,201 - 6,000",Outlying City
498,BETHKE ELEMENTARY SCHOOL,TIMNATH,CO,80547,Kindergarten,5th Grade,Elementary,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
501,MONTEREY COMMUNITY SCHOOL,DENVER,CO,80229,Kindergarten,8th Grade,Elementary,10,MAPLETON 1,"1,201 - 6,000",Denver Metro
502,MEADOW COMMUNITY SCHOOL,THORNTON,CO,80229,Kindergarten,8th Grade,Elementary,10,MAPLETON 1,"1,201 - 6,000",Denver Metro
503,YORK INTERNATIONAL,THORNTON,CO,80229,Kindergarten,12th Grade,Senior,10,MAPLETON 1,"1,201 - 6,000",Denver Metro
504, WELBY MONTESSORI SCHOOL,DENVER,CO,80229,Preschool,6th Grade,Elementary,10,MAPLETON 1,"1,201 - 6,000",Denver Metro
505,ACHIEVE ACADEMY,THORNTON,CO,80229,Kindergarten,8th Grade,Elementary,10,MAPLETON 1,"1,201 - 6,000",Denver Metro
506,EXPLORE ELEMENTARY,THORNTON,CO,80229,Kindergarten,6th Grade,Elementary,10,MAPLETON 1,"1,201 - 6,000",Denver Metro
507,ADVENTURE ELEMENTARY,DENVER,CO,80221,Preschool,6th Grade,Elementary,10,MAPLETON 1,"1,201 - 6,000",Denver Metro
509,CLAYTON PARTNERSHIP SCHOOL,THORNTON,CO,80229,Kindergarten,8th Grade,Elementary,10,MAPLETON 1,"1,201 - 6,000",Denver Metro
510,CONRAD BALL MIDDLE SCHOOL,LOVELAND,CO,80538,6th Grade,8th Grade,Middle,1560,THOMPSON R2-J,"6,001 - 25,000",Urban-Suburban
515,AYRES ELEMENTARY SCHOOL,STERLING,CO,80751,Kindergarten,2nd Grade,Elementary,1828,VALLEY RE-1,"1,201 - 6,000",Outlying City
517,ACADEMY FOR ADVANCED AND CREATIVE LEARNING,COLORADO SPRINGS,CO,80907,Kindergarten,8th Grade,Elementary,1010,COLORADO SPRINGS 11,"Over 25,000",Urban-Suburban
520,BARNUM ELEMENTARY SCHOOL,DENVER,CO,80219,Preschool,5th Grade,Elementary,880,DENVER COUNTY 1,"Over 25,000",Denver Metro
540,BARRETT ELEMENTARY SCHOOL,DENVER,CO,80205,Preschool,5th Grade,Elementary,880,DENVER COUNTY 1,"Over 25,000",Denver Metro
550,BARTON PREKINDERGARTEN,FORT COLLINS,CO,80525,Preschool,Preschool,Elementary,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
555,BANNING LEWIS RANCH ACADEMY,COLORADO SPRINGS,CO,80927,Kindergarten,8th Grade,Elementary,1110,FALCON 49,"1,201 - 6,000",Urban-Suburban
560,BASALT ELEMENTARY SCHOOL,BASALT,CO,81621,Preschool,4th Grade,Elementary,1180,ROARING FORK RE-1,"1,201 - 6,000",Outlying City
561,BASALT MIDDLE SCHOOL,BASALT,CO,81621,5th Grade,8th Grade,Middle,1180,ROARING FORK RE-1,"1,201 - 6,000",Outlying City
570,BASALT HIGH SCHOOL,BASALT,CO,81621,9th Grade,12th Grade,Senior,1180,ROARING FORK RE-1,"1,201 - 6,000",Outlying City
594,BATES ELEMENTARY SCHOOL,COLORADO SPRINGS,CO,80907,Preschool,5th Grade,Elementary,1010,COLORADO SPRINGS 11,"Over 25,000",Urban-Suburban
604,BATTLE MOUNTAIN HIGH SCHOOL,EDWARDS,CO,81620,9th Grade,12th Grade,Senior,910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
609,BATTLE ROCK CHARTER SCHOOL,CORTEZ,CO,81321,Kindergarten,6th Grade,Elementary,2035,MONTEZUMA-CORTEZ RE-1,"1,201 - 6,000",Outlying City
612,BAUDER ELEMENTARY SCHOOL,FORT COLLINS,CO,80526,Preschool,5th Grade,Elementary,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
632,BAYFIELD ELEMENTARY SCHOOL,BAYFIELD,CO,81122,Preschool,5th Grade,Elementary,1530,BAYFIELD 10 JT-R,601 - 1.200,Outlying Town
636,BAYFIELD MIDDLE SCHOOL,BAYFIELD,CO,81122,6th Grade,8th Grade,Middle,1530,BAYFIELD 10 JT-R,601 - 1.200,Outlying Town
640,BAYFIELD HIGH SCHOOL,BAYFIELD,CO,81122,9th Grade,12th Grade,Senior,1530,BAYFIELD 10 JT-R,601 - 1.200,Outlying Town
650,BEACH COURT ELEMENTARY SCHOOL,DENVER,CO,80221,Preschool,5th Grade,Elementary,880,DENVER COUNTY 1,"Over 25,000",Denver Metro
651,BEAR CANYON ELEMENTARY SCHOOL,HIGHLANDS RANCH,CO,80126,Kindergarten,6th Grade,Elementary,900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
652,BEAR CREEK ELEMENTARY SCHOOL,BOULDER,CO,80305,Kindergarten,5th Grade,Elementary,480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
653,STONE CREEK SCHOOL,AVON,CO,81620,Kindergarten,8th Grade,Elementary,8001,Charter School Institute,,
654,THE PINNACLE CHARTER SCHOOL ELEMENTARY,FEDERAL HEIGHTS,CO,80206,Kindergarten,5th Grade,Elementary,8001,Charter School Institute,,
655,HIGH POINT ACADEMY,AURORA,CO,80019,Preschool,8th Grade,Elementary,8001,Charter School Institute,,
657,T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,FT COLLINS,CO,80525,Kindergarten,8th Grade,Elementary,8001,Charter School Institute,,
660,BEAR CREEK K-8 SCHOOL,LAKEWOOD,CO,80227,Kindergarten,8th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
664,BEAR CREEK HIGH SCHOOL,LAKEWOOD,CO,80227,9th Grade,12th Grade,Senior,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
678,BEATTIE ELEMENTARY SCHOOL,FORT COLLINS,CO,80526,Preschool,5th Grade,Elementary,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
694,BELL MIDDLE SCHOOL,GOLDEN,CO,80401,7th Grade,8th Grade,Middle,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
700,BELLE CREEK CHARTER SCHOOL,HENDERSON,CO,80640,Kindergarten,8th Grade,Elementary,40,BRIGHTON 27J,"1,201 - 6,000",Denver Metro
