school,district_id,district_name,emh,emh_combined,school_id,achievement_dir,growth_dir,overall_dir
AGUILAR ELEMENTARY SCHOOL,1620,AGUILAR REORGANIZED 6,E,False,58,1.0,-1.0,-1.0
MERIDIAN ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,59,0.0,1.0,1.0
LEGACY ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,60,0.0,1.0,1.0
ALPINE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,61,0.0,0.0,0.0
PEAKVIEW SCHOOL,1390,HUERFANO RE-1,E,True,63,-1.0,-1.0,0.0
PEAKVIEW SCHOOL,1390,HUERFANO RE-1,M,True,63,0.0,0.0,0.0
ARCHULETA COUNTY HIGH SCHOOL,220,ARCHULETA COUNTY 50 JT,H,False,64,,,
COAL RIDGE HIGH SCHOOL,1195,GARFIELD RE-2,H,False,65,0.0,1.0,0.0
AGUILAR JUNIOR-SENIOR HIGH SCHOOL,1620,AGUILAR REORGANIZED 6,H,True,66,,,1.0
AGUILAR JUNIOR-SENIOR HIGH SCHOOL,1620,AGUILAR REORGANIZED 6,M,True,66,,,1.0
ACADEMY OF URBAN LEARNING,880,DENVER COUNTY 1,H,False,67,,,0.0
CHALLENGER MIDDLE SCHOOL,1040,ACADEMY 20,M,False,74,0.0,1.0,0.0
ANIMAS HIGH SCHOOL,8001,CHARTER SCHOOL INSTITUTE,H,False,75,0.0,0.0,0.0
AIR ACADEMY HIGH SCHOOL,1040,ACADEMY 20,H,False,76,0.0,0.0,0.0
AKRON ELEMENTARY SCHOOL,3030,AKRON R-1,E,True,86,1.0,1.0,1.0
AKRON ELEMENTARY SCHOOL,3030,AKRON R-1,M,True,86,0.0,0.0,1.0
AKRON HIGH SCHOOL,3030,AKRON R-1,H,False,90,-1.0,0.0,0.0
ALAMEDA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,108,0.0,0.0,0.0
ARVADA K-8,1420,JEFFERSON COUNTY R-1,,False,109,,,
ACADEMY ONLINE HIGH SCHOOL,1040,ACADEMY 20,H,False,110,,,
ORTEGA MIDDLE SCHOOL,100,ALAMOSA RE-11J,M,False,114,0.0,0.0,0.0
ALAMOSA HIGH SCHOOL,100,ALAMOSA RE-11J,H,False,118,0.0,0.0,0.0
ALAMOSA OPEN SCHOOL,100,ALAMOSA RE-11J,H,False,119,,,0.0
ARAPAHOE RIDGE HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,False,125,,,-1.0
EMERSON STREET SCHOOL,880,DENVER COUNTY 1,H,False,133,,,
EMERSON STREET SCHOOL,880,DENVER COUNTY 1,M,False,133,,,
ALICE TERRY ELEMENTARY SCHOOL,123,SHERIDAN 2,,False,138,,,
SKY VISTA MIDDLE SCHOOL,130,CHERRY CREEK 5,M,False,141,0.0,1.0,0.0
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,E,False,146,0.0,0.0,0.0
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,H,False,146,0.0,0.0,0.0
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,M,False,146,0.0,1.0,0.0
ALLENDALE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,148,1.0,1.0,0.0
ALSUP ELEMENTARY SCHOOL,30,ADAMS COUNTY 14,E,False,186,-1.0,-1.0,-1.0
MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,10,MAPLETON 1,H,True,187,1.0,1.0,1.0
MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,10,MAPLETON 1,M,True,187,-1.0,0.0,1.0
ALTA VISTA CHARTER SCHOOL,2660,LAMAR RE-2,E,False,200,0.0,0.0,-1.0
DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK,900,DOUGLAS COUNTY RE 1,H,False,201,,,0.0
SMITH HIGH SCHOOL,1828,VALLEY RE-1,H,False,202,,,0.0
LORRAINE SECONDARY SCHOOL,1000,FOUNTAIN 8,H,False,203,-1.0,-1.0,-1.0
LORRAINE SECONDARY SCHOOL,1000,FOUNTAIN 8,M,False,203,,,
RED CANYON HIGH SCHOOL,910,EAGLE COUNTY RE 50,H,False,205,,,0.0
COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,120,ENGLEWOOD 1,H,False,206,0.0,0.0,0.0
ASPEN VALLEY HIGH SCHOOL,1040,ACADEMY 20,H,False,209,-1.0,-1.0,-1.0
VANTAGE POINT,20,ADAMS 12 FIVE STAR SCHOOLS,H,False,210,0.0,-1.0,-1.0
MAPLETON EARLY COLLEGE HIGH SCHOOL,10,MAPLETON 1,H,False,212,0.0,1.0,1.0
AXL ACADEMY,180,ADAMS-ARAPAHOE 28J,E,False,213,0.0,1.0,1.0
ALTURA ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,214,1.0,1.0,1.0
AMERICAN ACADEMY AT CASTLE PINES CHARTER,900,DOUGLAS COUNTY RE 1,E,False,215,0.0,0.0,0.0
AMERICAN ACADEMY AT CASTLE PINES CHARTER,900,DOUGLAS COUNTY RE 1,M,False,215,0.0,0.0,0.0
APS ONLINE SCHOOL,180,ADAMS-ARAPAHOE 28J,,False,219,,,
AMESSE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,220,0.0,0.0,0.0
WELBY NEW TECHNOLOGY,10,MAPLETON 1,H,False,221,,,
ANIMAS VALLEY ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,False,225,0.0,0.0,0.0
ALTONA MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,M,False,226,0.0,0.0,0.0
ANTELOPE RIDGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,242,0.0,0.0,0.0
COYOTE HILLS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,243,0.0,0.0,0.0
GUADALUPE ELEMENTARY SCHOOL,580,SOUTH CONEJOS RE-10,E,False,248,-1.0,-1.0,-1.0
ANTELOPE TRAILS ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,249,0.0,0.0,-1.0
ANTONITO JUNIOR HIGH SCHOOL,580,SOUTH CONEJOS RE-10,M,False,250,0.0,0.0,-1.0
ANTONITO HIGH SCHOOL,580,SOUTH CONEJOS RE-10,H,False,252,-1.0,-1.0,-1.0
APPLETON ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,262,0.0,0.0,0.0
GLOBAL LEADERSHIP ACADEMY,10,MAPLETON 1,E,True,263,1.0,1.0,1.0
GLOBAL LEADERSHIP ACADEMY,10,MAPLETON 1,H,True,263,0.0,1.0,1.0
GLOBAL LEADERSHIP ACADEMY,10,MAPLETON 1,M,True,263,1.0,1.0,1.0
CIMARRON MIDDLE,900,DOUGLAS COUNTY RE 1,M,False,264,0.0,0.0,1.0
CLEAR SKY ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,False,265,0.0,0.0,0.0
GOLD RUSH ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,False,266,0.0,0.0,0.0
MESA MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,False,267,0.0,1.0,1.0
ACHIEVEK12,1010,COLORADO SPRINGS 11,E,False,269,,,
ACHIEVEK12,1010,COLORADO SPRINGS 11,M,False,269,,,
ARAPAHOE HIGH SCHOOL,140,LITTLETON 6,H,False,298,0.0,0.0,0.0
ARAPAHOE RIDGE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,301,0.0,0.0,0.0
ARICKAREE ELEMENTARY SCHOOL,3040,ARICKAREE R-2,E,False,304,0.0,-1.0,0.0
ARICKAREE UNDIVIDED HIGH SCHOOL,3040,ARICKAREE R-2,H,False,308,,,-1.0
ARICKAREE UNDIVIDED HIGH SCHOOL,3040,ARICKAREE R-2,M,False,308,,,
SKYVIEW ACADEMY HIGH SCHOOL,10,MAPLETON 1,H,False,309,1.0,1.0,1.0
ARKANSAS ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,310,-1.0,0.0,0.0
ARROWHEAD ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,348,0.0,1.0,1.0
ARROWWOOD ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,354,0.0,0.0,-1.0
FRUITA 8/9 SCHOOL,2000,MESA COUNTY VALLEY 51,M,False,361,0.0,0.0,-1.0
RIM ROCK ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,362,0.0,0.0,0.0
PEAR PARK ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,363,0.0,0.0,0.0
ARVADA MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,366,,,
ARVADA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,370,-1.0,0.0,-1.0
ARVADA WEST HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,378,-1.0,0.0,-1.0
ASBURY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,388,0.0,0.0,-1.0
VALDEZ ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,True,408,-1.0,0.0,1.0
VALDEZ ELEMENTARY SCHOOL,880,DENVER COUNTY 1,M,True,408,1.0,1.0,1.0
ASHLEY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,418,1.0,1.0,1.0
ASPEN ELEMENTARY SCHOOL,2640,ASPEN 1,E,False,428,0.0,0.0,0.0
CARBONDALE COMMUNITY CHARTER SCHOOL,1180,ROARING FORK RE-1,E,True,429,-1.0,-1.0,-1.0
CARBONDALE COMMUNITY CHARTER SCHOOL,1180,ROARING FORK RE-1,M,True,429,0.0,0.0,-1.0
ASPEN MIDDLE SCHOOL,2640,ASPEN 1,E,False,430,0.0,1.0,1.0
ASPEN MIDDLE SCHOOL,2640,ASPEN 1,M,False,430,0.0,0.0,0.0
ASPEN HIGH SCHOOL,2640,ASPEN 1,H,False,432,0.0,0.0,0.0
ASPEN CREEK K-8 SCHOOL,480,BOULDER VALLEY RE 2,E,False,441,0.0,0.0,0.0
ASPEN CREEK K-8 SCHOOL,480,BOULDER VALLEY RE 2,M,False,441,0.0,0.0,0.0
ASPEN CROSSING ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,442,1.0,1.0,1.0
AUDUBON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,452,0.0,-1.0,-1.0
AURORA ACADEMY CHARTER SCHOOL,180,ADAMS-ARAPAHOE 28J,E,True,458,0.0,0.0,0.0
AURORA ACADEMY CHARTER SCHOOL,180,ADAMS-ARAPAHOE 28J,M,True,458,0.0,1.0,0.0
AURORA HILLS MIDDLE SCHOOL,180,ADAMS-ARAPAHOE 28J,M,False,464,-1.0,0.0,-1.0
AURORA FRONTIER K-8,180,ADAMS-ARAPAHOE 28J,E,True,465,1.0,-1.0,-1.0
AURORA FRONTIER K-8,180,ADAMS-ARAPAHOE 28J,M,True,465,0.0,0.0,-1.0
ATLAS PREPARATORY SCHOOL,980,HARRISON 2,E,False,469,0.0,0.0,0.0
AVON ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,False,471,1.0,1.0,1.0
AVONDALE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,False,472,0.0,1.0,0.0
ZACH ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,477,0.0,0.0,0.0
BACON ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,490,0.0,0.0,-1.0
BAKER CENTRAL SCHOOL,2405,FORT MORGAN RE-3,E,False,492,0.0,0.0,0.0
BETHKE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,498,0.0,0.0,-1.0
MONTEREY COMMUNITY SCHOOL,10,MAPLETON 1,E,True,501,0.0,-1.0,0.0
MONTEREY COMMUNITY SCHOOL,10,MAPLETON 1,M,True,501,1.0,1.0,0.0
MEADOW COMMUNITY SCHOOL,10,MAPLETON 1,E,True,502,0.0,1.0,1.0
MEADOW COMMUNITY SCHOOL,10,MAPLETON 1,M,True,502,1.0,1.0,1.0
YORK INTERNATIONAL,10,MAPLETON 1,E,True,503,1.0,1.0,0.0
YORK INTERNATIONAL,10,MAPLETON 1,H,True,503,1.0,1.0,0.0
YORK INTERNATIONAL,10,MAPLETON 1,M,True,503,0.0,1.0,0.0
HIGHLAND MONTESSORI SCHOOL,10,MAPLETON 1,E,False,504,0.0,0.0,1.0
ACHIEVE ACADEMY,10,MAPLETON 1,E,True,505,1.0,0.0,1.0
ACHIEVE ACADEMY,10,MAPLETON 1,M,True,505,1.0,1.0,1.0
EXPLORE ELEMENTARY,10,MAPLETON 1,E,False,506,1.0,1.0,1.0
ADVENTURE ELEMENTARY,10,MAPLETON 1,E,False,507,1.0,1.0,1.0
ENRICHMENT ACADEMY,10,MAPLETON 1,E,False,508,,,
CLAYTON PARTNERSHIP SCHOOL,10,MAPLETON 1,E,True,509,1.0,0.0,1.0
CLAYTON PARTNERSHIP SCHOOL,10,MAPLETON 1,M,True,509,-1.0,1.0,1.0
CONRAD BALL MIDDLE SCHOOL,1560,THOMPSON R-2J,M,False,510,0.0,0.0,-1.0
AYRES ELEMENTARY SCHOOL,1828,VALLEY RE-1,,False,515,,,
ACADEMY FOR ADVANCED AND CREATIVE LEARNING,1010,COLORADO SPRINGS 11,,False,517,,,
BARNUM ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,520,-1.0,0.0,1.0
BARRETT ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,540,1.0,1.0,1.0
BANNING LEWIS RANCH ACADEMY,1110,FALCON 49,E,False,555,0.0,0.0,0.0
BANNING LEWIS RANCH ACADEMY,1110,FALCON 49,M,False,555,1.0,1.0,1.0
BASALT ELEMENTARY SCHOOL,1180,ROARING FORK RE-1,E,False,560,1.0,1.0,1.0
BASALT MIDDLE SCHOOL,1180,ROARING FORK RE-1,E,True,561,1.0,1.0,0.0
BASALT MIDDLE SCHOOL,1180,ROARING FORK RE-1,M,True,561,0.0,0.0,0.0
BASALT HIGH SCHOOL,1180,ROARING FORK RE-1,H,False,570,-1.0,0.0,0.0
BATES ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,594,0.0,-1.0,-1.0
BATTLE MOUNTAIN HIGH SCHOOL,910,EAGLE COUNTY RE 50,H,False,604,1.0,0.0,0.0
BATTLE ROCK CHARTER SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,E,False,609,-1.0,-1.0,-1.0
BAUDER ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,612,0.0,1.0,0.0
BAYFIELD ELEMENTARY SCHOOL,1530,BAYFIELD 10 JT-R,E,False,632,0.0,1.0,1.0
BAYFIELD MIDDLE SCHOOL,1530,BAYFIELD 10 JT-R,M,False,636,0.0,0.0,0.0
BAYFIELD HIGH SCHOOL,1530,BAYFIELD 10 JT-R,H,False,640,-1.0,0.0,0.0
BEACH COURT ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,650,1.0,1.0,0.0
BEAR CANYON ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,651,0.0,1.0,0.0
BEAR CREEK ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,652,0.0,0.0,0.0
STONE CREEK SCHOOL,8001,CHARTER SCHOOL INSTITUTE,E,True,653,-1.0,-1.0,-1.0
STONE CREEK SCHOOL,8001,CHARTER SCHOOL INSTITUTE,M,True,653,0.0,0.0,-1.0
THE PINNACLE CHARTER SCHOOL ELEMENTARY,8001,CHARTER SCHOOL INSTITUTE,E,False,654,1.0,1.0,1.0
HIGH POINT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,True,655,0.0,0.0,-1.0
HIGH POINT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,True,655,0.0,-1.0,-1.0
COLORADO DISTANCE & ELECTRONIC LEARNING ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,True,656,,,
COLORADO DISTANCE & ELECTRONIC LEARNING ACADEMY,8001,CHARTER SCHOOL INSTITUTE,H,True,656,,,
COLORADO DISTANCE & ELECTRONIC LEARNING ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,True,656,,,
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,8001,CHARTER SCHOOL INSTITUTE,E,True,657,1.0,0.0,0.0
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,8001,CHARTER SCHOOL INSTITUTE,M,True,657,,,0.0
BEAR CREEK K-8 SCHOOL,1420,JEFFERSON COUNTY R-1,E,True,660,0.0,0.0,0.0
BEAR CREEK K-8 SCHOOL,1420,JEFFERSON COUNTY R-1,M,True,660,0.0,0.0,0.0
BEAR CREEK HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,664,0.0,0.0,0.0
BEATTIE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,678,-1.0,0.0,0.0
BELL MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,694,0.0,0.0,0.0
BELLE CREEK CHARTER SCHOOL,40,BRIGHTON 27J,E,False,700,0.0,0.0,0.0
BELLE CREEK CHARTER SCHOOL,40,BRIGHTON 27J,M,False,700,1.0,1.0,1.0
BELLEVIEW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,714,0.0,0.0,0.0
BELMAR ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,724,0.0,0.0,-1.0
BELMONT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,False,738,0.0,0.0,-1.0
FRANKLIN ELEMENTARY SCHOOL,140,LITTLETON 6,E,False,752,0.0,0.0,0.0
BENJAMIN EATON ELEMENTARY SCHOOL,3085,EATON RE-2,E,False,754,0.0,0.0,0.0
BENJAMIN FRANKLIN ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,False,756,0.0,0.0,1.0
BENNETT ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,766,0.0,1.0,0.0
BENNETT ELEMENTARY SCHOOL,50,BENNETT 29J,E,False,770,0.0,0.0,-1.0
BENNETT MIDDLE SCHOOL,50,BENNETT 29J,M,False,774,0.0,0.0,0.0
BENNETT HIGH SCHOOL,50,BENNETT 29J,H,False,775,0.0,1.0,0.0
BERGEN MEADOW PRIMARY SCHOOL,1420,JEFFERSON COUNTY R-1,,False,776,,,
BERGEN VALLEY INTERMEDIATE SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,779,0.0,-1.0,-1.0
BERRY CREEK MIDDLE SCHOOL,910,EAGLE COUNTY RE 50,M,False,793,1.0,0.0,1.0
BERTHOUD ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,False,808,0.0,-1.0,-1.0
BERTHOUD HIGH SCHOOL,1560,THOMPSON R-2J,H,False,812,1.0,1.0,0.0
BESSEMER ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,False,822,-1.0,-1.0,-1.0
BESSEMER ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,M,False,822,-1.0,0.0,-1.0
BETHUNE ELEMENTARY SCHOOL,1490,BETHUNE R-5,E,False,832,-1.0,0.0,1.0
BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1490,BETHUNE R-5,H,False,842,-1.0,-1.0,1.0
BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1490,BETHUNE R-5,M,False,842,-1.0,0.0,0.0
BEULAH ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,False,852,0.0,-1.0,-1.0
BEULAH MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,False,856,-1.0,-1.0,-1.0
BEULAH HEIGHTS ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,False,860,-1.0,-1.0,-1.0
B F KITCHEN ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,False,865,0.0,0.0,-1.0
BIG THOMPSON ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,False,870,0.0,0.0,-1.0
THE BIJOU SCHOOL,1010,COLORADO SPRINGS 11,H,False,871,,,-1.0
BIRCH ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,872,-1.0,0.0,0.0
BLACK ROCK ELEMENTARY,470,ST VRAIN VALLEY RE 1J,E,False,875,0.0,1.0,0.0
BLUE MOUNTAIN ELEMENTARY,470,ST VRAIN VALLEY RE 1J,E,False,878,0.0,0.0,0.0
MARY BLAIR ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,False,890,0.0,0.0,-1.0
BLEVINS MIDDLE SCHOOL,1550,POUDRE R-1,M,False,892,1.0,0.0,0.0
BOLTZ MIDDLE SCHOOL,1550,POUDRE R-1,M,False,898,0.0,0.0,0.0
BOOKCLIFF MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,False,900,1.0,1.0,1.0
BOSTON K-8 SCHOOL,180,ADAMS-ARAPAHOE 28J,E,True,914,0.0,0.0,0.0
BOSTON K-8 SCHOOL,180,ADAMS-ARAPAHOE 28J,M,True,914,0.0,0.0,0.0
BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,480,BOULDER VALLEY RE 2,E,False,919,0.0,0.0,-1.0
BOULDER HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,False,924,0.0,0.0,0.0
BOULDER UNIVERSAL,480,BOULDER VALLEY RE 2,,False,930,,,
BOULDER PREP CHARTER HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,False,934,,,0.0
BOYD ELEMENTARY SCHOOL,100,ALAMOSA RE-11J,E,False,944,1.0,,0.0
BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,E,False,948,1.0,0.0,1.0
BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,H,False,948,0.0,0.0,0.0
BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,M,False,948,0.0,0.0,-1.0
BRADFORD PRIMARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,950,-1.0,,-1.0
BLUE HERON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,951,0.0,0.0,-1.0
BRADFORD INTERMEDIATE SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,952,0.0,0.0,0.0
BRADFORD ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,False,954,0.0,-1.0,-1.0
BRADLEY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,964,0.0,0.0,1.0
BRADY EXPLORATION SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,965,-1.0,1.0,1.0
BRANSON ELEMENTARY SCHOOL,1750,BRANSON REORGANIZED 82,E,False,974,,,
BRANSON UNDIVIDED HIGH SCHOOL,1750,BRANSON REORGANIZED 82,H,False,978,,,0.0
BRANSON SCHOOL ONLINE GED PREP,1750,BRANSON REORGANIZED 82,H,False,979,,,0.0
BRENTWOOD MIDDLE SCHOOL,3120,GREELEY 6,M,False,988,0.0,0.0,0.0
BRICKER ELEMENTARY SCHOOL,980,HARRISON 2,E,False,1000,1.0,1.0,1.0
