school,school_id,pct_remediation,year
MANITOU SPRINGS HIGH SCHOOL,5468,0.152542,2010
THORNTON HIGH SCHOOL,5816,0.433566,2010
MESA RIDGE HIGH SCHOOL,5841,0.417476,2010
MIDDLE PARK HIGH SCHOOL,5864,0.2,2010
MITCHELL HIGH SCHOOL,5948,0.423077,2010
MOFFAT COUNTY HIGH SCHOOL,5962,0.372549,2010
MONTBELLO HIGH SCHOOL,5995,0.717647,2010
MONARCH HIGH SCHOOL,5999,0.13253,2010
MONTEZUMA-CORTEZ HIGH SCHOOL,6026,0.509804,2010
MONTE VISTA SENIOR HIGH SCHOOL,6046,,2010
MONTROSE HIGH SCHOOL,6058,0.322314,2010
FRUITA MONUMENT HIGH SCHOOL,6070,0.316832,2010
MOUNTAIN VIEW HIGH SCHOOL,6163,0.40367,2010
MOUNTAIN VISTA HIGH SCHOOL,6165,0.253425,2010
NEDERLAND MIDDLE-SENIOR HIGH S,6212,,2010
NIWOT HIGH SCHOOL,6276,0.176829,2010
NORTH HIGH SCHOOL,6314,0.721311,2010
NORTHRIDGE HIGH SCHOOL,6364,0.464646,2010
NORTHGLENN HIGH SCHOOL,6402,0.390625,2010
OLATHE HIGH SCHOOL,6494,0.307692,2010
OVERLAND HIGH SCHOOL,6625,0.470899,2010
PAGOSA SPRINGS HIGH SCHOOL,6658,0.473684,2010
PALISADE HIGH SCHOOL,6666,0.352941,2010
PALMER HIGH SCHOOL,6680,0.22549,2010
PAONIA HIGH SCHOOL,6708,,2010
PEAK TO PEAK CHARTER SCHOOL,6816,0.114286,2010
PEYTON HIGH SCHOOL,6902,0.470588,2010
PINNACLE CHARTER SCHOOL,6914,0.105263,2010
PINE CREEK HIGH SCHOOL,6937,0.187166,2010
PLATTE CANYON HIGH SCHOOL,7046,0.25,2010
POMONA HIGH SCHOOL,7114,0.289855,2010
PONDEROSA HIGH SCHOOL,7118,0.196154,2010
POUDRE HIGH SCHOOL,7124,0.244541,2010
PUEBLO COUNTY HIGH SCHOOL,7208,0.481482,2010
PUEBLO WEST HIGH SCHOOL,7214,0.391304,2010
RALSTON VALLEY SENIOR HIGH SCH,7239,0.203319,2010
RAMPART HIGH SCHOOL,7240,0.149038,2010
RANGEVIEW HIGH SCHOOL,7250,0.447059,2010
RANGELY HIGH SCHOOL,7276,,2010
RIFLE HIGH SCHOOL,7360,0.52381,2010
ROARING FORK HIGH SCHOOL,7422,0.166667,2010
ROCKY FORD HIGH SCHOOL,7442,,2010
ROCKY MOUNTAIN HIGH SCHOOL,7470,0.25,2010
ROOSEVELT HIGH SCHOOL,7490,0.428571,2010
RYE HIGH SCHOOL,7534,,2010
SALIDA HIGH SCHOOL,7568,0.225806,2010
SAND CREEK HIGH SCHOOL,7613,0.333333,2010
SANFORD JUNIOR/SENIOR HIGH SCH,7616,,2010
SILVER CREEK SCHOOL,7789,0.277228,2010
SHERIDAN HIGH SCHOOL,7842,,2010
SIERRA HIGH SCHOOL,7882,0.580247,2010
SKYLINE HIGH SCHOOL,7954,0.40708,2010
SMOKY HILL HIGH SCHOOL,8020,0.284553,2010
SOUTH HIGH SCHOOL,8082,0.448052,2010
SOUTH HIGH SCHOOL,8086,0.6875,2010
STANDLEY LAKE HIGH SCHOOL,8209,0.315556,2010
STEAMBOAT SPRINGS HIGH SCHOOL,8212,0.262295,2010
STERLING HIGH SCHOOL,8260,0.193548,2010
STRASBURG HIGH SCHOOL,8334,0.433333,2010
SUMMIT HIGH SCHOOL,8378,0.204819,2010
SWINK JUNIOR-SENIOR HIGH SCHOO,8456,,2010
THOMAS JEFFERSON HIGH SCHOOL,8822,0.572581,2010
THOMPSON VALLEY HIGH SCHOOL,8824,0.313725,2010
THUNDERRIDGE HIGH SCHOOL,8847,0.200935,2010
TRINIDAD HIGH SCHOOL,8906,,2010
VALLEY HIGH SCHOOL,9032,0.6,2010
JOHN MALL HIGH SCHOOL,9212,,2010
WASSON HIGH SCHOOL,9298,0.426966,2010
WEST HIGH SCHOOL,9408,0.906977,2010
WESTMINSTER HIGH SCHOOL,9466,0.514286,2010
WHEAT RIDGE HIGH SCHOOL,9510,0.258993,2010
WIDEFIELD HIGH SCHOOL,9566,0.37931,2010
WIGGINS JUNIOR-SENIOR HIGH SCH,9582,,2010
WINDSOR HIGH SCHOOL,9672,0.333333,2010
WOODLAND PARK HIGH SCHOOL,9696,0.235294,2010
YUMA HIGH SCHOOL,9799,,2010
ABRAHAM LINCOLN HIGH SCHOOL,10,0.785714,2011
ACADEMY OF CHARTER SCHOOLS,15,,2011
ADAMS CITY HIGH SCHOOL,24,0.569231,2011
MC LAIN HIGH SCHOOL,33,0.545455,2011
AIR ACADEMY HIGH SCHOOL,76,0.147368,2011
AKRON HIGH SCHOOL,90,,2011
ALAMEDA HIGH SCHOOL,108,0.5,2011
ALAMOSA HIGH SCHOOL,118,0.483333,2011
ARAPAHOE HIGH SCHOOL,298,0.166667,2011
SKYVIEW HIGH SCHOOL,309,,2011
ARVADA HIGH SCHOOL,370,0.566038,2011
ARVADA WEST HIGH SCHOOL,378,0.327189,2011
ASPEN HIGH SCHOOL,432,0.204545,2011
BASALT HIGH SCHOOL,570,0.327273,2011
BATTLE MOUNTAIN HIGH SCHOOL,604,0.328358,2011
BAYFIELD HIGH SCHOOL,640,0.309524,2011
BEAR CREEK HIGH SCHOOL,664,0.222222,2011
BERTHOUD HIGH SCHOOL,812,0.211765,2011
BOULDER HIGH SCHOOL,924,0.162679,2011
BRIGHTON HIGH SCHOOL,1022,0.472,2011
BROOMFIELD HIGH SCHOOL,1070,0.25,2011
BRUSH HIGH SCHOOL,1096,0.294118,2011
BUENA VISTA HIGH SCHOOL,1130,0.340909,2011
CANON CITY HIGH SCHOOL,1266,0.337079,2011
CEDAREDGE HIGH SCHOOL,1372,0.366667,2011
CENTAURI HIGH SCHOOL,1378,,2011
CENTAURUS HIGH SCHOOL,1380,0.252336,2011
CENTENNIAL HIGH SCHOOL,1402,0.422018,2011
WELD CENTRAL SENIOR HIGH SCHOO,1446,0.487805,2011
CENTRAL HIGH SCHOOL,1450,0.416667,2011
CENTRAL HIGH SCHOOL,1454,0.648352,2011
AURORA CENTRAL HIGH SCHOOL,1458,0.753623,2011
CHAPARRAL HIGH SCHOOL,1503,0.221818,2011
CHATFIELD HIGH SCHOOL,1522,0.240678,2011
CHERRY CREEK HIGH SCHOOL,1570,0.128395,2011
CHEYENNE MOUNTAIN HIGH SCHOOL,1590,0.145078,2011
THE CLASSICAL ACADEMY CHARTER,1627,0.071429,2011
COLUMBINE HIGH SCHOOL,1864,0.274131,2011
CORONADO HIGH SCHOOL,1870,0.227848,2011
CONIFER SENIOR HIGH SCHOOL,1886,0.146552,2011
DAKOTA RIDGE SENIOR HIGH SCHOO,2093,0.206573,2011
D'EVELYN SENIOR HIGH SCHOOL,2120,0.0,2011
DEL NORTE HIGH SCHOOL,2150,,2011
DELTA HIGH SCHOOL,2164,0.404255,2011
DENVER SCHOOL OF THE ARTS,2184,0.190476,2011
DOHERTY HIGH SCHOOL,2202,0.271111,2011
DOUGLAS COUNTY HIGH SCHOOL,2230,0.191667,2011
DURANGO HIGH SCHOOL,2318,0.283688,2011
EAGLE VALLEY HIGH SCHOOL,2350,0.409836,2011
EAGLECREST HIGH SCHOOL,2357,0.34717,2011
EAST HIGH SCHOOL,2394,0.58,2011
EAST HIGH SCHOOL,2398,0.385366,2011
EATON HIGH SCHOOL,2456,0.307692,2011
ELIZABETH HIGH SCHOOL,2608,0.371429,2011
ENGLEWOOD HIGH SCHOOL,2746,0.42029,2011
ERIE MIDDLE/SENIOR HIGH SCHOOL,2761,0.426829,2011
ESTES PARK HIGH SCHOOL,2794,0.153846,2011
EVERGREEN HIGH SCHOOL,2836,0.145695,2011
UNIVERSITY SCHOOLS,2850,0.438597,2011
FAIRVIEW HIGH SCHOOL,2892,0.110132,2011
FALCON HIGH SCHOOL,2908,0.29661,2011
FLORENCE HIGH SCHOOL,3002,0.545455,2011
FORT COLLINS HIGH SCHOOL,3046,0.254237,2011
FORT LUPTON HIGH SCHOOL,3070,0.59375,2011
FORT MORGAN HIGH SCHOOL,3078,0.395349,2011
FOUNTAIN-FORT CARSON HIGH SCHO,3110,0.375839,2011
FREDERICK SENIOR HIGH SCHOOL,3196,0.419355,2011
GATEWAY HIGH SCHOOL,3354,0.615385,2011
GEORGE WASHINGTON HIGH SCHOOL,3378,0.6,2011
GLENWOOD SPRINGS HIGH SCHOOL,3468,0.298507,2011
GOLDEN HIGH SCHOOL,3502,0.253333,2011
GRAND JUNCTION HIGH SCHOOL,3570,0.319018,2011
GRANDVIEW HIGH SCHOOL,3589,0.25,2011
GREELEY CENTRAL HIGH SCHOOL,3610,0.45679,2011
GREELEY WEST HIGH SCHOOL,3614,0.409449,2011
GREEN MOUNTAIN HIGH SCHOOL,3628,0.20202,2011
GUNNISON HIGH SCHOOL,3694,0.26087,2011
HARRISON HIGH SCHOOL,3806,0.555556,2011
HERITAGE HIGH SCHOOL,3930,0.190789,2011
HIGHLANDS RANCH HIGH SCHOOL,3980,0.181034,2011
HINKLEY HIGH SCHOOL,4024,0.522936,2011
HORIZON HIGH SCHOOL,4108,0.386667,2011
HOTCHKISS HIGH SCHOOL,4128,0.344828,2011
CLEAR CREEK HIGH SCHOOL,4216,0.30303,2011
IVER C. RANUM HIGH SCHOOL,4326,0.45679,2011
JAMES IRWIN CHARTER HIGH SCHOO,4378,,2011
JEFFERSON CHARTER ACADEMY SENI,4410,0.310345,2011
JEFFERSON HIGH SCHOOL,4425,0.621622,2011
JOHN F KENNEDY HIGH SCHOOL,4444,0.627119,2011
PLATTE VALLEY HIGH SCHOOL,4670,0.521739,2011
LA JUNTA HIGH SCHOOL,4844,0.25,2011
LAKEWOOD HIGH SCHOOL,4942,0.194313,2011
LAMAR HIGH SCHOOL,4960,0.34375,2011
LEGACY HIGH SCHOOL,5043,0.23506,2011
LEWIS-PALMER HIGH SCHOOL,5100,0.109756,2011
LIBERTY HIGH SCHOOL,5126,0.253012,2011
LIMON JUNIOR-SENIOR HIGH SCHOO,5136,,2011
LITTLETON HIGH SCHOOL,5224,0.289017,2011
LONGMONT HIGH SCHOOL,5282,0.30625,2011
LOVELAND HIGH SCHOOL,5316,0.3,2011
LYONS MIDDLE/SENIOR HIGH SCHOO,5368,,2011
MANITOU SPRINGS HIGH SCHOOL,5468,0.152542,2011
THORNTON HIGH SCHOOL,5816,0.433566,2011
MESA RIDGE HIGH SCHOOL,5841,0.417476,2011
MIDDLE PARK HIGH SCHOOL,5864,0.2,2011
MITCHELL HIGH SCHOOL,5948,0.423077,2011
MOFFAT COUNTY HIGH SCHOOL,5962,0.372549,2011
MONTBELLO HIGH SCHOOL,5995,0.717647,2011
MONARCH HIGH SCHOOL,5999,0.13253,2011
MONTEZUMA-CORTEZ HIGH SCHOOL,6026,0.509804,2011
MONTE VISTA SENIOR HIGH SCHOOL,6046,,2011
MONTROSE HIGH SCHOOL,6058,0.322314,2011
FRUITA MONUMENT HIGH SCHOOL,6070,0.316832,2011
MOUNTAIN VIEW HIGH SCHOOL,6163,0.40367,2011
MOUNTAIN VISTA HIGH SCHOOL,6165,0.253425,2011
NEDERLAND MIDDLE-SENIOR HIGH S,6212,,2011
NIWOT HIGH SCHOOL,6276,0.176829,2011
NORTH HIGH SCHOOL,6314,0.721311,2011
NORTHRIDGE HIGH SCHOOL,6364,0.464646,2011
NORTHGLENN HIGH SCHOOL,6402,0.390625,2011
OLATHE HIGH SCHOOL,6494,0.307692,2011
OVERLAND HIGH SCHOOL,6625,0.470899,2011
PAGOSA SPRINGS HIGH SCHOOL,6658,0.473684,2011
PALISADE HIGH SCHOOL,6666,0.352941,2011
PALMER HIGH SCHOOL,6680,0.22549,2011
PAONIA HIGH SCHOOL,6708,,2011
PEAK TO PEAK CHARTER SCHOOL,6816,0.114286,2011
PEYTON HIGH SCHOOL,6902,0.470588,2011
PINNACLE CHARTER SCHOOL,6914,0.105263,2011
PINE CREEK HIGH SCHOOL,6937,0.187166,2011
PLATTE CANYON HIGH SCHOOL,7046,0.25,2011
POMONA HIGH SCHOOL,7114,0.289855,2011
PONDEROSA HIGH SCHOOL,7118,0.196154,2011
POUDRE HIGH SCHOOL,7124,0.244541,2011
PUEBLO COUNTY HIGH SCHOOL,7208,0.481482,2011
PUEBLO WEST HIGH SCHOOL,7214,0.391304,2011
RALSTON VALLEY SENIOR HIGH SCH,7239,0.203319,2011
RAMPART HIGH SCHOOL,7240,0.149038,2011
RANGEVIEW HIGH SCHOOL,7250,0.447059,2011
RANGELY HIGH SCHOOL,7276,,2011
RIFLE HIGH SCHOOL,7360,0.52381,2011
ROARING FORK HIGH SCHOOL,7422,0.166667,2011
ROCKY FORD HIGH SCHOOL,7442,,2011
ROCKY MOUNTAIN HIGH SCHOOL,7470,0.25,2011
ROOSEVELT HIGH SCHOOL,7490,0.428571,2011
RYE HIGH SCHOOL,7534,,2011
SALIDA HIGH SCHOOL,7568,0.225806,2011
SAND CREEK HIGH SCHOOL,7613,0.333333,2011
SANFORD JUNIOR/SENIOR HIGH SCH,7616,,2011
SILVER CREEK SCHOOL,7789,0.277228,2011
SHERIDAN HIGH SCHOOL,7842,,2011
SIERRA HIGH SCHOOL,7882,0.580247,2011
SKYLINE HIGH SCHOOL,7954,0.40708,2011
SMOKY HILL HIGH SCHOOL,8020,0.284553,2011
SOUTH HIGH SCHOOL,8082,0.448052,2011
SOUTH HIGH SCHOOL,8086,0.6875,2011
STANDLEY LAKE HIGH SCHOOL,8209,0.315556,2011
STEAMBOAT SPRINGS HIGH SCHOOL,8212,0.262295,2011
STERLING HIGH SCHOOL,8260,0.193548,2011
STRASBURG HIGH SCHOOL,8334,0.433333,2011
SUMMIT HIGH SCHOOL,8378,0.204819,2011
SWINK JUNIOR-SENIOR HIGH SCHOO,8456,,2011
THOMAS JEFFERSON HIGH SCHOOL,8822,0.572581,2011
THOMPSON VALLEY HIGH SCHOOL,8824,0.313725,2011
THUNDERRIDGE HIGH SCHOOL,8847,0.200935,2011
TRINIDAD HIGH SCHOOL,8906,,2011
VALLEY HIGH SCHOOL,9032,0.6,2011
JOHN MALL HIGH SCHOOL,9212,,2011
WASSON HIGH SCHOOL,9298,0.426966,2011
WEST HIGH SCHOOL,9408,0.906977,2011
WESTMINSTER HIGH SCHOOL,9466,0.514286,2011
WHEAT RIDGE HIGH SCHOOL,9510,0.258993,2011
WIDEFIELD HIGH SCHOOL,9566,0.37931,2011
WIGGINS JUNIOR-SENIOR HIGH SCH,9582,,2011
WINDSOR HIGH SCHOOL,9672,0.333333,2011
WOODLAND PARK HIGH SCHOOL,9696,0.235294,2011
YUMA HIGH SCHOOL,9799,,2011
ABRAHAM LINCOLN HIGH SCHOOL,10,0.78,2012
ADAMS CITY HIGH SCHOOL,24,0.72,2012
MCLAIN COMMUNITY HS,34,0.71,2012
COAL RIDGE HIGH SCHOOL,65,0.5,2012
AIR ACADEMY HIGH SCHOOL,76,0.24,2012
ALAMEDA HIGH SCHOOL,108,0.67,2012
ALAMOSA HIGH SCHOOL,118,0.46,2012
ARAPAHOE HIGH SCHOOL,298,0.22,2012
ARVADA SENIOR HIGH SCHOOL,370,0.56,2012
ARVADA WEST HIGH SCHOOL,378,0.28,2012
ASPEN HIGH SCHOOL,432,0.13,2012
BASALT HIGH SCHOOL,570,0.29,2012
BATTLE MOUNTAIN HIGH SCHOOL,604,0.3,2012
BAYFIELD HIGH SCHOOL,640,0.38,2012
BEAR CREEK HIGH SCHOOL,664,0.34,2012
BENNETT SENIOR HIGH SCHOOL,775,0.31,2012
BERTHOUD HIGH SCHOOL,812,0.27,2012
BOULDER HIGH SCHOOL,924,0.2,2012
BRIGHTON HIGH SCHOOL,1022,0.45,2012
BROOMFIELD HIGH SCHOOL,1070,0.29,2012
BRUSH HIGH SCHOOL,1096,0.45,2012
BUENA VISTA HIGH SCHOOL,1130,0.37,2012
CANON CITY SENIOR HIGH SCHOOL,1266,0.38,2012
CASTLE VIEW HIGH SCHOOL,1367,0.31,2012
CEDAREDGE HIGH SCHOOL,1372,0.37,2012
CENTAURI HIGH SCHOOL,1378,0.68,2012
CENTAURUS HIGH SCHOOL,1380,0.3,2012
CENTENNIAL HIGH SCHOOL,1402,0.54,2012
WELD CENTRAL HIGH SCHOOL,1446,0.35,2012
CENTRAL HIGH SCHOOL,1450,0.48,2012
CENTRAL HIGH SCHOOL,1454,0.62,2012
AURORA CENTRAL HIGH SCHOOL,1458,0.74,2012
CHAPARRAL HIGH SCHOOL,1503,0.23,2012
CHATFIELD SENIOR HIGH SCHOOL,1522,0.24,2012
CHEROKEE TRAIL HIGH SCHOOL,1551,0.31,2012
CHERRY CREEK HIGH SCHOOL,1570,0.15,2012
CHEYENNE MOUNTAIN HIGH SCHOOL,1590,0.16,2012
CLASSICAL ACADEMY (TCA),1630,0.06,2012
COLUMBINE HIGH SCHOOL,1864,0.29,2012
CORONADO HIGH SCHOOL,1870,0.24,2012
CONIFER HIGH SCHOOL,1886,0.27,2012
DAKOTA RIDGE HIGH SCHOOL,2093,0.17,2012
D'EVELYN JUNIOR-SENIOR HS,2120,0.01,2012
DELTA SENIOR HIGH SCHOOL,2164,0.43,2012
DENVER SCHOOL OF THE ARTS,2184,0.34,2012
DENVER SCH OF SCIENCE & TECH,2185,0.11,2012
THOMAS B DOHERTY HIGH SCHOOL,2202,0.34,2012
DOUGLAS COUNTY HIGH SCHOOL,2230,0.26,2012
DURANGO HIGH SCHOOL,2318,0.32,2012
EAGLE VALLEY HIGH SCHOOL,2350,0.33,2012
EAGLECREST HIGH SCHOOL,2357,0.31,2012
PUEBLO EAST HIGH SCHOOL,2394,0.6,2012
EAST HIGH SCHOOL,2398,0.49,2012
EATON HIGH SCHOOL,2456,0.4,2012
ELIZABETH HIGH SCHOOL,2608,0.4,2012
ENGLEWOOD HIGH SCHOOL,2746,0.44,2012
ERIE MIDDLE-SENIOR HIGH SCHOOL,2761,0.35,2012
ESTES PARK HIGH SCHOOL,2794,0.29,2012
EVERGREEN SENIOR HIGH SCHOOL,2836,0.22,2012
UNIVERSITY HIGH SCHOOL,2850,0.32,2012
FAIRVIEW HIGH SCHOOL,2892,0.1,2012
FALCON HIGH SCHOOL,2908,0.49,2012
FLORENCE HIGH SCHOOL,3002,0.48,2012
FORT COLLINS HIGH SCHOOL,3046,0.29,2012
FORT LUPTON HIGH SCHOOL,3070,0.67,2012
FORT MORGAN HIGH SCHOOL,3078,0.49,2012
FOSSIL RIDGE HIGH SCHOOL,3105,0.18,2012
FOUNTAIN-FORT CARSON HIGH SCH,3110,0.57,2012
FREDERICK HIGH SCHOOL,3196,0.48,2012
GATEWAY HIGH SCHOOL,3354,0.61,2012
GEORGE WASHINGTON HIGH SCHOOL,3378,0.51,2012
GLENWOOD SPRINGS HIGH SCHOOL,3468,0.34,2012
GOLDEN SENIOR HIGH SCHOOL,3502,0.22,2012
GRAND JUNCTION HIGH SCHOOL,3570,0.34,2012
GRAND VALLEY HIGH SCHOOL,3586,0.58,2012
GRANDVIEW HIGH SCHOOL,3589,0.22,2012
GREELEY CENTRAL HIGH SCHOOL,3610,0.43,2012
GREELEY WEST SR HIGH SCHOOL,3614,0.45,2012
GREEN MOUNTAIN HIGH SCHOOL,3628,0.28,2012
GUNNISON HIGH SCHOOL,3694,0.26,2012
HARRISON HIGH SCHOOL,3806,0.75,2012
HERITAGE HIGH SCHOOL,3930,0.26,2012
HIGHLAND HIGH SCHOOL,3962,0.79,2012
HIGHLANDS RANCH HIGH SCHOOL,3980,0.24,2012
WILLIAM C HINKLEY HIGH SCHOOL,4024,0.61,2012
HORIZON HIGH SCHOOL,4108,0.38,2012
HOTCHKISS HIGH SCHOOL,4128,0.35,2012
IVER C RANUM HIGH SCHOOL,4326,0.48,2012
JAMES IRWIN CHARTER HIGH SCH,4378,0.07,2012
JEFFERSON HIGH SCHOOL,4422,0.74,2012
JOHN F KENNEDY HIGH SCHOOL,4444,0.58,2012
PLATTE VALLEY HIGH SCHOOL,4670,0.46,2012
LAKEWOOD HIGH SCHOOL,4942,0.3,2012
LAMAR HIGH SCHOOL,4960,0.46,2012
LA JUNTA HIGH SCHOOL,5015,0.31,2012
LEGACY HIGH SCHOOL,5043,0.27,2012
LEWIS PALMER HIGH SCHOOL,5100,0.13,2012
LIBERTY HIGH SCHOOL,5126,0.29,2012
LITTLETON HIGH SCHOOL,5224,0.34,2012
LONGMONT HIGH SCHOOL,5282,0.29,2012
LOVELAND HIGH SCHOOL,5316,0.22,2012
LYONS MD-SR HIGH SCHOOL,5368,0.19,2012
MANITOU SPRINGS HIGH SCHOOL,5468,0.24,2012
MARTIN L KING JR EARLY COLL HS,5605,0.58,2012
THORNTON HIGH SCHOOL,5816,0.52,2012
MESA RIDGE HIGH SCHOOL,5841,0.55,2012
MIDDLE PARK HIGH SCHOOL,5864,0.2,2012
WILLIAM MITCHELL HIGH SCHOOL,5948,0.55,2012
MOFFAT COUNTY HIGH SCHOOL,5962,0.39,2012
MONTBELLO HIGH SCHOOL,5995,0.8,2012
MONARCH HIGH SCHOOL,5999,0.22,2012
MONTEZUMA-CORTEZ HIGH SCHOOL,6026,0.59,2012
MONTE VISTA SENIOR HIGH SCHOOL,6046,0.46,2012
MONTROSE HIGH SCHOOL,6058,0.33,2012
MOUNTAIN RANGE HIGH SCHOOL,6060,0.37,2012
FRUITA MONUMENT HIGH SCHOOL,6070,0.34,2012
MOUNTAIN VIEW HIGH SCHOOL,6163,0.33,2012
MOUNTAIN VISTA HIGH SCHOOL,6165,0.15,2012
NIWOT HIGH SCHOOL,6276,0.22,2012
NORTH HIGH SCHOOL,6314,0.73,2012
NORTHRIDGE HIGH SCHOOL,6364,0.48,2012
NORTHGLENN HIGH SCHOOL,6402,0.5,2012
