district_id,school_id,school,city,state,zipcode,year,lowestgrade,unnamed: 8,school type,district_name,district size,district setting,developed: 11-5-12
220,64,Archuleta County High School,Pagosa Springs,CO,81147,2010,,,,,,,
1195,65,Coal Ridge High School,New Castle,CO,81647,2010,,,,,,,
1620,66,Aguilar Junior-Senior High School,Aguilar,CO,81020,2010,,,,,,,
880,67,Academy Of Urban Learning,Denver,CO,80218,2010,,,,,,,
20,70,Adams12 Five Star Preschool,Thornton,CO,80241,2010,,,,,,,
1040,74,Challenger Middle School,Colorado Springs,CO,80920,2010,,,,,,,
8001,75,Animas High School,Durango,CO,81320,2010,,,,,,,
1040,76,Air Academy High School,Usaf Academy,CO,80840,2010,,,,,,,
3030,86,Akron Elementary School,Akron,CO,80720,2010,,,,,,,
3030,90,Akron High School,Akron,CO,80720,2010,,,,,,,
1420,108,Alameda High School,Lakewood,CO,80232,2010,,,,,,,
1420,109,Arvada K-8,Arvada,CO,80002,2010,,,,,,,
1040,110,Academy Online High School,Colorado Springs,CO,80920,2010,,,,,,,
100,114,Ortega Middle School,Alamosa,CO,81101,2010,,,,,,,
100,115,Alamosa Elementary School,Alamosa,CO,81101,2010,,,,,,,
100,118,Alamosa High School,Alamosa,CO,81101,2010,,,,,,,
100,119,Alamosa Open School,Alamosa,CO,81101,2010,,,,,,,
30,124,Stars Early Learning Center,Commerce City,CO,80022,2010,,,,,,,
480,125,Arapahoe Ridge High School,Boulder,CO,80303,2010,,,,,,,
123,138,Alice Terry Elementary School,Englewood,CO,80150,2010,,,,,,,
130,141,Sky Vista Middle School,Aurora,CO,80015,2010,,,,,,,
1550,146,Ridgeview Classical Charter Schools,Fort Collins,CO,80525,2010,,,,,,,
1420,148,Allendale Elementary School,Arvada,CO,80004,2010,,,,,,,
30,186,Alsup Elementary School,Commerce City,CO,80022,2010,,,,,,,
10,187,Mapleton Expeditionary School Of The Arts,Thornton,CO,80299,2010,,,,,,,
2660,200,Alta Vista Charter School,Lamar,CO,81052,2010,,,,,,,
900,201,Daniel C Oakes High School--Castle Rock,Castle Rock,CO,80104,2010,,,,,,,
1828,202,Smith High School,Sterling,CO,80751,2010,,,,,,,
1000,203,Lorraine Secondary School,Fountain,CO,80817,2010,,,,,,,
910,205,Red Canyon High School,Edwards,CO,81631,2010,,,,,,,
120,206,Colorado's Finest Alternative High School,Englewood,CO,80110,2010,,,,,,,
1040,209,Aspen Valley High School,Colorado Springs,CO,80920,2010,,,,,,,
20,210,Vantage Point,Northglenn,CO,80234,2010,,,,,,,
10,212,Mapleton Early College High School,Denver,CO,80229,2010,,,,,,,
180,213,Axl Academy,Aurora,CO,80012,2010,,,,,,,
180,214,Altura Elementary School,Aurora,CO,80011,2010,,,,,,,
900,215,American Academy At Castle Pines Charter,Lone Tree,CO,80124,2010,,,,,,,
180,219,Aps Online School,Aurora,CO,80010,2010,,,,,,,
880,220,Amesse Elementary School,Denver,CO,80239,2010,,,,,,,
1520,225,Animas Valley Elementary School,Durango,CO,81301,2010,,,,,,,
470,226,Altona Middle School,Longmont,CO,80503,2010,,,,,,,
130,242,Antelope Ridge Elementary School,Aurora,CO,80015,2010,,,,,,,
130,243,Coyote Hills Elementary School,Aurora,CO,80016,2010,,,,,,,
580,248,Guadalupe Elementary School,Antonito,CO,81120,2010,,,,,,,
1040,249,Antelope Trails Elementary School,Colorado Springs,CO,80921,2010,,,,,,,
580,250,Antonito Junior High School,Antonito,CO,81120,2010,,,,,,,
580,252,Antonito High School,Antonito,CO,81120,2010,,,,,,,
2000,262,Appleton Elementary School,Grand Junction,CO,81505,2010,,,,,,,
10,263,Global Leadership Academy,Denver,CO,80221,2010,,,,,,,
900,264,Cimarron Middle,Parker,CO,80134,2010,,,,,,,
900,265,Clear Sky Elementary,Castle Rock,CO,80109,2010,,,,,,,
900,266,Gold Rush Elementary,Parker,CO,80134,2010,,,,,,,
900,267,Mesa Middle School,Castle Rock,CO,80104,2010,,,,,,,
1010,269,Achievek12,Colorado Springs,CO,80915,2010,,,,,,,
140,298,Arapahoe High School,Centennial,CO,80122,2010,,,,,,,
20,301,Arapahoe Ridge Elementary School,Westminster,CO,80030,2010,,,,,,,
3040,304,Arickaree Elementary School,Anton,CO,80801,2010,,,,,,,
3040,308,Arickaree Undivided High School,Anton,CO,80801,2010,,,,,,,
10,309,Skyview Academy High School,Thornton,CO,80229,2010,,,,,,,
180,310,Arkansas Elementary School,Aurora,CO,80017,2010,,,,,,,
130,348,Arrowhead Elementary School,Aurora,CO,80013,2010,,,,,,,
900,354,Arrowwood Elementary School,Highlands Ranch,CO,80130,2010,,,,,,,
2000,361,Fruita 8/9 School,Fruita,CO,81521,2010,,,,,,,
2000,362,Rim Rock Elementary School,Fruita,CO,81521,2010,,,,,,,
2000,363,Pear Park Elementary School,Grand Junction,CO,81504,2010,,,,,,,
1420,370,Arvada High School,Arvada,CO,80004,2010,,,,,,,
1420,378,Arvada West High School,Arvada,CO,80004,2010,,,,,,,
880,388,Asbury Elementary School,Denver,CO,80210,2010,,,,,,,
880,408,Valdez Elementary School,Denver,CO,80211,2010,,,,,,,
880,418,Ashley Elementary School,Denver,CO,80220,2010,,,,,,,
2640,428,Aspen Elementary School,Aspen,CO,81611,2010,,,,,,,
1180,429,Carbondale Community Charter School,Carbondale,CO,81623,2010,,,,,,,
2640,430,Aspen Middle School,Aspen,CO,81611,2010,,,,,,,
2640,432,Aspen High School,Aspen,CO,81611,2010,,,,,,,
480,441,Aspen Creek K-8 School,Broomfield,CO,80020,2010,,,,,,,
130,442,Aspen Crossing Elementary School,Centennial,CO,80015,2010,,,,,,,
2640,447,Aspen Pre-School,Aspen,CO,81611,2010,,,,,,,
1010,452,Audubon Elementary School,Colorado Springs,CO,80909,2010,,,,,,,
180,458,Aurora Academy Charter School,Aurora,CO,80010,2010,,,,,,,
180,464,Aurora Hills Middle School,Aurora,CO,80012,2010,,,,,,,
180,465,Aurora Frontier K-8,Aurora,CO,80013,2010,,,,,,,
980,469,Atlas Preparatory School,Colorado Springs,CO,80916,2010,,,,,,,
910,471,Avon Elementary School,Avon,CO,81620,2010,,,,,,,
2700,472,Avondale Elementary School,Avondale,CO,81022,2010,,,,,,,
1550,477,Zach Elementary School,Fort Collins,CO,80528,2010,,,,,,,
870,489,Backpack Early Learning Academy,Delta,CO,81416,2010,,,,,,,
1550,490,Bacon Elementary School,Fort Collins,CO,80528,2010,,,,,,,
2405,492,Baker Central School,Fort Morgan,CO,80701,2010,,,,,,,
1550,498,Bethke Elementary School,Timnath,CO,80547,2010,,,,,,,
10,501,Monterey Community School,Denver,CO,80229,2010,,,,,,,
10,502,Meadow Community School,Thornton,CO,80229,2010,,,,,,,
10,503,York International,Thornton,CO,80229,2010,,,,,,,
10,504, Welby Montessori School,Denver,CO,80229,2010,,,,,,,
10,505,Achieve Academy,Thornton,CO,80229,2010,,,,,,,
10,506,Explore Elementary,Thornton,CO,80229,2010,,,,,,,
10,507,Adventure Elementary,Denver,CO,80221,2010,,,,,,,
10,509,Clayton Partnership School,Thornton,CO,80229,2010,,,,,,,
1560,510,Conrad Ball Middle School,Loveland,CO,80538,2010,,,,,,,
1828,515,Ayres Elementary School,Sterling,CO,80751,2010,,,,,,,
1010,517,Academy For Advanced And Creative Learning,Colorado Springs,CO,80907,2010,,,,,,,
880,520,Barnum Elementary School,Denver,CO,80219,2010,,,,,,,
880,540,Barrett Elementary School,Denver,CO,80205,2010,,,,,,,
1550,550,Barton Prekindergarten,Fort Collins,CO,80525,2010,,,,,,,
1110,555,Banning Lewis Ranch Academy,Colorado Springs,CO,80927,2010,,,,,,,
1180,560,Basalt Elementary School,Basalt,CO,81621,2010,,,,,,,
1180,561,Basalt Middle School,Basalt,CO,81621,2010,,,,,,,
1180,570,Basalt High School,Basalt,CO,81621,2010,,,,,,,
1010,594,Bates Elementary School,Colorado Springs,CO,80907,2010,,,,,,,
910,604,Battle Mountain High School,Edwards,CO,81620,2010,,,,,,,
2035,609,Battle Rock Charter School,Cortez,CO,81321,2010,,,,,,,
1550,612,Bauder Elementary School,Fort Collins,CO,80526,2010,,,,,,,
1530,632,Bayfield Elementary School,Bayfield,CO,81122,2010,,,,,,,
1530,636,Bayfield Middle School,Bayfield,CO,81122,2010,,,,,,,
1530,640,Bayfield High School,Bayfield,CO,81122,2010,,,,,,,
880,650,Beach Court Elementary School,Denver,CO,80221,2010,,,,,,,
900,651,Bear Canyon Elementary School,Highlands Ranch,CO,80126,2010,,,,,,,
480,652,Bear Creek Elementary School,Boulder,CO,80305,2010,,,,,,,
8001,653,Stone Creek School,Avon,CO,81620,2010,,,,,,,
8001,654,The Pinnacle Charter School Elementary,Federal Heights,CO,80206,2010,,,,,,,
8001,655,High Point Academy,Aurora,CO,80019,2010,,,,,,,
8001,657,T.R. Paul Academy Of Arts & Knowledge,Ft Collins,CO,80525,2010,,,,,,,
1420,660,Bear Creek K-8 School,Lakewood,CO,80227,2010,,,,,,,
1420,664,Bear Creek High School,Lakewood,CO,80227,2010,,,,,,,
1550,678,Beattie Elementary School,Fort Collins,CO,80526,2010,,,,,,,
1420,694,Bell Middle School,Golden,CO,80401,2010,,,,,,,
40,700,Belle Creek Charter School,Henderson,CO,80640,2010,,,,,,,
130,714,Belleview Elementary School,Greenwood Village,CO,80111,2010,,,,,,,
1420,724,Belmar Elementary School,Lakewood,CO,80226,2010,,,,,,,
2690,738,Belmont Elementary School,Pueblo,CO,81001,2010,,,,,,,
140,752,Franklin Elementary School,Centennial,CO,80121,2010,,,,,,,
3085,754,Benjamin Eaton Elementary School,Eaton,CO,80615,2010,,,,,,,
2690,756,Benjamin Franklin Elementary School,Pueblo,CO,81001,2010,,,,,,,
50,763,Bennett Preschool,Bennett,CO,80102,2010,,,,,,,
1550,766,Bennett Elementary School,Fort Collins,CO,80521,2010,,,,,,,
50,770,Bennett Elementary School,Bennett,CO,80102,2010,,,,,,,
50,774,Bennett Middle School,Bennett,CO,80102,2010,,,,,,,
50,775,Bennett High School,Bennett,CO,80102,2010,,,,,,,
1420,776,Bergen Meadow Primary School,Evergreen,CO,80439,2010,,,,,,,
1420,779,Bergen Valley Intermediate School,Evergreen,CO,80439,2010,,,,,,,
910,793,Berry Creek Middle School,Edwards,CO,81632,2010,,,,,,,
1560,808,Berthoud Elementary School,Berthoud,CO,80513,2010,,,,,,,
1560,812,Berthoud High School,Berthoud,CO,80513,2010,,,,,,,
2690,822,Bessemer Elementary School,Pueblo,CO,81004,2010,,,,,,,
1490,832,Bethune Elementary School,Bethune,CO,80805,2010,,,,,,,
1490,842,Bethune Junior-Senior High School,Bethune,CO,80805,2010,,,,,,,
2700,852,Beulah Elementary School,Beulah,CO,81023,2010,,,,,,,
2700,856,Beulah Middle School,Beulah,CO,81023,2010,,,,,,,
2690,860,Beulah Heights Elementary School,Pueblo,CO,81005,2010,,,,,,,
1560,865,B F Kitchen Elementary School,Loveland,CO,80537,2010,,,,,,,
1560,870,Big Thompson Elementary School,Loveland,CO,80538,2010,,,,,,,
1010,871,The Bijou School,Colorado Springs,CO,80904,2010,,,,,,,
480,872,Birch Elementary School,Broomfield,CO,80020,2010,,,,,,,
470,875,Black Rock Elementary,Erie,CO,80516,2010,,,,,,,
470,878,Blue Mountain Elementary,Longmont,CO,80503,2010,,,,,,,
1560,890,Mary Blair Elementary School,Loveland,CO,80538,2010,,,,,,,
1550,892,Blevins Middle School,Fort Collins,CO,80526,2010,,,,,,,
1550,898,Boltz Middle School,Fort Collins,CO,80525,2010,,,,,,,
2000,900,Bookcliff Middle School,Grand Junction,CO,81504,2010,,,,,,,
180,914,Boston K-8 School,Aurora,CO,80010,2010,,,,,,,
480,919,Boulder Community School/Integrated Studies,Boulder,CO,80303,2010,,,,,,,
480,924,Boulder High School,Boulder,CO,80302,2010,,,,,,,
480,930,Boulder Universal,Boulder,CO,80303,2010,,,,,,,
480,934,Boulder Prep Charter High School,Boulder,CO,80301,2010,,,,,,,
100,944,Boyd Elementary School,Alamosa,CO,81101,2010,,,,,,,
1750,948,Branson School Online,Branson,CO,81027,2010,,,,,,,
1420,950,Bradford Primary School,Littleton,CO,80127,2010,,,,,,,
1420,951,Blue Heron Elementary School,Littleton,CO,80123,2010,,,,,,,
1420,952,Bradford Intermediate School,Littleton,CO,80127,2010,,,,,,,
2690,954,Bradford Elementary School,Pueblo,CO,81001,2010,,,,,,,
880,964,Bradley Elementary School,Denver,CO,80222,2010,,,,,,,
1420,965,Brady Exploration School,Lakewood,CO,80226,2010,,,,,,,
1750,974,Branson Elementary School,Branson,CO,81027,2010,,,,,,,
1750,978,Branson Undivided High School,Branson,CO,81027,2010,,,,,,,
1750,979,Branson School Online Ged Prep,Branson,CO,81027,2010,,,,,,,
3120,988,Brentwood Middle School,Greeley,CO,80634,2010,,,,,,,
980,1000,Bricker Elementary School,Colorado Springs,CO,80916,2010,,,,,,,
1180,1006,Bridges,Carbondale,CO,81623,2010,,,,,,,
3146,1008,Briggsdale Elementary School,Briggsdale,CO,80611,2010,,,,,,,
3146,1012,Briggsdale Undivided High School,Briggsdale,CO,80611,2010,,,,,,,
20,1020,Bright Horizons Pre-Kindergarten School,Brighton,CO,80601,2010,,,,,,,
40,1021,Brighton Heritage Academy,Brighton,CO,80601,2010,,,,,,,
40,1022,Brighton High School,Brighton,CO,80601,2010,,,,,,,
1010,1032,Bristol Elementary School,Colorado Springs,CO,80905,2010,,,,,,,
2000,1046,Broadway Elementary School,Grand Junction,CO,81503,2010,,,,,,,
40,1052,Bromley East Charter School,Brighton,CO,80601,2010,,,,,,,
880,1056,Bromwell Elementary School,Denver,CO,80206,2010,,,,,,,
480,1066,Broomfield Heights Middle School,Broomfield,CO,80020,2010,,,,,,,
480,1070,Broomfield High School,Broomfield,CO,80020,2010,,,,,,,
880,1076,Brown Elementary School,Denver,CO,80211,2010,,,,,,,
2395,1094,Brush Middle School,Brush,CO,80723,2010,,,,,,,
2395,1096,Brush High School,Brush,CO,80723,2010,,,,,,,
880,1106,Bryant Webster K-8 School,Denver,CO,80211,2010,,,,,,,
1010,1126,Buena Vista Elementary School,Colorado Springs,CO,80905,2010,,,,,,,
490,1130,Buena Vista High School,Buena Vista,CO,81211,2010,,,,,,,
900,1131,Buffalo Ridge Elementary School,Castle Rock,CO,80108,2010,,,,,,,
490,1132,Harry L Mc Ginnis Middle School,Buena Vista,CO,81211,2010,,,,,,,
480,1136,Manhattan Middle School Of The Arts And Academics,Boulder,CO,80303,2010,,,,,,,
1500,1144,Burlington Elementary School,Burlington,CO,80807,2010,,,,,,,
470,1148,Burlington Elementary School,Longmont,CO,80501,2010,,,,,,,
1500,1150,Burlington Middle School,Burlington,CO,80807,2010,,,,,,,
1500,1152,Burlington High School,Burlington,CO,80807,2010,,,,,,,
490,1154,Buena Vista Online Academy,Buena Vista,CO,81211,2010,,,,,,,
130,1155,Buffalo Trail Elementary School,Aurora,CO,80016,2010,,,,,,,
190,1168,Byers Elementary School,Byers,CO,80103,2010,,,,,,,
190,1176,Byers Junior-Senior High School,Byers,CO,80103,2010,,,,,,,
1550,1186,Cache La Poudre Elementary School,La Porte,CO,80535,2010,,,,,,,
1550,1190,Cache La Poudre Middle School,La Porte,CO,80535,2010,,,,,,,
970,1210,Calhan Elementary School,Calhan,CO,80808,2010,,,,,,,
970,1215,Calhan Middle School,Calhan,CO,80808,2010,,,,,,,
970,1218,Calhan High School,Calhan,CO,80808,2010,,,,,,,
1828,1220,Caliche Elementary School,Iliff,CO,80736,2010,,,,,,,
1828,1224,Caliche Junior-Senior High School,Iliff,CO,80736,2010,,,,,,,
1420,1238,Campbell Elementary School,Arvada,CO,80004,2010,,,,,,,
470,1245,Centennial Elementary,Firestone,CO,80504,2010,,,,,,,
270,1248,Campo Elementary School,Campo,CO,81029,2010,,,,,,,
270,1252,Campo Undivided High School,Campo,CO,81029,2010,,,,,,,
1140,1262,Canon City Middle School,Canon City,CO,81212,2010,,,,,,,
1140,1266,Canon City High School,Canon City,CO,81212,2010,,,,,,,
900,1270,Early Childhood Center,Castle Rock,CO,80104,2010,,,,,,,
130,1273,Canyon Creek Elementary School,Aurora,CO,80015,2010,,,,,,,
550,1276,Centauri Middle School,La Jara,CO,81140,2010,,,,,,,
8001,1279,Caprock Academy,Grand Junction,CO,81505,2010,,,,,,,
470,1284,Carbon Valley Academy,Frederick,CO,80530,2010,,,,,,,
1180,1296,Carbondale Middle School,Carbondale,CO,81623,2010,,,,,,,
3090,1299,Cardinal Community Academy Charter School,Keenesburg,CO,80643,2010,,,,,,,
2690,1304,Carlile Elementary School,Pueblo,CO,81004,2010,,,,,,,
980,1306,Carmel Middle School,Colorado Springs,CO,80910,2010,,,,,,,
1420,1318,Carmody Middle School,Lakewood,CO,80227,2010,,,,,,,
880,1319,Fred N Thomas Career Education Center,Denver,CO,80211,2010,,,,,,,
1828,1321,Campbell Elementary School,Sterling,CO,80751,2010,,,,,,,
1560,1323,Carrie Martin Elementary School,Loveland,CO,80537,2010,,,,,,,
880,1324,Carson Elementary School,Denver,CO,80220,2010,,,,,,,
1000,1332,Carson Middle School,Fort Carson,CO,80902,2010,,,,,,,
1000,1334,Abrams Elementary School,Fort Carson,CO,80902,2010,,,,,,,
1010,1340,Carver Elementary School,Colorado Springs,CO,80917,2010,,,,,,,
880,1345,Cesar Chavez Academy Denver,Denver,CO,80212,2010,,,,,,,
480,1352,Casey Middle School,Boulder,CO,80304,2010,,,,,,,
900,1362,Castle Rock Elementary School,Castle Rock,CO,80104,2010,,,,,,,
900,1367,Castle View High School,Castle Rock,CO,80109,2010,,,,,,,
870,1372,Cedaredge High School,Cedaredge,CO,81413,2010,,,,,,,
870,1375,Cedaredge Middle School,Cedaredge,CO,81413,2010,,,,,,,
8001,1376,Scholars To Leaders Academy,Colorado Springs,CO,80907,2010,,,,,,,
2700,1377,Cedar Ridge Elementary School,Pueblo West,CO,81007,2010,,,,,,,
550,1378,Centauri High School,La Jara,CO,81140,2010,,,,,,,
480,1380,Centaurus High School,Lafayette,CO,80026,2010,,,,,,,
140,1382,Centennial Academy Of Fine Arts Education,Littleton,CO,80123,2010,,,,,,,
980,1383,Centennial Elementary School,Colorado Springs,CO,80910,2010,,,,,,,
3120,1384,Centennial Elementary School,Evans,CO,80620,2010,,,,,,,
1560,1385,Centennial Elementary School,Loveland,CO,80538,2010,,,,,,,
1580,1386,Trinidad Middle School,Trinidad,CO,81082,2010,,,,,,,
20,1388,Centennial Elementary School,Broomfield,CO,80020,2010,,,,,,,
480,1390,Centennial Middle School,Boulder,CO,80304,2010,,,,,,,
2180,1392,Centennial Middle School,Montrose,CO,81401,2010,,,,,,,
640,1396,Centennial Junior High School,San Luis,CO,81152,2010,,,,,,,
640,1398,Centennial High School,San Luis,CO,81152,2010,,,,,,,
880,1400,Centennial K-8 School,Denver,CO,80212,2010,,,,,,,
2690,1402,Centennial High School,Pueblo,CO,81008,2010,,,,,,,
2810,1412,Haskin Elementary School,Center,CO,81125,2010,,,,,,,
2810,1416,Skoglund Middle School,Center,CO,81125,2010,,,,,,,
2810,1420,Center High School,Center,CO,81125,2010,,,,,,,
30,1426,Central Elementary School,Commerce City,CO,80022,2010,,,,,,,
470,1434,Central Elementary School,Longmont,CO,80501,2010,,,,,,,
2395,1438,Beaver Valley Elementary School,Brush,CO,80723,2010,,,,,,,
3090,1446,Weld Central Senior High School,Keenesburg,CO,80643,2010,,,,,,,
2000,1450,Central High School,Grand Junction,CO,81504,2010,,,,,,,
2690,1454,Central High School,Pueblo,CO,81004,2010,,,,,,,
180,1458,Aurora Central High School,Aurora,CO,80010,2010,,,,,,,
180,1470,Century Elementary School,Aurora,CO,80014,2010,,,,,,,
20,1480,Century Middle School,Thornton,CO,80241,2010,,,,,,,
2690,1488,Cesar Chavez Academy,Pueblo,CO,81003,2010,,,,,,,
980,1490,Chamberlin Academy,Colorado Springs,CO,80906,2010,,,,,,,
3120,1500,Chappelow K-8 Magnet School,Evans,CO,80620,2010,,,,,,,
900,1503,Chaparral High School,Parker,CO,80134,2010,,,,,,,
2690,1504,Goodnight Elementary School,Pueblo,CO,81005,2010,,,,,,,
490,1508,Chaffee County High School,Buena Vista,CO,81211,2010,,,,,,,
130,1510,Challenge School,Denver,CO,80231,2010,,,,,,,
900,1512,Challenge To Excellence Charter School,Parker,CO,80134,2010,,,,,,,
120,1514,Charles Hay World School,Englewood,CO,80113,2010,,,,,,,
20,1519,Stargate Charter School,Thornton,CO,80241,2010,,,,,,,
2000,1520,Chatfield Elementary School,Grand Junction,CO,81504,2010,,,,,,,
1420,1522,Chatfield High School,Littleton,CO,80127,2010,,,,,,,
880,1528,Cheltenham Elementary School,Denver,CO,80204,2010,,,,,,,
2560,1538,Cheraw Elementary School,Cheraw,CO,81030,2010,,,,,,,
2560,1546,Cheraw High School,Cheraw,CO,81030,2010,,,,,,,
2560,1548,Cheraw Middle School,Cheraw,CO,81030,2010,,,,,,,
130,1551,Cherokee Trail High School,Aurora,CO,80016,2010,,,,,,,
120,1556,Cherrelyn Elementary School,Englewood,CO,80113,2010,,,,,,,
130,1566,Campus Middle School,Greenwood Village,CO,80111,2010,,,,,,,
130,1568,West Middle School,Greenwood Village,CO,80121,2010,,,,,,,
130,1570,Cherry Creek High School,Greenwood Village,CO,80111,2010,,,,,,,
130,1571,Cherry Creek Charter Academy,Greenwood Village,CO,80111,2010,,,,,,,
130,1572,High Plains Elementary School,Greenwood Village,CO,80111,2010,,,,,,,
130,1574,Cherry Hills Village Elementary School,Cherry Hills Village,CO,80110,2010,,,,,,,
900,1578,Cherry Valley Elementary School,Franktown,CO,80116,2010,,,,,,,
900,1579,North Star Academy,Parker,CO,80134,2010,,,,,,,
1020,1582,Cheyenne Mountain Charter Academy,Colorado Springs,CO,80906,2010,,,,,,,
1020,1586,Cheyenne Mountain Elementary School,Colorado Springs,CO,80906,2010,,,,,,,
1020,1588,Cheyenne Mountain Junior High School,Colorado Springs,CO,80905,2010,,,,,,,
1020,1590,Cheyenne Mountain High School,Colorado Springs,CO,80906,2010,,,,,,,
1020,1592,Broadmoor Elementary School,Colorado Springs,CO,80906,2010,,,,,,,
1020,1596,Canon Elementary School,Colorado Springs,CO,80906,2010,,,,,,,
1020,1604,Skyway Park Elementary School,Colorado Springs,CO,80905,2010,,,,,,,
520,1608,Cheyenne Wells Elementary School,Cheyenne Wells,CO,80810,2010,,,,,,,
520,1610,Cheyenne Wells Middle School,Cheyenne Wells,CO,80810,2010,,,,,,,
520,1612,Cheyenne Wells High School,Cheyenne Wells,CO,80810,2010,,,,,,,
1010,1613,Chipeta Elementary School,Colorado Springs,CO,80919,2010,,,,,,,
130,1614,Cimarron Elementary School,Aurora,CO,80013,2010,,,,,,,
1040,1615,Chinook Trail Elementary School,Colorado Springs,CO,80924,2010,,,,,,,
1010,1616,Civa Charter Academy,Colorado Springs,CO,80918,2010,,,,,,,
1110,1618,Evans International Elementary School,Colorado Springs,CO,80915,2010,,,,,,,
2000,1619,Chipeta Elementary School,Grand Junction,CO,81501,2010,,,,,,,
70,1622,Clara E. Metz Elementary School,Denver,CO,80221,2010,,,,,,,
1010,1625,Mcauliffe Elementary,Colorado Springs,CO,80915,2010,,,,,,,
1040,1627,The Classical Academy Charter,Colorado Springs,CO,80921,2010,,,,,,,
1040,1629,The Classical Academy Middle School,Colorado Springs,CO,80921,2010,,,,,,,
1040,1630,The Classical Academy High School,Colorado Springs,CO,80921,2010,,,,,,,
1330,1632,Gilpin County Elementary School,Black Hawk,CO,80403,2010,,,,,,,
1330,1634,Gilpin County Undivided High School,Black Hawk,CO,80403,2010,,,,,,,
120,1652,Clayton Elementary School,Englewood,CO,80110,2010,,,,,,,
540,1660,Clear Creek Middle School,Evergreen,CO,80439,2010,,,,,,,
2000,1686,Clifton Elementary School,Clifton,CO,81520,2010,,,,,,,
180,1720,Clyde Miller K-8,Aurora,CO,80011,2010,,,,,,,
480,1725,Coal Creek Elementary School,Louisville,CO,80027,2010,,,,,,,
1420,1730,Coal Creek Canyon K-8 Elementary School,Golden,CO,80403,2010,,,,,,,
880,1748,Colorado High School,Denver,CO,80204,2010,,,,,,,
20,1752,Colorado Virtual Academy (Cova),Northglenn,CO,80233,2010,,,,,,,
880,1774,Colfax Elementary School,Denver,CO,80204,2010,,,,,,,
880,1785,Cole Arts And Science Academy,Denver,CO,80205,2010,,,,,,,
880,1788,College View Elementary School,Denver,CO,80219,2010,,,,,,,
1420,1790,Colorow Elementary School,Littleton,CO,80123,2010,,,,,,,
8001,1791,Colorado Springs Charter Academy,Colorado Springs,CO,80909,2010,,,,,,,
8001,1795,Colorado Springs Early Colleges,Colorado Springs,CO,80907,2010,,,,,,,
10,1796,Colorado Connections Academy,Englewood,CO,80112,2010,,,,,,,
